Orthogroup	Syal	Praq
OG0000324	Syal.g_00656	Praq.g_00444
OG0000325	Syal.g_00195	Praq.g_00950
OG0000326	Syal.g_00202	Praq.g_00944
OG0000327	Syal.g_00230	Praq.g_00920
OG0000328	Syal.g_00231	Praq.g_00919
OG0000329	Syal.g_00249	Praq.g_00902
OG0000330	Syal.g_00250	Praq.g_00901
OG0000331	Syal.g_00251	Praq.g_00900
OG0000332	Syal.g_00266	Praq.g_00886
OG0000333	Syal.g_00269	Praq.g_00884
OG0000334	Syal.g_00279	Praq.g_00876
OG0000335	Syal.g_00284	Praq.g_00872
OG0000336	Syal.g_00288	Praq.g_00868
OG0000337	Syal.g_01343	Praq.g_00735
OG0000338	Syal.g_01345	Praq.g_00736
OG0000339	Syal.g_01351	Praq.g_00740
OG0000340	Syal.g_01434	Praq.g_00748
OG0000341	Syal.g_01436	Praq.g_00750
OG0000342	Syal.g_01437	Praq.g_00751
OG0000343	Syal.g_01441	Praq.g_00752
OG0000344	Syal.g_01445	Praq.g_00755
OG0000345	Syal.g_01455	Praq.g_00760
OG0000346	Syal.g_01460	Praq.g_00764
OG0000347	Syal.g_01525	Praq.g_00683
OG0000348	Syal.g_00170	Praq.g_00692
OG0000349	Syal.g_00148	Praq.g_00709
OG0000350	Syal.g_00209	Praq.g_00392
OG0000351	Syal.g_01175	Praq.g_00409
OG0000352	Syal.g_01176	Praq.g_00410
OG0000353	Syal.g_00095	Praq.g_00425
OG0000355	Syal.g_00098	Praq.g_00427
OG0000356	Syal.g_00099	Praq.g_00428
OG0000357	Syal.g_00100	Praq.g_00429
OG0000358	Syal.g_00104	Praq.g_00433
OG0000359	Syal.g_00106	Praq.g_00434
OG0000360	Syal.g_00107	Praq.g_00435
OG0000361	Syal.g_00108	Praq.g_00436
OG0000362	Syal.g_00110	Praq.g_00438
OG0000363	Syal.g_00112	Praq.g_01217
OG0000364	Syal.g_00113	Praq.g_01218
OG0000365	Syal.g_00122	Praq.g_01223
OG0000366	Syal.g_00123	Praq.g_01224
OG0000367	Syal.g_00124	Praq.g_01225
OG0000368	Syal.g_00126	Praq.g_01227
OG0000369	Syal.g_00127	Praq.g_01228
OG0000370	Syal.g_00128	Praq.g_01229
OG0000371	Syal.g_00135	Praq.g_01235
OG0000372	Syal.g_00141	Praq.g_01239
OG0000373	Syal.g_00142	Praq.g_01240
OG0000374	Syal.g_00143	Praq.g_01241
OG0000375	Syal.g_00144	Praq.g_01255
OG0000376	Syal.g_00146	Praq.g_01257
OG0000377	Syal.g_01061	Praq.g_01261
OG0000378	Syal.g_01027	Praq.g_01263
OG0000379	Syal.g_01024	Praq.g_01266
OG0000380	Syal.g_00749	Praq.g_01937
OG0000381	Syal.g_00752	Praq.g_01933
OG0000382	Syal.g_00770	Praq.g_01922
OG0000383	Syal.g_00775	Praq.g_01920
OG0000384	Syal.g_00776	Praq.g_01919
OG0000385	Syal.g_00777	Praq.g_01918
OG0000386	Syal.g_00778	Praq.g_01917
OG0000387	Syal.g_00811	Praq.g_01904
OG0000388	Syal.g_00815	Praq.g_01901
OG0000389	Syal.g_00819	Praq.g_01897
OG0000390	Syal.g_00835	Praq.g_01890
OG0000391	Syal.g_00840	Praq.g_01887
OG0000392	Syal.g_00846	Praq.g_01883
OG0000393	Syal.g_00849	Praq.g_01881
OG0000394	Syal.g_00850	Praq.g_01880
OG0000395	Syal.g_00851	Praq.g_01879
OG0000396	Syal.g_00854	Praq.g_01876
OG0000397	Syal.g_00857	Praq.g_01874
OG0000398	Syal.g_00862	Praq.g_01872
OG0000399	Syal.g_00863	Praq.g_01871
OG0000400	Syal.g_00864	Praq.g_01870
OG0000401	Syal.g_00865	Praq.g_01869
OG0000402	Syal.g_00867	Praq.g_01867
OG0000403	Syal.g_00868	Praq.g_01866
OG0000404	Syal.g_00870	Praq.g_01865
OG0000405	Syal.g_00883	Praq.g_01861
OG0000406	Syal.g_00888	Praq.g_01855
OG0000407	Syal.g_00889	Praq.g_01854
OG0000408	Syal.g_00891	Praq.g_01852
OG0000409	Syal.g_00893	Praq.g_01850
OG0000410	Syal.g_00894	Praq.g_01849
OG0000411	Syal.g_00895	Praq.g_01848
OG0000412	Syal.g_00896	Praq.g_01847
OG0000413	Syal.g_00898	Praq.g_01846
OG0000414	Syal.g_00899	Praq.g_00554, Praq.g_01845
OG0000415	Syal.g_00900	Praq.g_01844
OG0000416	Syal.g_00901	Praq.g_01843
OG0000417	Syal.g_00902	Praq.g_01842
OG0000418	Syal.g_00907	Praq.g_01837
OG0000419	Syal.g_00909	Praq.g_01835
OG0000420	Syal.g_00911	Praq.g_01834
OG0000421	Syal.g_00916	Praq.g_01829
OG0000422	Syal.g_00917	Praq.g_01828
OG0000423	Syal.g_00918	Praq.g_01827
OG0000424	Syal.g_00919	Praq.g_01826
OG0000425	Syal.g_00920	Praq.g_01825
OG0000426	Syal.g_00921	Praq.g_01824
OG0000427	Syal.g_00922	Praq.g_01823
OG0000428	Syal.g_00925	Praq.g_01821
OG0000429	Syal.g_00929	Praq.g_01820
OG0000430	Syal.g_00931	Praq.g_01819
OG0000431	Syal.g_00934	Praq.g_01817
OG0000432	Syal.g_00940	Praq.g_01814
OG0000433	Syal.g_00943	Praq.g_01813
OG0000434	Syal.g_00944	Praq.g_01812
OG0000435	Syal.g_00946	Praq.g_01811
OG0000436	Syal.g_00953	Praq.g_01806
OG0000437	Syal.g_00954	Praq.g_01805
OG0000438	Syal.g_00955	Praq.g_01804
OG0000439	Syal.g_00957	Praq.g_01802
OG0000440	Syal.g_00958	Praq.g_01801
OG0000441	Syal.g_00962	Praq.g_01798
OG0000442	Syal.g_00964	Praq.g_01797
OG0000443	Syal.g_00966	Praq.g_01796
OG0000444	Syal.g_00978	Praq.g_01791
OG0000445	Syal.g_00979	Praq.g_01790
OG0000446	Syal.g_00981	Praq.g_01789
OG0000447	Syal.g_00989	Praq.g_01788
OG0000448	Syal.g_00990	Praq.g_01787
OG0000449	Syal.g_00991	Praq.g_01786
OG0000450	Syal.g_00997	Praq.g_01785
OG0000451	Syal.g_00998	Praq.g_01784
OG0000452	Syal.g_01002	Praq.g_01781
OG0000453	Syal.g_01003	Praq.g_01780
OG0000454	Syal.g_01004	Praq.g_01779
OG0000455	Syal.g_01005	Praq.g_01778
OG0000456	Syal.g_01006	Praq.g_01777
OG0000457	Syal.g_01008	Praq.g_01776
OG0000458	Syal.g_01009	Praq.g_01775
OG0000459	Syal.g_01010	Praq.g_01774
OG0000460	Syal.g_00686	Praq.g_01767
OG0000461	Syal.g_01199	Praq.g_01760
OG0000462	Syal.g_01202	Praq.g_01758
OG0000463	Syal.g_01203	Praq.g_01757
OG0000464	Syal.g_01204	Praq.g_01756
OG0000465	Syal.g_01205	Praq.g_01755
OG0000466	Syal.g_01210	Praq.g_01752
OG0000467	Syal.g_01212	Praq.g_01751
OG0000468	Syal.g_01225	Praq.g_01750
OG0000469	Syal.g_01240	Praq.g_01741
OG0000470	Syal.g_01242	Praq.g_01739
OG0000471	Syal.g_01243	Praq.g_01738
OG0000472	Syal.g_01245	Praq.g_01737
OG0000473	Syal.g_01247	Praq.g_01735
OG0000474	Syal.g_01248	Praq.g_01734
OG0000475	Syal.g_01249	Praq.g_01733
OG0000476	Syal.g_01251	Praq.g_01732
OG0000477	Syal.g_01257	Praq.g_01728
OG0000478	Syal.g_01258	Praq.g_01727
OG0000479	Syal.g_01259	Praq.g_01726
OG0000480	Syal.g_01266	Praq.g_01721
OG0000481	Syal.g_01268	Praq.g_01718
OG0000482	Syal.g_01269	Praq.g_01717
OG0000483	Syal.g_01273	Praq.g_01714
OG0000484	Syal.g_01274	Praq.g_01713
OG0000485	Syal.g_01275	Praq.g_01712
