Orthogroup	Prat	Syai
OG0000500	Prat.g_00326	Syai.g_00206
OG0000501	Prat.g_00328	Syai.g_00203
OG0000502	Prat.g_00331	Syai.g_00192
OG0000503	Prat.g_00348	Syai.g_00486
OG0000504	Prat.g_00350	Syai.g_00488
OG0000505	Prat.g_00351	Syai.g_00489
OG0000506	Prat.g_00352	Syai.g_00491
OG0000507	Prat.g_00355	Syai.g_00497
OG0000508	Prat.g_00359	Syai.g_00501
OG0000509	Prat.g_00361	Syai.g_00503
OG0000510	Prat.g_00362	Syai.g_00504
OG0000511	Prat.g_00363	Syai.g_00505
OG0000512	Prat.g_00365	Syai.g_00507
OG0000513	Prat.g_00373	Syai.g_00521
OG0000514	Prat.g_00390	Syai.g_00528
OG0000515	Prat.g_00391	Syai.g_00529
OG0000516	Prat.g_00392	Syai.g_02223
OG0000517	Prat.g_00395	Syai.g_02229
OG0000518	Prat.g_00407	Syai.g_02211
OG0000519	Prat.g_00408	Syai.g_02210
OG0000520	Prat.g_00410	Syai.g_02209
OG0000521	Prat.g_00415	Syai.g_00842
OG0000522	Prat.g_00417	Syai.g_00844
OG0000523	Prat.g_00418	Syai.g_00845
OG0000524	Prat.g_00424	Syai.g_00852
OG0000525	Prat.g_00428	Syai.g_00856
OG0000526	Prat.g_00429	Syai.g_00859
OG0000527	Prat.g_00432	Syai.g_00863
OG0000528	Prat.g_00438	Syai.g_00633
OG0000529	Prat.g_00441	Syai.g_00639
OG0000530	Prat.g_00444	Syai.g_00642
OG0000531	Prat.g_00445	Syai.g_00643
OG0000532	Prat.g_00447	Syai.g_00646
OG0000533	Prat.g_00448	Syai.g_00647
OG0000534	Prat.g_00449	Syai.g_00648
OG0000535	Prat.g_00450	Syai.g_00649
OG0000536	Prat.g_00451	Syai.g_00650
OG0000537	Prat.g_00453	Syai.g_00651
OG0000538	Prat.g_00463	Syai.g_00662
OG0000539	Prat.g_00464	Syai.g_00663
OG0000540	Prat.g_00465	Syai.g_00664
OG0000541	Prat.g_00466	Syai.g_00665
OG0000542	Prat.g_00468	Syai.g_00668
OG0000543	Prat.g_00470	Syai.g_00670
OG0000544	Prat.g_00471	Syai.g_00671
OG0000545	Prat.g_00473	Syai.g_00673
OG0000546	Prat.g_00476	Syai.g_00675
OG0000547	Prat.g_00478	Syai.g_00677
OG0000548	Prat.g_00479	Syai.g_00678
OG0000549	Prat.g_00482	Syai.g_00684
OG0000550	Prat.g_00486	Syai.g_00689
OG0000551	Prat.g_00489	Syai.g_00694
OG0000552	Prat.g_00490	Syai.g_00695
OG0000553	Prat.g_00491	Syai.g_00698
OG0000554	Prat.g_00496	Syai.g_00708
OG0000555	Prat.g_00503	Syai.g_00725
OG0000556	Prat.g_00505	Syai.g_00728
OG0000557	Prat.g_00506	Syai.g_00730
OG0000558	Prat.g_00508	Syai.g_00732
OG0000559	Prat.g_00512	Syai.g_00736
OG0000560	Prat.g_00516	Syai.g_00739
OG0000561	Prat.g_00517	Syai.g_00740
OG0000562	Prat.g_00518	Syai.g_00741
OG0000563	Prat.g_00519	Syai.g_00742
OG0000564	Prat.g_00520	Syai.g_00743
OG0000565	Prat.g_00523	Syai.g_00746
OG0000566	Prat.g_00527	Syai.g_00750
OG0000567	Prat.g_00531	Syai.g_00754
OG0000568	Prat.g_00532	Syai.g_00758
OG0000569	Prat.g_00533	Syai.g_00759
OG0000570	Prat.g_00534	Syai.g_00760
OG0000571	Prat.g_00537	Syai.g_00764
OG0000572	Prat.g_00549	Syai.g_00782
OG0000573	Prat.g_00554	Syai.g_00790
OG0000574	Prat.g_00555	Syai.g_00796
OG0000575	Prat.g_00559	Syai.g_00800
OG0000576	Prat.g_00561	Syai.g_00802
OG0000577	Prat.g_00562	Syai.g_00803
OG0000578	Prat.g_00563	Syai.g_00804
OG0000579	Prat.g_00564	Syai.g_00805
OG0000580	Prat.g_00565	Syai.g_00806
OG0000581	Prat.g_00568	Syai.g_00812
