Orthogroup	Syap	Prbk
OG0000289	Syap.g_02784	Prbk.g_00596
OG0000290	Syap.g_01552	Prbk.g_00059
OG0000292	Syap.g_02314	Prbk.g_02271
OG0000293	Syap.g_00240	Prbk.g_01032
OG0000294	Syap.g_00239	Prbk.g_01031
OG0000295	Syap.g_00206	Prbk.g_00106
OG0000296	Syap.g_00204	Prbk.g_00104
OG0000298	Syap.g_01888	Prbk.g_01497
OG0000299	Syap.g_02620	Prbk.g_01508
OG0000302	Syap.g_02444, Syap.g_02445	Prbk.g_00182
OG0000303	Syap.g_02435	Prbk.g_00097
OG0000304	Syap.g_02430	Prbk.g_00121
OG0000305	Syap.g_01557	Prbk.g_00055
OG0000306	Syap.g_01966	Prbk.g_02578
OG0000307	Syap.g_02517	Prbk.g_02044
OG0000308	Syap.g_02514, Syap.g_02515	Prbk.g_02042
OG0000309	Syap.g_02198, Syap.g_02446	Prbk.g_02038
OG0000310	Syap.g_02660, Syap.g_02661	Prbk.g_01937
OG0000311	Syap.g_02657	Prbk.g_00243
OG0000312	Syap.g_02114	Prbk.g_00247
OG0000313	Syap.g_02473	Prbk.g_00271
OG0000315	Syap.g_00017	Prbk.g_01212
OG0000316	Syap.g_00030	Prbk.g_01991
OG0000317	Syap.g_00618	Prbk.g_00913
OG0000318	Syap.g_00622, Syap.g_02786	Prbk.g_00906
OG0000319	Syap.g_01764, Syap.g_01771	Prbk.g_01443
OG0000320	Syap.g_01761, Syap.g_01769	Prbk.g_01441
OG0000321	Syap.g_01760, Syap.g_01768	Prbk.g_01440
OG0000322	Syap.g_01759, Syap.g_01767	Prbk.g_01439
OG0000323	Syap.g_01389	Prbk.g_01428
OG0000324	Syap.g_01503	Prbk.g_01399
OG0000325	Syap.g_02680	Prbk.g_01904
OG0000326	Syap.g_00544	Prbk.g_01912
OG0000327	Syap.g_01233, Syap.g_01913	Prbk.g_00987
OG0000328	Syap.g_01234, Syap.g_01912	Prbk.g_00986
OG0000329	Syap.g_00498	Prbk.g_00969
OG0000330	Syap.g_00497	Prbk.g_00968
OG0000331	Syap.g_00496	Prbk.g_00967
OG0000332	Syap.g_00481	Prbk.g_00952
OG0000333	Syap.g_00478	Prbk.g_00950
OG0000334	Syap.g_00468	Prbk.g_00801
OG0000335	Syap.g_00101, Syap.g_00463	Prbk.g_00806
OG0000336	Syap.g_00417, Syap.g_00607	Prbk.g_00810
OG0000337	Syap.g_01054	Prbk.g_00506
OG0000338	Syap.g_01059	Prbk.g_00510
OG0000339	Syap.g_01068	Prbk.g_00516
OG0000340	Syap.g_01077	Prbk.g_00528
OG0000341	Syap.g_01079	Prbk.g_00530
OG0000342	Syap.g_01080, Syap.g_02477	Prbk.g_00531
OG0000343	Syap.g_01086, Syap.g_02078	Prbk.g_00215
OG0000344	Syap.g_01091	Prbk.g_00218
OG0000345	Syap.g_01107, Syap.g_01470	Prbk.g_00233
OG0000346	Syap.g_01113	Prbk.g_00238
OG0000347	Syap.g_01131, Syap.g_02459	Prbk.g_01540
OG0000348	Syap.g_00632	Prbk.g_01578
OG0000349	Syap.g_00110, Syap.g_01813	Prbk.g_01602
OG0000351	Syap.g_02594	Prbk.g_02252
OG0000352	Syap.g_02596, Syap.g_02597	Prbk.g_02253
OG0000353	Syap.g_00054	Prbk.g_02277
OG0000354	Syap.g_00075, Syap.g_02635	Prbk.g_01635
OG0000355	Syap.g_00056	Prbk.g_02279
OG0000356	Syap.g_00057	Prbk.g_02280
OG0000357	Syap.g_00058	Prbk.g_02281
OG0000358	Syap.g_00063	Prbk.g_02285
OG0000359	Syap.g_00065	Prbk.g_02287
OG0000360	Syap.g_00067	Prbk.g_02288
OG0000361	Syap.g_00068	Prbk.g_02289
OG0000362	Syap.g_00070	Prbk.g_02291
OG0000363	Syap.g_00072	Prbk.g_01639
OG0000364	Syap.g_00620	Prbk.g_01638
OG0000365	Syap.g_00081	Prbk.g_01629
OG0000366	Syap.g_00082	Prbk.g_01628
OG0000367	Syap.g_00083	Prbk.g_01627
OG0000368	Syap.g_00085	Prbk.g_01625
OG0000369	Syap.g_00086	Prbk.g_01624
OG0000370	Syap.g_00087	Prbk.g_01623
OG0000372	Syap.g_01805	Prbk.g_01609
OG0000373	Syap.g_01806	Prbk.g_01608
OG0000374	Syap.g_01807	Prbk.g_01607
OG0000375	Syap.g_01808	Prbk.g_01606
OG0000376	Syap.g_01811	Prbk.g_01604
OG0000377	Syap.g_00128	Prbk.g_02155
OG0000378	Syap.g_01326	Prbk.g_02141
OG0000380	Syap.g_01687	Prbk.g_01323
OG0000381	Syap.g_01690	Prbk.g_01319
OG0000382	Syap.g_02548	Prbk.g_01304
OG0000383	Syap.g_02359	Prbk.g_01302
OG0000384	Syap.g_02360	Prbk.g_01301
OG0000385	Syap.g_02361	Prbk.g_01300
OG0000386	Syap.g_02362	Prbk.g_01299
OG0000387	Syap.g_01864	Prbk.g_00020
OG0000391	Syap.g_02234	Prbk.g_00196
OG0000392	Syap.g_02225	Prbk.g_00202
OG0000393	Syap.g_02222	Prbk.g_00207
OG0000394	Syap.g_02221	Prbk.g_00208
OG0000395	Syap.g_02220	Prbk.g_00209
OG0000396	Syap.g_02217	Prbk.g_00542
OG0000397	Syap.g_02215	Prbk.g_00544
OG0000398	Syap.g_02211	Prbk.g_00549
OG0000399	Syap.g_02210	Prbk.g_00550
OG0000400	Syap.g_02209	Prbk.g_00551
OG0000401	Syap.g_02208	Prbk.g_00552
OG0000402	Syap.g_02206	Prbk.g_00554
OG0000403	Syap.g_02205	Prbk.g_00555
OG0000404	Syap.g_02204, Syap.g_02618	Prbk.g_00557
OG0000405	Syap.g_02191	Prbk.g_00749
OG0000406	Syap.g_02186	Prbk.g_00753
OG0000407	Syap.g_02185	Prbk.g_00754
OG0000408	Syap.g_02181, Syap.g_02182	Prbk.g_00756
OG0000409	Syap.g_02179	Prbk.g_00758
OG0000410	Syap.g_02178	Prbk.g_00759
OG0000411	Syap.g_02177	Prbk.g_00760
OG0000412	Syap.g_02176	Prbk.g_00761
OG0000413	Syap.g_02174	Prbk.g_00763
OG0000414	Syap.g_02173	Prbk.g_00764
OG0000415	Syap.g_02172	Prbk.g_00765
OG0000416	Syap.g_02171	Prbk.g_00766
OG0000417	Syap.g_02169	Prbk.g_00767
OG0000418	Syap.g_01204	Prbk.g_00772
OG0000419	Syap.g_01201	Prbk.g_00774
OG0000420	Syap.g_01199	Prbk.g_00775
OG0000421	Syap.g_01195	Prbk.g_00779
OG0000422	Syap.g_01194	Prbk.g_00780
OG0000423	Syap.g_01193	Prbk.g_00781
OG0000424	Syap.g_01192	Prbk.g_00782
OG0000425	Syap.g_01191	Prbk.g_00783
OG0000426	Syap.g_01190	Prbk.g_00784
OG0000427	Syap.g_01189	Prbk.g_00785
OG0000428	Syap.g_01186	Prbk.g_02425
OG0000429	Syap.g_01184	Prbk.g_01283
OG0000430	Syap.g_01182	Prbk.g_01281
OG0000431	Syap.g_01179	Prbk.g_01277
OG0000432	Syap.g_02277	Prbk.g_01270
OG0000433	Syap.g_02272	Prbk.g_01267
OG0000434	Syap.g_02271	Prbk.g_01266
OG0000435	Syap.g_02268	Prbk.g_01263
OG0000436	Syap.g_01607	Prbk.g_01257
OG0000437	Syap.g_01608	Prbk.g_01256
OG0000438	Syap.g_01612	Prbk.g_01255
OG0000439	Syap.g_01614	Prbk.g_01253
OG0000440	Syap.g_01615	Prbk.g_01252
OG0000441	Syap.g_01619	Prbk.g_01245
OG0000442	Syap.g_01620	Prbk.g_01244
OG0000443	Syap.g_01622	Prbk.g_00631
OG0000444	Syap.g_01424	Prbk.g_00683
OG0000445	Syap.g_01421	Prbk.g_00682
OG0000446	Syap.g_01419	Prbk.g_00680
OG0000447	Syap.g_01410	Prbk.g_00670
OG0000448	Syap.g_01407	Prbk.g_00669
OG0000449	Syap.g_01406	Prbk.g_00668
OG0000450	Syap.g_01909	Prbk.g_00662
OG0000451	Syap.g_01908	Prbk.g_00661
OG0000452	Syap.g_01904	Prbk.g_00656
OG0000453	Syap.g_01903	Prbk.g_00655
OG0000454	Syap.g_01902	Prbk.g_00654
OG0000455	Syap.g_01901	Prbk.g_00653
OG0000456	Syap.g_01900	Prbk.g_00652
OG0000457	Syap.g_01896	Prbk.g_00650
OG0000458	Syap.g_01895	Prbk.g_00649
OG0000459	Syap.g_01894	Prbk.g_00648
OG0000460	Syap.g_01159	Prbk.g_01369
OG0000461	Syap.g_01575	Prbk.g_01900
OG0000462	Syap.g_01578	Prbk.g_01012
OG0000463	Syap.g_01579	Prbk.g_01011
OG0000464	Syap.g_01580	Prbk.g_01010
OG0000465	Syap.g_01582	Prbk.g_01008
OG0000466	Syap.g_01587	Prbk.g_01003
OG0000467	Syap.g_01588	Prbk.g_01001
OG0000468	Syap.g_01593	Prbk.g_00371
OG0000469	Syap.g_02352	Prbk.g_00384
OG0000470	Syap.g_02349	Prbk.g_00397
OG0000471	Syap.g_02348	Prbk.g_00398
OG0000472	Syap.g_02347	Prbk.g_00400
OG0000473	Syap.g_02343	Prbk.g_00402
OG0000474	Syap.g_02342	Prbk.g_00403
OG0000475	Syap.g_02341	Prbk.g_00404
OG0000476	Syap.g_02339	Prbk.g_00406
OG0000477	Syap.g_01367	Prbk.g_00411
OG0000478	Syap.g_01366	Prbk.g_00412
OG0000479	Syap.g_01364	Prbk.g_00413
OG0000480	Syap.g_01357	Prbk.g_00420
OG0000482	Syap.g_01355	Prbk.g_00423
OG0000483	Syap.g_01344	Prbk.g_00427
OG0000484	Syap.g_01350	Prbk.g_00428
OG0000485	Syap.g_01349	Prbk.g_00429
OG0000487	Syap.g_01635	Prbk.g_00435
OG0000488	Syap.g_01639	Prbk.g_00439
OG0000489	Syap.g_02482	Prbk.g_00450
OG0000490	Syap.g_01673	Prbk.g_00456
OG0000491	Syap.g_01670	Prbk.g_00457
OG0000492	Syap.g_01668	Prbk.g_00460
OG0000493	Syap.g_01667	Prbk.g_00461
OG0000494	Syap.g_01666	Prbk.g_00462
OG0000495	Syap.g_01665	Prbk.g_00463
OG0000496	Syap.g_01663	Prbk.g_00464
OG0000497	Syap.g_01662	Prbk.g_00465
OG0000498	Syap.g_01661	Prbk.g_00466
OG0000499	Syap.g_01660	Prbk.g_00467
OG0000500	Syap.g_01659	Prbk.g_00468
OG0000501	Syap.g_01656	Prbk.g_00471
OG0000502	Syap.g_02066	Prbk.g_00483
OG0000503	Syap.g_00569	Prbk.g_00871
OG0000504	Syap.g_00567	Prbk.g_00873
OG0000505	Syap.g_00566	Prbk.g_00874
OG0000506	Syap.g_00564	Prbk.g_00876
OG0000507	Syap.g_00558	Prbk.g_00881
OG0000508	Syap.g_00554	Prbk.g_00888
OG0000509	Syap.g_00551	Prbk.g_00890
OG0000510	Syap.g_00550	Prbk.g_00891
OG0000511	Syap.g_00548	Prbk.g_00892
OG0000512	Syap.g_02145	Prbk.g_00894
OG0000513	Syap.g_02048	Prbk.g_00360
OG0000514	Syap.g_02051	Prbk.g_00352
OG0000515	Syap.g_02052	Prbk.g_00351
OG0000516	Syap.g_02054	Prbk.g_00339
OG0000517	Syap.g_02057	Prbk.g_00329
OG0000519	Syap.g_00457	Prbk.g_00316
OG0000520	Syap.g_00456	Prbk.g_00315
OG0000521	Syap.g_01997	Prbk.g_00301
OG0000522	Syap.g_01995	Prbk.g_00299
OG0000523	Syap.g_02507	Prbk.g_00298
OG0000524	Syap.g_02135	Prbk.g_02088
OG0000525	Syap.g_02159	Prbk.g_02105
OG0000526	Syap.g_02157	Prbk.g_02107
OG0000527	Syap.g_02758	Prbk.g_02111
OG0000528	Syap.g_02261	Prbk.g_02056
OG0000529	Syap.g_02254	Prbk.g_02062
OG0000530	Syap.g_02252	Prbk.g_02065
OG0000531	Syap.g_02251	Prbk.g_02066
OG0000532	Syap.g_02247	Prbk.g_02069
OG0000533	Syap.g_02244	Prbk.g_02071
OG0000534	Syap.g_02243	Prbk.g_02072
OG0000535	Syap.g_02242	Prbk.g_02073
OG0000536	Syap.g_02241	Prbk.g_02074
OG0000537	Syap.g_02240	Prbk.g_02075
OG0000538	Syap.g_00271	Prbk.g_01865
OG0000539	Syap.g_00270	Prbk.g_01041
OG0000540	Syap.g_00269	Prbk.g_01042
