Orthogroup	Syap	Prbb
OG0000489	Syap.g_02482	Prbb.g_00354
OG0000490	Syap.g_01673	Prbb.g_00359
OG0000491	Syap.g_01670	Prbb.g_00360
OG0000492	Syap.g_01668	Prbb.g_00362
OG0000493	Syap.g_01667	Prbb.g_00363
OG0000494	Syap.g_01666	Prbb.g_00364
OG0000495	Syap.g_01665	Prbb.g_00365
OG0000496	Syap.g_01663	Prbb.g_00366
OG0000497	Syap.g_01662	Prbb.g_00367
OG0000498	Syap.g_01661	Prbb.g_00368
OG0000499	Syap.g_01660	Prbb.g_00369
OG0000500	Syap.g_01659	Prbb.g_00370
OG0000501	Syap.g_01656	Prbb.g_00372
OG0000502	Syap.g_02066	Prbb.g_00375
OG0000503	Syap.g_00569	Prbb.g_00394
OG0000504	Syap.g_00567	Prbb.g_00396
OG0000505	Syap.g_00566	Prbb.g_00397
OG0000506	Syap.g_00564	Prbb.g_00398
OG0000507	Syap.g_00558	Prbb.g_00401
OG0000508	Syap.g_00554	Prbb.g_00404
OG0000509	Syap.g_00551	Prbb.g_00406
OG0000510	Syap.g_00550	Prbb.g_00407
OG0000511	Syap.g_00548	Prbb.g_00408
OG0000512	Syap.g_02145	Prbb.g_00410
OG0000513	Syap.g_02048	Prbb.g_00419
OG0000514	Syap.g_02051	Prbb.g_00436
OG0000515	Syap.g_02052	Prbb.g_00437
OG0000516	Syap.g_02054	Prbb.g_00438
OG0000517	Syap.g_02057	Prbb.g_00440
OG0000519	Syap.g_00457	Prbb.g_00452
OG0000520	Syap.g_00456	Prbb.g_00453
OG0000521	Syap.g_01997	Prbb.g_00458
OG0000522	Syap.g_01995	Prbb.g_00460
OG0000523	Syap.g_02507	Prbb.g_00461
OG0000524	Syap.g_02135	Prbb.g_00468
OG0000525	Syap.g_02159	Prbb.g_00472
OG0000526	Syap.g_02157	Prbb.g_00473
OG0000527	Syap.g_02758	Prbb.g_00476
OG0000528	Syap.g_02261	Prbb.g_00482
OG0000529	Syap.g_02254	Prbb.g_00486
OG0000530	Syap.g_02252	Prbb.g_00489
OG0000531	Syap.g_02251	Prbb.g_00490
OG0000532	Syap.g_02247	Prbb.g_00491
OG0000533	Syap.g_02244	Prbb.g_00492
OG0000534	Syap.g_02243	Prbb.g_00493
OG0000535	Syap.g_02242	Prbb.g_00494
OG0000536	Syap.g_02241	Prbb.g_00495
OG0000537	Syap.g_02240	Prbb.g_00496
OG0000538	Syap.g_00271	Prbb.g_00504
OG0000539	Syap.g_00270	Prbb.g_00505
OG0000540	Syap.g_00269	Prbb.g_00506
OG0000541	Syap.g_00268	Prbb.g_00507
OG0000542	Syap.g_00264	Prbb.g_00509
OG0000543	Syap.g_00261	Prbb.g_00511
OG0000544	Syap.g_00260	Prbb.g_00512
OG0000545	Syap.g_00259	Prbb.g_00514
OG0000546	Syap.g_00256	Prbb.g_00517
OG0000547	Syap.g_00254	Prbb.g_00519
OG0000548	Syap.g_00253	Prbb.g_00520
OG0000549	Syap.g_00758	Prbb.g_00523
OG0000550	Syap.g_02747	Prbb.g_00527
OG0000551	Syap.g_02739	Prbb.g_00530
OG0000552	Syap.g_02738	Prbb.g_00531
OG0000553	Syap.g_02735	Prbb.g_00532
OG0000554	Syap.g_01450	Prbb.g_00537
OG0000555	Syap.g_01941	Prbb.g_00545
OG0000556	Syap.g_01933	Prbb.g_00547
OG0000557	Syap.g_01931	Prbb.g_00548
OG0000558	Syap.g_01147	Prbb.g_00551
OG0000560	Syap.g_00305	Prbb.g_00558
OG0000561	Syap.g_00304	Prbb.g_00559
OG0000562	Syap.g_00302	Prbb.g_00560
OG0000563	Syap.g_00301	Prbb.g_00561
OG0000564	Syap.g_00300	Prbb.g_00562
OG0000565	Syap.g_00296	Prbb.g_00565
OG0000566	Syap.g_00291	Prbb.g_00567
OG0000567	Syap.g_01297	Prbb.g_00571
OG0000568	Syap.g_01302	Prbb.g_00572
OG0000569	Syap.g_01303	Prbb.g_00573
OG0000570	Syap.g_01304	Prbb.g_00574
OG0000571	Syap.g_01307	Prbb.g_00576
OG0000573	Syap.g_00765	Prbb.g_00592
OG0000574	Syap.g_00759	Prbb.g_00594
OG0000575	Syap.g_00445	Prbb.g_00597
OG0000576	Syap.g_00450	Prbb.g_00599
OG0000577	Syap.g_00451	Prbb.g_00600
OG0000578	Syap.g_00452	Prbb.g_00601
OG0000579	Syap.g_00453	Prbb.g_00602
