Orthogroup	Prbb	Syaa
OG0000241	Prbb.g_00533	Syaa.g_01644
OG0000242	Prbb.g_00535	Syaa.g_01982
OG0000243	Prbb.g_00546	Syaa.g_01960
OG0000244	Prbb.g_00550	Syaa.g_01954
OG0000245	Prbb.g_00552	Syaa.g_01952
OG0000246	Prbb.g_00556	Syaa.g_01948
OG0000247	Prbb.g_00566	Syaa.g_01937
OG0000248	Prbb.g_00568	Syaa.g_01934
OG0000249	Prbb.g_00570	Syaa.g_01932
OG0000250	Prbb.g_00575	Syaa.g_01922
OG0000251	Prbb.g_00591	Syaa.g_01897
OG0000252	Prbb.g_00593	Syaa.g_01894
OG0000253	Prbb.g_00595	Syaa.g_01893
OG0000254	Prbb.g_00612	Syaa.g_01684
OG0000255	Prbb.g_00618	Syaa.g_01668
OG0000256	Prbb.g_00628	Syaa.g_01651
OG0000257	Prbb.g_00631	Syaa.g_01645
OG0000258	Prbb.g_00644	Syaa.g_01624
OG0000259	Prbb.g_00661	Syaa.g_01063
OG0000260	Prbb.g_00665	Syaa.g_01066
OG0000261	Prbb.g_00668	Syaa.g_01069
OG0000262	Prbb.g_00673	Syaa.g_01074
OG0000263	Prbb.g_00686	Syaa.g_00989
OG0000264	Prbb.g_00697, Prbb.g_00698	Syaa.g_00910
OG0000265	Prbb.g_00713	Syaa.g_00931, Syaa.g_01498
OG0000266	Prbb.g_00723	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbb.g_00736	Syaa.g_01409
OG0000268	Prbb.g_00737	Syaa.g_01408
OG0000269	Prbb.g_00778	Syaa.g_01149
OG0000270	Prbb.g_00781	Syaa.g_01152
OG0000271	Prbb.g_00789	Syaa.g_01160
OG0000272	Prbb.g_00790	Syaa.g_01161
OG0000273	Prbb.g_00814	Syaa.g_00844
OG0000274	Prbb.g_00815	Syaa.g_00843
OG0000275	Prbb.g_00817	Syaa.g_00840
OG0000276	Prbb.g_00823	Syaa.g_00834
OG0000277	Prbb.g_00824	Syaa.g_00833
OG0000278	Prbb.g_00828	Syaa.g_00830
OG0000279	Prbb.g_00835	Syaa.g_00822
OG0000280	Prbb.g_01370	Syaa.g_00815
OG0000282	Prbb.g_00934	Syaa.g_01096
OG0000283	Prbb.g_00965	Syaa.g_01396
OG0000284	Prbb.g_00970	Syaa.g_01390
OG0000285	Prbb.g_00975	Syaa.g_01377
OG0000286	Prbb.g_00990	Syaa.g_01358
OG0000287	Prbb.g_00101	Syaa.g_01330
OG0000288	Prbb.g_01039	Syaa.g_01299
OG0000289	Prbb.g_01051	Syaa.g_01285
OG0000290	Prbb.g_01067	Syaa.g_00875
OG0000291	Prbb.g_01069	Syaa.g_00877
OG0000292	Prbb.g_01238	Syaa.g_02751
OG0000293	Prbb.g_01527	Syaa.g_00758
