Orthogroup	Prbb	Praq
OG0000436	Prbb.g_00253	Praq.g_01806
OG0000437	Prbb.g_00254	Praq.g_01805
OG0000438	Prbb.g_00255	Praq.g_01804
OG0000439	Prbb.g_00257	Praq.g_01802
OG0000440	Prbb.g_00258	Praq.g_01801
OG0000441	Prbb.g_00260	Praq.g_01798
OG0000442	Prbb.g_00261	Praq.g_01797
OG0000443	Prbb.g_00262	Praq.g_01796
OG0000444	Prbb.g_00267	Praq.g_01791
OG0000445	Prbb.g_00268	Praq.g_01790
OG0000446	Prbb.g_00269	Praq.g_01789
OG0000447	Prbb.g_00270	Praq.g_01788
OG0000448	Prbb.g_00271	Praq.g_01787
OG0000449	Prbb.g_00272	Praq.g_01786
OG0000450	Prbb.g_00273	Praq.g_01785
OG0000451	Prbb.g_00274	Praq.g_01784
OG0000452	Prbb.g_00277	Praq.g_01781
OG0000453	Prbb.g_00278	Praq.g_01780
OG0000454	Prbb.g_00279	Praq.g_01779
OG0000455	Prbb.g_00280	Praq.g_01778
OG0000456	Prbb.g_00281	Praq.g_01777
OG0000457	Prbb.g_00282	Praq.g_01776
OG0000458	Prbb.g_00283	Praq.g_01775
OG0000459	Prbb.g_00284	Praq.g_01774
OG0000460	Prbb.g_00292	Praq.g_01767
OG0000461	Prbb.g_00300	Praq.g_01760
OG0000462	Prbb.g_00302	Praq.g_01758
OG0000463	Prbb.g_00303	Praq.g_01757
OG0000464	Prbb.g_00304	Praq.g_01756
OG0000465	Prbb.g_00305	Praq.g_01755
OG0000466	Prbb.g_00306	Praq.g_01752
OG0000467	Prbb.g_00307	Praq.g_01751
OG0000468	Prbb.g_00309	Praq.g_01750
OG0000469	Prbb.g_00316	Praq.g_01741
OG0000470	Prbb.g_00318	Praq.g_01739
OG0000471	Prbb.g_00319	Praq.g_01738
OG0000472	Prbb.g_00320	Praq.g_01737
OG0000473	Prbb.g_00322	Praq.g_01735
OG0000474	Prbb.g_00323	Praq.g_01734
OG0000475	Prbb.g_00324	Praq.g_01733
OG0000476	Prbb.g_00326	Praq.g_01732
OG0000477	Prbb.g_00328	Praq.g_01728
OG0000478	Prbb.g_00329	Praq.g_01727
OG0000479	Prbb.g_00330	Praq.g_01726
OG0000480	Prbb.g_00334	Praq.g_01721
OG0000481	Prbb.g_00336	Praq.g_01718
OG0000482	Prbb.g_00337	Praq.g_01717
OG0000483	Prbb.g_00340	Praq.g_01714
OG0000484	Prbb.g_00341	Praq.g_01713
OG0000485	Prbb.g_00342	Praq.g_01712
OG0000486	Prbb.g_00343	Praq.g_01711
OG0000487	Prbb.g_00346	Praq.g_01707
OG0000488	Prbb.g_00349	Praq.g_01704
OG0000489	Prbb.g_00354	Praq.g_01699
OG0000490	Prbb.g_00359	Praq.g_01694
OG0000491	Prbb.g_00360	Praq.g_01693
OG0000492	Prbb.g_00362	Praq.g_01691
OG0000493	Prbb.g_00363	Praq.g_01690
OG0000494	Prbb.g_00364	Praq.g_01689
OG0000495	Prbb.g_00365	Praq.g_01688
OG0000496	Prbb.g_00366	Praq.g_01687
OG0000497	Prbb.g_00367	Praq.g_01686
OG0000498	Prbb.g_00368	Praq.g_01685
OG0000499	Prbb.g_00369	Praq.g_01684
OG0000500	Prbb.g_00370	Praq.g_01683
OG0000501	Prbb.g_00372	Praq.g_01681
OG0000502	Prbb.g_00375	Praq.g_01678
OG0000503	Prbb.g_00394	Praq.g_01211
OG0000504	Prbb.g_00396	Praq.g_01210
OG0000505	Prbb.g_00397	Praq.g_01209
OG0000506	Prbb.g_00398	Praq.g_01207
OG0000507	Prbb.g_00401	Praq.g_01204
OG0000508	Prbb.g_00404	Praq.g_01200
OG0000509	Prbb.g_00406	Praq.g_01198
OG0000510	Prbb.g_00407	Praq.g_01197
OG0000511	Prbb.g_00408	Praq.g_01196
OG0000512	Prbb.g_00410	Praq.g_01194
OG0000513	Prbb.g_00419	Praq.g_01186
OG0000514	Prbb.g_00436	Praq.g_01126
OG0000515	Prbb.g_00437	Praq.g_01125
OG0000516	Prbb.g_00438	Praq.g_01124
OG0000517	Prbb.g_00440	Praq.g_01122
OG0000518	Prbb.g_00451	Praq.g_01111
OG0000519	Prbb.g_00452	Praq.g_01110
OG0000520	Prbb.g_00453	Praq.g_01109
OG0000521	Prbb.g_00458	Praq.g_00502
OG0000522	Prbb.g_00460	Praq.g_00504
OG0000523	Prbb.g_00461	Praq.g_00505
OG0000524	Prbb.g_00468	Praq.g_00511
OG0000525	Prbb.g_00472	Praq.g_00514
OG0000526	Prbb.g_00473	Praq.g_00515
OG0000527	Prbb.g_00476	Praq.g_00524
OG0000528	Prbb.g_00482	Praq.g_00529
OG0000529	Prbb.g_00486	Praq.g_00532
OG0000530	Prbb.g_00489	Praq.g_00535
OG0000531	Prbb.g_00490	Praq.g_00536
OG0000532	Prbb.g_00491	Praq.g_00538
OG0000533	Prbb.g_00492	Praq.g_00539
OG0000534	Prbb.g_00493	Praq.g_00540
OG0000535	Prbb.g_00494	Praq.g_00541
OG0000536	Prbb.g_00495	Praq.g_00542
OG0000537	Prbb.g_00496	Praq.g_00543
OG0000538	Prbb.g_00504	Praq.g_01102
OG0000539	Prbb.g_00505	Praq.g_01101
OG0000540	Prbb.g_00506	Praq.g_01100
OG0000541	Prbb.g_00507	Praq.g_01099
