Orthogroup	Prau	Prad
OG0000398	Prau.g_00132	Prad.g_01862
OG0000399	Prau.g_00133	Prad.g_01861
OG0000400	Prau.g_00134	Prad.g_01860
OG0000401	Prau.g_00135	Prad.g_01859
OG0000402	Prau.g_00137	Prad.g_01857
OG0000403	Prau.g_00138	Prad.g_01856
OG0000404	Prau.g_00139	Prad.g_01855
OG0000405	Prau.g_00143	Prad.g_01851
OG0000406	Prau.g_00148	Prad.g_01844
OG0000407	Prau.g_00149	Prad.g_01843
OG0000408	Prau.g_00151	Prad.g_01841
OG0000409	Prau.g_00153	Prad.g_01839
OG0000410	Prau.g_00154	Prad.g_01838
OG0000411	Prau.g_00155	Prad.g_01837
OG0000412	Prau.g_00156	Prad.g_01836
OG0000413	Prau.g_00157	Prad.g_01835
OG0000414	Prau.g_00158	Prad.g_01834
OG0000415	Prau.g_00159	Prad.g_01833
OG0000416	Prau.g_00160	Prad.g_01832
OG0000417	Prau.g_00161	Prad.g_01831
OG0000418	Prau.g_00166	Prad.g_01826
OG0000419	Prau.g_00168	Prad.g_01824
OG0000420	Prau.g_00169	Prad.g_01823
OG0000421	Prau.g_00174	Prad.g_01818
OG0000422	Prau.g_00175	Prad.g_01817
OG0000423	Prau.g_00176	Prad.g_01816
OG0000424	Prau.g_00177	Prad.g_01815
OG0000425	Prau.g_00178	Prad.g_01814
OG0000426	Prau.g_00179	Prad.g_01813
OG0000427	Prau.g_00180	Prad.g_01812
OG0000428	Prau.g_00182	Prad.g_01810
OG0000429	Prau.g_00183	Prad.g_01809
OG0000430	Prau.g_00184	Prad.g_01808
OG0000431	Prau.g_00186	Prad.g_01806
OG0000432	Prau.g_00189	Prad.g_01803
OG0000433	Prau.g_00190	Prad.g_01802
OG0000434	Prau.g_00191	Prad.g_01801
OG0000435	Prau.g_00192	Prad.g_01800
OG0000436	Prau.g_00197	Prad.g_01795
OG0000437	Prau.g_00198	Prad.g_01794
OG0000438	Prau.g_00199	Prad.g_01793
OG0000439	Prau.g_00201	Prad.g_01791
OG0000440	Prau.g_00202	Prad.g_01790
OG0000441	Prau.g_00205	Prad.g_01787
OG0000442	Prau.g_00206	Prad.g_01786
OG0000443	Prau.g_00207	Prad.g_01785
OG0000444	Prau.g_00212	Prad.g_01780
OG0000445	Prau.g_00213	Prad.g_01779
OG0000446	Prau.g_00214	Prad.g_01778
