Orthogroup	Prbn	Syaf
OG0000291	Prbn.g_01470	Syaf.g_01441
OG0000292	Prbn.g_01144	Syaf.g_00505
OG0000293	Prbn.g_01179	Syaf.g_01277
OG0000294	Prbn.g_01180	Syaf.g_01278
OG0000295	Prbn.g_01203	Syaf.g_01316
OG0000296	Prbn.g_01205	Syaf.g_01318
OG0000297	Prbn.g_00387	Syaf.g_01607
OG0000298	Prbn.g_00388	Syaf.g_01606
OG0000299	Prbn.g_00407	Syaf.g_01578
OG0000300	Prbn.g_00410	Syaf.g_01571
OG0000301	Prbn.g_00411	Syaf.g_01570
OG0000302	Prbn.g_00413	Syaf.g_01568
OG0000303	Prbn.g_00419	Syaf.g_01559
OG0000304	Prbn.g_00482	Syaf.g_01551
OG0000305	Prbn.g_01146	Syaf.g_01444
OG0000306	Prbn.g_01482	Syaf.g_01332
OG0000307	Prbn.g_00159	Syaf.g_02742
OG0000308	Prbn.g_00160	Syaf.g_02744
OG0000309	Prbn.g_00164	Syaf.g_02749
OG0000310	Prbn.g_00198	Syaf.g_02387
OG0000311	Prbn.g_00200	Syaf.g_02391
OG0000312	Prbn.g_00203	Syaf.g_02397
OG0000313	Prbn.g_00216	Syaf.g_02421
OG0000314	Prbn.g_00239	Syaf.g_02458
OG0000315	Prbn.g_00249	Syaf.g_02468
OG0000316	Prbn.g_00274	Syaf.g_01088
OG0000317	Prbn.g_01742	Syaf.g_01040
OG0000318	Prbn.g_01746	Syaf.g_01032
OG0000319	Prbn.g_01759	Syaf.g_01015
OG0000320	Prbn.g_01761	Syaf.g_01013
OG0000321	Prbn.g_01762	Syaf.g_01012
OG0000322	Prbn.g_01763	Syaf.g_01011
OG0000323	Prbn.g_01773	Syaf.g_00997
OG0000324	Prbn.g_01800	Syaf.g_01164
OG0000325	Prbn.g_01811	Syaf.g_00176
OG0000326	Prbn.g_01818	Syaf.g_00169
OG0000327	Prbn.g_01839	Syaf.g_00138
OG0000328	Prbn.g_01840	Syaf.g_00137
OG0000329	Prbn.g_01857	Syaf.g_00119
OG0000330	Prbn.g_01858	Syaf.g_00118
OG0000331	Prbn.g_01859	Syaf.g_00117
OG0000332	Prbn.g_01873	Syaf.g_00102
OG0000333	Prbn.g_01875	Syaf.g_00099
OG0000334	Prbn.g_01884	Syaf.g_00090
OG0000335	Prbn.g_01889	Syaf.g_00085
OG0000336	Prbn.g_01893	Syaf.g_00081
OG0000337	Prbn.g_01911	Syaf.g_00344
OG0000338	Prbn.g_01912	Syaf.g_00348
OG0000339	Prbn.g_01918	Syaf.g_00355
OG0000340	Prbn.g_01012	Syaf.g_00366
OG0000341	Prbn.g_01010	Syaf.g_00368
OG0000342	Prbn.g_01009	Syaf.g_00369
OG0000343	Prbn.g_01008	Syaf.g_00370
OG0000344	Prbn.g_01005	Syaf.g_00374
OG0000345	Prbn.g_00999	Syaf.g_00384
OG0000346	Prbn.g_00995	Syaf.g_00389
OG0000347	Prbn.g_00978	Syaf.g_00415
OG0000348	Prbn.g_00970	Syaf.g_00427
OG0000349	Prbn.g_00953	Syaf.g_00445
OG0000350	Prbn.g_00798	Syaf.g_00162
OG0000351	Prbn.g_00913	Syaf.g_00528
OG0000352	Prbn.g_00912	Syaf.g_00527
OG0000353	Prbn.g_00299	Syaf.g_00499
OG0000355	Prbn.g_00301	Syaf.g_00497
OG0000356	Prbn.g_00302	Syaf.g_00496
OG0000357	Prbn.g_00011	Syaf.g_00495
OG0000358	Prbn.g_00007	Syaf.g_00491
OG0000359	Prbn.g_00006	Syaf.g_00489
OG0000360	Prbn.g_00005	Syaf.g_00488
OG0000361	Prbn.g_00004	Syaf.g_00487
OG0000362	Prbn.g_00001	Syaf.g_00485
OG0000363	Prbn.g_00768	Syaf.g_00483
OG0000364	Prbn.g_00767	Syaf.g_00482
OG0000365	Prbn.g_00762	Syaf.g_00473
OG0000366	Prbn.g_00761	Syaf.g_00472
OG0000367	Prbn.g_00760	Syaf.g_00471
OG0000368	Prbn.g_00758	Syaf.g_00469
OG0000369	Prbn.g_00757	Syaf.g_00468
OG0000370	Prbn.g_00756	Syaf.g_00467
OG0000371	Prbn.g_00749	Syaf.g_00458
OG0000372	Prbn.g_00746	Syaf.g_00453
OG0000373	Prbn.g_00745	Syaf.g_00452
OG0000374	Prbn.g_00744	Syaf.g_00451
OG0000375	Prbn.g_00742	Syaf.g_00449
OG0000376	Prbn.g_00740	Syaf.g_00447
OG0000377	Prbn.g_00736	Syaf.g_00654
OG0000378	Prbn.g_00732	Syaf.g_00668
OG0000379	Prbn.g_00729	Syaf.g_00686
OG0000380	Prbn.g_00712	Syaf.g_00965
OG0000381	Prbn.g_00707	Syaf.g_00962
OG0000382	Prbn.g_01340	Syaf.g_00945
OG0000383	Prbn.g_01338	Syaf.g_00941
OG0000384	Prbn.g_01337	Syaf.g_00940
OG0000385	Prbn.g_01336	Syaf.g_00939
OG0000386	Prbn.g_01335	Syaf.g_00938
OG0000387	Prbn.g_01321	Syaf.g_00912
OG0000388	Prbn.g_01317	Syaf.g_00908
OG0000389	Prbn.g_01314	Syaf.g_00904
OG0000390	Prbn.g_01304	Syaf.g_00883
