Orthogroup	Praa	Prbj
OG0000286	Praa.g_00963	Prbj.g_02269
OG0000287	Praa.g_00980	Prbj.g_00722
OG0000288	Praa.g_01012	Prbj.g_02214
OG0000289	Praa.g_01023	Prbj.g_02201
OG0000290	Praa.g_01036	Prbj.g_01841
OG0000291	Praa.g_01038	Prbj.g_01839
OG0000292	Praa.g_01089	Prbj.g_02066
OG0000293	Praa.g_01151	Prbj.g_00958
OG0000294	Praa.g_01152	Prbj.g_00959
OG0000295	Praa.g_01171	Prbj.g_00304
OG0000296	Praa.g_01173	Prbj.g_00306, Prbj.g_00307
OG0000297	Praa.g_01181	Prbj.g_01913
OG0000298	Praa.g_01182	Prbj.g_01914
OG0000299	Praa.g_01199	Prbj.g_01903
OG0000300	Praa.g_01202	Prbj.g_02155
OG0000301	Praa.g_01203	Prbj.g_02156
OG0000302	Praa.g_01205	Prbj.g_02159
OG0000303	Praa.g_01212	Prbj.g_00314
OG0000304	Praa.g_01216	Prbj.g_00020
OG0000305	Praa.g_01358	Prbj.g_01837
OG0000306	Praa.g_01361	Prbj.g_02521
OG0000307	Praa.g_01375	Prbj.g_01647
OG0000308	Praa.g_01376	Prbj.g_01649
OG0000309	Praa.g_01380	Prbj.g_01653
OG0000310	Praa.g_01461	Prbj.g_01294
OG0000311	Praa.g_01463	Prbj.g_01040
OG0000312	Praa.g_01466	Prbj.g_01044
OG0000313	Praa.g_01480	Prbj.g_01068
OG0000314	Praa.g_01503	Prbj.g_00646
OG0000315	Praa.g_01513	Prbj.g_00656
OG0000316	Praa.g_01533	Prbj.g_01699
OG0000317	Praa.g_01633	Prbj.g_00863
OG0000318	Praa.g_01636	Prbj.g_00856
OG0000319	Praa.g_01649	Prbj.g_00487
OG0000320	Praa.g_01651	Prbj.g_00485
OG0000321	Praa.g_01652	Prbj.g_00484
OG0000322	Praa.g_01653	Prbj.g_00483
OG0000323	Praa.g_01662	Prbj.g_00472
OG0000324	Praa.g_01690	Prbj.g_00443
OG0000325	Praa.g_01700	Prbj.g_02657
OG0000326	Praa.g_01706	Prbj.g_02649
OG0000327	Praa.g_01734	Prbj.g_01024
OG0000328	Praa.g_01735	Prbj.g_01023
OG0000329	Praa.g_01752	Prbj.g_01006
OG0000330	Praa.g_01753	Prbj.g_01005
OG0000331	Praa.g_01754	Prbj.g_01004
OG0000332	Praa.g_01768	Prbj.g_00989
OG0000333	Praa.g_01770	Prbj.g_00987
OG0000334	Praa.g_01778	Prbj.g_00410
OG0000335	Praa.g_01783	Prbj.g_00405
OG0000336	Praa.g_01787	Prbj.g_00401
OG0000337	Praa.g_01804	Prbj.g_01494
OG0000338	Praa.g_01805	Prbj.g_01498
OG0000339	Praa.g_01809	Prbj.g_01504
OG0000340	Praa.g_01817	Prbj.g_01516
OG0000341	Praa.g_01819	Prbj.g_01518
OG0000342	Praa.g_01820	Prbj.g_01519
OG0000343	Praa.g_01821	Prbj.g_01576
OG0000344	Praa.g_01824	Prbj.g_01579
OG0000345	Praa.g_01829	Prbj.g_01594
OG0000346	Praa.g_01833	Prbj.g_01599
OG0000347	Praa.g_01849	Prbj.g_01280
OG0000348	Praa.g_01859	Prbj.g_01243
OG0000349	Praa.g_01876	Prbj.g_01219
OG0000350	Praa.g_01894	Prbj.g_01999
OG0000351	Praa.g_01911	Prbj.g_02047
OG0000352	Praa.g_01912	Prbj.g_02048
OG0000353	Praa.g_01927	Prbj.g_02072
OG0000355	Praa.g_00001	Prbj.g_02074
OG0000356	Praa.g_00002	Prbj.g_02075
OG0000357	Praa.g_00003	Prbj.g_02076
OG0000358	Praa.g_00007	Prbj.g_02080
OG0000359	Praa.g_00008	Prbj.g_02082
OG0000360	Praa.g_00009	Prbj.g_02083
OG0000361	Praa.g_00010	Prbj.g_02084
OG0000362	Praa.g_00012	Prbj.g_02086
OG0000363	Praa.g_00014	Prbj.g_01182
OG0000364	Praa.g_00015	Prbj.g_01183
OG0000365	Praa.g_00020	Prbj.g_01192
OG0000366	Praa.g_00021	Prbj.g_01193
OG0000367	Praa.g_00022	Prbj.g_01194
OG0000368	Praa.g_00024	Prbj.g_01196
OG0000369	Praa.g_00025	Prbj.g_01197
OG0000370	Praa.g_00026	Prbj.g_01198
OG0000371	Praa.g_00032	Prbj.g_01207
OG0000372	Praa.g_00035	Prbj.g_01212
OG0000373	Praa.g_00036	Prbj.g_01213
OG0000374	Praa.g_00037	Prbj.g_01214
OG0000375	Praa.g_00040	Prbj.g_01215
OG0000376	Praa.g_00042	Prbj.g_01217
OG0000377	Praa.g_00045	Prbj.g_01950
OG0000378	Praa.g_00047	Prbj.g_01936
OG0000379	Praa.g_00050	Prbj.g_01920
OG0000380	Praa.g_00066	Prbj.g_00561
OG0000381	Praa.g_00070	Prbj.g_00565
OG0000382	Praa.g_00081	Prbj.g_00580
OG0000383	Praa.g_00083	Prbj.g_00582
OG0000384	Praa.g_00084	Prbj.g_00583
OG0000385	Praa.g_00085	Prbj.g_00584
OG0000386	Praa.g_00086	Prbj.g_00585
OG0000387	Praa.g_00099	Prbj.g_00611
OG0000388	Praa.g_00102	Prbj.g_00615
OG0000389	Praa.g_00106	Prbj.g_00619
OG0000390	Praa.g_00113	Prbj.g_01551
OG0000391	Praa.g_00116	Prbj.g_01556
OG0000392	Praa.g_00120	Prbj.g_01562
OG0000393	Praa.g_00122	Prbj.g_01567
OG0000394	Praa.g_00123	Prbj.g_01568
OG0000395	Praa.g_00124	Prbj.g_01569
OG0000396	Praa.g_00127	Prbj.g_01530
OG0000397	Praa.g_00129	Prbj.g_01532
OG0000398	Praa.g_00131	Prbj.g_01537
OG0000399	Praa.g_00132	Prbj.g_01538
OG0000400	Praa.g_00133	Prbj.g_01539
OG0000401	Praa.g_00134	Prbj.g_01540
OG0000402	Praa.g_00136	Prbj.g_01542
OG0000403	Praa.g_00137	Prbj.g_01543
OG0000404	Praa.g_00138	Prbj.g_01545
OG0000405	Praa.g_00142	Prbj.g_00545
OG0000406	Praa.g_00147	Prbj.g_00541
OG0000407	Praa.g_00148	Prbj.g_00540
OG0000408	Praa.g_00150	Prbj.g_00538
OG0000409	Praa.g_00152	Prbj.g_00536
OG0000410	Praa.g_00153	Prbj.g_00535
OG0000411	Praa.g_00154	Prbj.g_00534
OG0000412	Praa.g_00155	Prbj.g_00533
OG0000413	Praa.g_00156	Prbj.g_00531
OG0000414	Praa.g_00157	Prbj.g_00530
OG0000415	Praa.g_00158	Prbj.g_00529
OG0000416	Praa.g_00159	Prbj.g_00528
OG0000417	Praa.g_00160	Prbj.g_00527
OG0000418	Praa.g_00165	Prbj.g_00522
OG0000419	Praa.g_00167	Prbj.g_00520
OG0000420	Praa.g_00168	Prbj.g_00519
OG0000421	Praa.g_00173	Prbj.g_00515
OG0000422	Praa.g_00174	Prbj.g_00514
OG0000423	Praa.g_00175	Prbj.g_00513
OG0000424	Praa.g_00176	Prbj.g_00512
OG0000425	Praa.g_00177	Prbj.g_00511
OG0000426	Praa.g_00178	Prbj.g_00510
OG0000427	Praa.g_00179	Prbj.g_00509
OG0000428	Praa.g_00181	Prbj.g_02369
OG0000429	Praa.g_00182	Prbj.g_01135
OG0000430	Praa.g_00183	Prbj.g_01137
OG0000431	Praa.g_00185	Prbj.g_01141
OG0000432	Praa.g_00188	Prbj.g_01148
OG0000433	Praa.g_00189	Prbj.g_01151
OG0000434	Praa.g_00190	Prbj.g_01152
OG0000435	Praa.g_00191	Prbj.g_01155
OG0000436	Praa.g_00196	Prbj.g_01161
OG0000437	Praa.g_00197	Prbj.g_01162
OG0000438	Praa.g_00198	Prbj.g_01163
OG0000439	Praa.g_00200	Prbj.g_01165
OG0000440	Praa.g_00201	Prbj.g_01166
OG0000441	Praa.g_00204	Prbj.g_01173
OG0000442	Praa.g_00205	Prbj.g_01174
OG0000443	Praa.g_00206	Prbj.g_00289
OG0000444	Praa.g_00211	Prbj.g_00237
OG0000445	Praa.g_00212	Prbj.g_00238
OG0000446	Praa.g_00213	Prbj.g_00240
OG0000447	Praa.g_00214	Prbj.g_00250
OG0000448	Praa.g_00215	Prbj.g_00251
OG0000449	Praa.g_00216	Prbj.g_00252
OG0000450	Praa.g_00217	Prbj.g_00258
OG0000451	Praa.g_00218	Prbj.g_00259
OG0000452	Praa.g_00221	Prbj.g_00264
OG0000453	Praa.g_00222	Prbj.g_00265
OG0000454	Praa.g_00223	Prbj.g_00266
OG0000455	Praa.g_00224	Prbj.g_00267
OG0000456	Praa.g_00225	Prbj.g_00268
OG0000457	Praa.g_00226	Prbj.g_00270
OG0000458	Praa.g_00227	Prbj.g_00271
OG0000459	Praa.g_00228	Prbj.g_00272
OG0000460	Praa.g_00235	Prbj.g_00176
OG0000461	Praa.g_00242	Prbj.g_02661
OG0000462	Praa.g_00244	Prbj.g_01341
OG0000463	Praa.g_00245	Prbj.g_01342
OG0000464	Praa.g_00246	Prbj.g_01343
OG0000465	Praa.g_00247	Prbj.g_01345
OG0000466	Praa.g_00250	Prbj.g_01350
OG0000467	Praa.g_00251	Prbj.g_01352
OG0000468	Praa.g_00253	Prbj.g_01359
OG0000469	Praa.g_00262	Prbj.g_01372
OG0000470	Praa.g_00264	Prbj.g_01385
OG0000471	Praa.g_00265	Prbj.g_01386
OG0000472	Praa.g_00266	Prbj.g_01388
OG0000473	Praa.g_00268	Prbj.g_01390
OG0000474	Praa.g_00269	Prbj.g_01391
OG0000475	Praa.g_00270	Prbj.g_01392
OG0000476	Praa.g_00271	Prbj.g_01394
OG0000477	Praa.g_00275	Prbj.g_01399
OG0000478	Praa.g_00276	Prbj.g_01400
OG0000479	Praa.g_00277	Prbj.g_01401
OG0000480	Praa.g_00282	Prbj.g_01408
OG0000481	Praa.g_00284	Prbj.g_01410
OG0000482	Praa.g_00285	Prbj.g_01411
OG0000483	Praa.g_00288	Prbj.g_01415
OG0000484	Praa.g_00289	Prbj.g_01416
OG0000485	Praa.g_00290	Prbj.g_01417
OG0000486	Praa.g_00291	Prbj.g_01418
OG0000487	Praa.g_00295	Prbj.g_01423
OG0000488	Praa.g_00298	Prbj.g_01427
OG0000489	Praa.g_00303	Prbj.g_01438
OG0000490	Praa.g_00308	Prbj.g_01444
OG0000491	Praa.g_00309	Prbj.g_01445
OG0000492	Praa.g_00311	Prbj.g_01448
OG0000493	Praa.g_00312	Prbj.g_01449
OG0000494	Praa.g_00313	Prbj.g_01450
OG0000495	Praa.g_00314	Prbj.g_01451
OG0000496	Praa.g_00315	Prbj.g_01452
OG0000497	Praa.g_00316	Prbj.g_01453
OG0000498	Praa.g_00317	Prbj.g_01454
OG0000499	Praa.g_00318	Prbj.g_01455
OG0000500	Praa.g_00319	Prbj.g_01456
OG0000501	Praa.g_00321	Prbj.g_01459
OG0000502	Praa.g_00324	Prbj.g_01471
OG0000503	Praa.g_00334	Prbj.g_00341
OG0000504	Praa.g_00335	Prbj.g_00339
OG0000505	Praa.g_00336	Prbj.g_00338
OG0000506	Praa.g_00338	Prbj.g_00336
OG0000507	Praa.g_00340	Prbj.g_00331
OG0000508	Praa.g_00344	Prbj.g_00324
OG0000509	Praa.g_00346	Prbj.g_00322
OG0000510	Praa.g_00347	Prbj.g_00321
OG0000511	Praa.g_00348	Prbj.g_00320
OG0000512	Praa.g_00350	Prbj.g_00318
OG0000513	Praa.g_00357	Prbj.g_00068
OG0000514	Praa.g_00431	Prbj.g_00076
OG0000515	Praa.g_00432	Prbj.g_00077
OG0000516	Praa.g_00433	Prbj.g_00089
OG0000517	Praa.g_00435	Prbj.g_00099
OG0000518	Praa.g_00445	Prbj.g_00111
OG0000519	Praa.g_00446	Prbj.g_00112
OG0000520	Praa.g_00447	Prbj.g_00113
OG0000521	Praa.g_00452	Prbj.g_01894
OG0000522	Praa.g_00454	Prbj.g_01892
OG0000523	Praa.g_00455	Prbj.g_01891
OG0000524	Praa.g_00461	Prbj.g_00152
OG0000525	Praa.g_00464	Prbj.g_00136
OG0000526	Praa.g_00465	Prbj.g_00134
OG0000527	Praa.g_00473	Prbj.g_00130
OG0000528	Praa.g_00478	Prbj.g_01635
OG0000529	Praa.g_00481	Prbj.g_01629
OG0000530	Praa.g_00484	Prbj.g_01626
OG0000531	Praa.g_00485	Prbj.g_01625
OG0000532	Praa.g_00487	Prbj.g_01622
OG0000533	Praa.g_00488	Prbj.g_01620
OG0000534	Praa.g_00489	Prbj.g_01619
OG0000535	Praa.g_00490	Prbj.g_01618
OG0000536	Praa.g_00491	Prbj.g_01617
OG0000537	Praa.g_00492	Prbj.g_01616
OG0000538	Praa.g_00500	Prbj.g_01605
OG0000539	Praa.g_00501	Prbj.g_02088
OG0000540	Praa.g_00502	Prbj.g_02089
OG0000541	Praa.g_00503	Prbj.g_02090
OG0000542	Praa.g_00505	Prbj.g_02093
OG0000543	Praa.g_00507	Prbj.g_02095
OG0000544	Praa.g_00508	Prbj.g_02096
OG0000545	Praa.g_00510	Prbj.g_02097
OG0000546	Praa.g_00513	Prbj.g_02099
OG0000547	Praa.g_00515	Prbj.g_02101
OG0000548	Praa.g_00516	Prbj.g_02102
OG0000549	Praa.g_00518	Prbj.g_02108
OG0000550	Praa.g_00523	Prbj.g_02113
OG0000551	Praa.g_00527	Prbj.g_02117
OG0000552	Praa.g_00528	Prbj.g_02118
OG0000553	Praa.g_00529	Prbj.g_02123
OG0000554	Praa.g_00534	Prbj.g_02128
OG0000555	Praa.g_00543	Prbj.g_02146
OG0000556	Praa.g_00545	Prbj.g_02666
OG0000557	Praa.g_00546	Prbj.g_01858
OG0000558	Praa.g_00548	Prbj.g_01861
OG0000559	Praa.g_00552	Prbj.g_01865
OG0000560	Praa.g_00555	Prbj.g_01868
OG0000561	Praa.g_00556	Prbj.g_01869
OG0000562	Praa.g_00557	Prbj.g_01870
OG0000563	Praa.g_00558	Prbj.g_01871
OG0000564	Praa.g_00559	Prbj.g_01872
OG0000565	Praa.g_00562	Prbj.g_01875
OG0000566	Praa.g_00564	Prbj.g_01879
OG0000567	Praa.g_00568	Prbj.g_01883
OG0000568	Praa.g_00569	Prbj.g_01885
OG0000569	Praa.g_00570	Prbj.g_01807
OG0000570	Praa.g_00571	Prbj.g_01806
