Orthogroup	Prav	Syar
OG0000384	Prav.g_00149	Syar.g_03075
OG0000385	Prav.g_00150	Syar.g_03076
OG0000386	Prav.g_00151	Syar.g_03077
OG0000387	Prav.g_00164	Syar.g_03109
OG0000388	Prav.g_00167	Syar.g_03148, Syar.g_03113
OG0000389	Prav.g_00171	Syar.g_03118
OG0000390	Prav.g_00178	Syar.g_00033
OG0000391	Prav.g_00181	Syar.g_00038
OG0000392	Prav.g_00185	Syar.g_00045
OG0000393	Prav.g_00187	Syar.g_00048
OG0000394	Prav.g_00188	Syar.g_00049
OG0000395	Prav.g_00189	Syar.g_00050
OG0000396	Prav.g_00192	Syar.g_00053
OG0000397	Prav.g_00194	Syar.g_00055
OG0000398	Prav.g_00196	Syar.g_00060
OG0000399	Prav.g_00197	Syar.g_00061
OG0000400	Prav.g_00198	Syar.g_00062
OG0000401	Prav.g_00199	Syar.g_00063
OG0000402	Prav.g_00201	Syar.g_00065
OG0000403	Prav.g_00202	Syar.g_00066
OG0000404	Prav.g_00203	Syar.g_00067
OG0000405	Prav.g_00207	Syar.g_00076
OG0000406	Prav.g_00214	Syar.g_00080
OG0000407	Prav.g_00215	Syar.g_00081
OG0000409	Prav.g_00886	Syar.g_00085
OG0000410	Prav.g_00885	Syar.g_00086
OG0000411	Prav.g_00884	Syar.g_00087
OG0000412	Prav.g_00883	Syar.g_00088
OG0000413	Prav.g_00882	Syar.g_00090
OG0000414	Prav.g_00881	Syar.g_00091, Syar.g_03179
OG0000415	Prav.g_00880	Syar.g_00092
OG0000416	Prav.g_00879	Syar.g_00093
OG0000417	Prav.g_00878	Syar.g_00095
OG0000418	Prav.g_00873	Syar.g_00100
OG0000419	Prav.g_00871	Syar.g_00102
OG0000420	Prav.g_00870	Syar.g_00104
OG0000421	Prav.g_00865	Syar.g_00109
OG0000422	Prav.g_00864	Syar.g_00110
OG0000423	Prav.g_00863	Syar.g_00111
OG0000424	Prav.g_00862	Syar.g_00112
OG0000425	Prav.g_00861	Syar.g_00113
OG0000426	Prav.g_00860	Syar.g_00114
OG0000427	Prav.g_00859	Syar.g_00115
OG0000428	Prav.g_00857	Syar.g_00118
OG0000429	Prav.g_00856	Syar.g_00121
OG0000430	Prav.g_00855	Syar.g_00123
OG0000431	Prav.g_00853	Syar.g_00127
OG0000432	Prav.g_00850	Syar.g_01009
OG0000433	Prav.g_00849	Syar.g_01007
OG0000434	Prav.g_00848	Syar.g_01006
OG0000435	Prav.g_00847	Syar.g_01003
OG0000436	Prav.g_00842	Syar.g_00994
OG0000437	Prav.g_00841	Syar.g_00993
OG0000438	Prav.g_00840	Syar.g_00992
OG0000439	Prav.g_00838	Syar.g_00990
OG0000440	Prav.g_00837	Syar.g_00989
OG0000441	Prav.g_00834	Syar.g_00986
OG0000442	Prav.g_00833	Syar.g_00977
OG0000443	Prav.g_00832	Syar.g_00964
OG0000444	Prav.g_00827	Syar.g_00954
OG0000445	Prav.g_00826	Syar.g_00953
OG0000446	Prav.g_00825	Syar.g_00951
OG0000447	Prav.g_00824	Syar.g_00948
OG0000448	Prav.g_00823	Syar.g_00947
OG0000449	Prav.g_00822	Syar.g_00946
OG0000450	Prav.g_00821	Syar.g_00939
OG0000451	Prav.g_00820	Syar.g_00938
OG0000452	Prav.g_00817	Syar.g_00934
OG0000453	Prav.g_00816	Syar.g_00933
OG0000454	Prav.g_00815	Syar.g_00932
OG0000455	Prav.g_00814	Syar.g_00931
OG0000456	Prav.g_00813	Syar.g_00930
OG0000457	Prav.g_00812	Syar.g_00928
OG0000458	Prav.g_00811	Syar.g_00918
OG0000459	Prav.g_00810	Syar.g_00917
OG0000460	Prav.g_00803	Syar.g_03024
OG0000461	Prav.g_01889	Syar.g_00153
OG0000462	Prav.g_01891	Syar.g_00155
OG0000463	Prav.g_01892	Syar.g_00156
OG0000464	Prav.g_01893	Syar.g_00157
OG0000465	Prav.g_01894	Syar.g_00159
OG0000466	Prav.g_01897	Syar.g_00164
OG0000467	Prav.g_01898	Syar.g_00165
OG0000468	Prav.g_01900	Syar.g_00170
OG0000469	Prav.g_01909	Syar.g_00203
OG0000470	Prav.g_01911	Syar.g_00206
OG0000471	Prav.g_01912	Syar.g_00207
OG0000472	Prav.g_01913	Syar.g_00208
OG0000473	Prav.g_01915	Syar.g_00210
OG0000474	Prav.g_01916	Syar.g_00211
OG0000475	Prav.g_01917	Syar.g_00212
OG0000476	Prav.g_01918	Syar.g_00214
OG0000477	Prav.g_01921	Syar.g_00219
OG0000478	Prav.g_01922	Syar.g_00220
OG0000479	Prav.g_01923	Syar.g_00221
OG0000480	Prav.g_01928	Syar.g_00228
OG0000481	Prav.g_01930	Syar.g_00230
OG0000482	Prav.g_01931	Syar.g_00231
OG0000483	Prav.g_01934	Syar.g_00235
OG0000484	Prav.g_01935	Syar.g_00236
OG0000485	Prav.g_01936	Syar.g_00237
OG0000486	Prav.g_01937	Syar.g_00238, Syar.g_00024
OG0000487	Prav.g_01941	Syar.g_00245
OG0000488	Prav.g_01944	Syar.g_00853
OG0000489	Prav.g_01949	Syar.g_00833
OG0000490	Prav.g_01954	Syar.g_00823
OG0000491	Prav.g_01955	Syar.g_00822
OG0000492	Prav.g_01957	Syar.g_00727
OG0000493	Prav.g_01958	Syar.g_00726
OG0000494	Prav.g_01959	Syar.g_00725
OG0000495	Prav.g_01960	Syar.g_00724
OG0000496	Prav.g_01961	Syar.g_00723
OG0000497	Prav.g_01962	Syar.g_00722
OG0000498	Prav.g_01963	Syar.g_00721
OG0000499	Prav.g_01964	Syar.g_00720
OG0000500	Prav.g_01965	Syar.g_00719
OG0000501	Prav.g_01967	Syar.g_00716
OG0000502	Prav.g_01970	Syar.g_00275
OG0000503	Prav.g_01980	Syar.g_01118
OG0000504	Prav.g_01981	Syar.g_01120
OG0000505	Prav.g_01982	Syar.g_01121
OG0000506	Prav.g_01984	Syar.g_01123
OG0000507	Prav.g_01987	Syar.g_01129
OG0000508	Prav.g_01991	Syar.g_01141
OG0000509	Prav.g_01993	Syar.g_01143
