Orthogroup	Syah	Prbb
OG0000496	Syah.g_00136	Prbb.g_00366
OG0000497	Syah.g_00137	Prbb.g_00367
OG0000498	Syah.g_00138	Prbb.g_00368
OG0000499	Syah.g_00139	Prbb.g_00369
OG0000500	Syah.g_00140	Prbb.g_00370
OG0000501	Syah.g_00143	Prbb.g_00372
OG0000502	Syah.g_00155	Prbb.g_00375
OG0000503	Syah.g_00858	Prbb.g_00394
OG0000504	Syah.g_00860	Prbb.g_00396
OG0000505	Syah.g_00861	Prbb.g_00397
OG0000506	Syah.g_00863	Prbb.g_00398
OG0000507	Syah.g_00869	Prbb.g_00401
OG0000508	Syah.g_00873	Prbb.g_00404
OG0000509	Syah.g_00875	Prbb.g_00406
OG0000510	Syah.g_00876	Prbb.g_00407
OG0000511	Syah.g_00877	Prbb.g_00408
OG0000512	Syah.g_00879	Prbb.g_00410
OG0000513	Syah.g_00892	Prbb.g_00419
OG0000514	Syah.g_00899	Prbb.g_00436
OG0000515	Syah.g_00900	Prbb.g_00437
OG0000516	Syah.g_02231	Prbb.g_00438
OG0000517	Syah.g_02237	Prbb.g_00440
OG0000518	Syah.g_02221	Prbb.g_00451
OG0000519	Syah.g_02220	Prbb.g_00452
OG0000520	Syah.g_02219	Prbb.g_00453
OG0000521	Syah.g_01202	Prbb.g_00458
OG0000522	Syah.g_01204	Prbb.g_00460
OG0000523	Syah.g_01205	Prbb.g_00461
OG0000524	Syah.g_01207	Prbb.g_00468
OG0000525	Syah.g_01212	Prbb.g_00472
OG0000526	Syah.g_01215	Prbb.g_00473
OG0000527	Syah.g_01219	Prbb.g_00476
OG0000528	Syah.g_00991	Prbb.g_00482
OG0000529	Syah.g_00998	Prbb.g_00486
OG0000530	Syah.g_01001	Prbb.g_00489
OG0000531	Syah.g_01002	Prbb.g_00490
OG0000532	Syah.g_01005	Prbb.g_00491
OG0000533	Syah.g_01006	Prbb.g_00492
OG0000534	Syah.g_01007	Prbb.g_00493
OG0000535	Syah.g_01008	Prbb.g_00494
OG0000536	Syah.g_01009	Prbb.g_00495
OG0000537	Syah.g_01010	Prbb.g_00496
OG0000538	Syah.g_01021	Prbb.g_00504
OG0000539	Syah.g_01022	Prbb.g_00505
OG0000540	Syah.g_01023	Prbb.g_00506
OG0000541	Syah.g_01024	Prbb.g_00507
OG0000542	Syah.g_01027	Prbb.g_00509
OG0000543	Syah.g_01029	Prbb.g_00511
OG0000545	Syah.g_01031	Prbb.g_00514
OG0000546	Syah.g_01033	Prbb.g_00517
OG0000547	Syah.g_01035	Prbb.g_00519
OG0000548	Syah.g_01036	Prbb.g_00520
OG0000549	Syah.g_01042	Prbb.g_00523
OG0000550	Syah.g_01046	Prbb.g_00527
