Orthogroup	Syag	Syam
OG0000543	Syag.g_01494	Syam.g_00615
OG0000544	Syag.g_01493	Syam.g_00616
OG0000545	Syag.g_01491	Syam.g_00618
OG0000546	Syag.g_01489	Syam.g_00620
OG0000547	Syag.g_01487	Syam.g_00622
OG0000548	Syag.g_01486	Syam.g_00623
OG0000549	Syag.g_01480	Syam.g_00630
OG0000550	Syag.g_01474	Syam.g_00635
OG0000551	Syag.g_01470	Syam.g_00640
OG0000552	Syag.g_01469	Syam.g_00641
OG0000553	Syag.g_01464	Syam.g_00643
OG0000554	Syag.g_01453	Syam.g_00652
OG0000555	Syag.g_00075	Syam.g_00667
OG0000556	Syag.g_00257	Syam.g_00670
OG0000557	Syag.g_00267	Syam.g_00672
OG0000558	Syag.g_00269	Syam.g_00675
OG0000559	Syag.g_00273	Syam.g_00679
OG0000560	Syag.g_00276	Syam.g_00682
OG0000561	Syag.g_00277	Syam.g_00683
OG0000562	Syag.g_00278	Syam.g_00684
OG0000563	Syag.g_00279	Syam.g_00685
OG0000564	Syag.g_00280	Syam.g_00686
OG0000565	Syag.g_00284	Syam.g_00690
OG0000566	Syag.g_00288	Syam.g_00694
OG0000567	Syag.g_00292	Syam.g_00698
OG0000568	Syag.g_00295	Syam.g_01751
OG0000569	Syag.g_00296	Syam.g_01750
OG0000570	Syag.g_00297	Syam.g_01749
OG0000571	Syag.g_00301	Syam.g_01745
OG0000572	Syag.g_00251, Syag.g_00320	Syam.g_01729
OG0000573	Syag.g_00329	Syam.g_01721
OG0000574	Syag.g_00330	Syam.g_01720
OG0000575	Syag.g_00335	Syam.g_01716
OG0000576	Syag.g_00337	Syam.g_01714
