Orthogroup	Syar	Syaf
OG0000353	Syar.g_00469	Syaf.g_00499
OG0000354	Syar.g_01514	Syaf.g_02680
OG0000354	Syar.g_00487	Syaf.g_00479
OG0000355	Syar.g_00471	Syaf.g_00497
OG0000356	Syar.g_00472	Syaf.g_00496
OG0000357	Syar.g_00473	Syaf.g_00495
OG0000358	Syar.g_00477	Syaf.g_00491
OG0000359	Syar.g_00479	Syaf.g_00489
OG0000360	Syar.g_00480	Syaf.g_00488
OG0000361	Syar.g_00481	Syaf.g_00487
OG0000362	Syar.g_00483	Syaf.g_00485
OG0000363	Syar.g_00484	Syaf.g_00483
OG0000364	Syar.g_02928	Syaf.g_00482
OG0000365	Syar.g_00493	Syaf.g_00473
OG0000366	Syar.g_00494	Syaf.g_00472
OG0000367	Syar.g_00495	Syaf.g_00471
OG0000368	Syar.g_00497	Syaf.g_00469
OG0000369	Syar.g_00498	Syaf.g_00468
OG0000370	Syar.g_00499	Syaf.g_00467
OG0000371	Syar.g_00508	Syaf.g_00458
OG0000372	Syar.g_00514	Syaf.g_00453
OG0000373	Syar.g_00515	Syaf.g_00452
OG0000374	Syar.g_00516	Syaf.g_00451
OG0000375	Syar.g_00517	Syaf.g_00449
OG0000376	Syar.g_00519	Syaf.g_00447
OG0000377	Syar.g_00322	Syaf.g_00654
OG0000378	Syar.g_00905	Syaf.g_00668
OG0000379	Syar.g_00910	Syaf.g_00686
OG0000380	Syar.g_03039	Syaf.g_00965
OG0000381	Syar.g_03041	Syaf.g_00962
OG0000382	Syar.g_03057	Syaf.g_00945
OG0000383	Syar.g_03074	Syaf.g_00941
OG0000384	Syar.g_03075	Syaf.g_00940
OG0000385	Syar.g_03076	Syaf.g_00939
OG0000386	Syar.g_03077	Syaf.g_00938
OG0000387	Syar.g_03109	Syaf.g_00912
OG0000388	Syar.g_03113	Syaf.g_00908
OG0000389	Syar.g_03118	Syaf.g_00904
OG0000390	Syar.g_00033	Syaf.g_00883
OG0000391	Syar.g_00038	Syaf.g_00878
OG0000392	Syar.g_00045	Syaf.g_00872
OG0000393	Syar.g_00048	Syaf.g_00870
OG0000394	Syar.g_00049	Syaf.g_00869
OG0000395	Syar.g_00050	Syaf.g_00868
OG0000396	Syar.g_00053	Syaf.g_00865
OG0000397	Syar.g_00055	Syaf.g_00863
