Orthogroup	Syar	Prac
OG0000322	Syar.g_02958	Prac.g_00607
OG0000323	Syar.g_02973	Prac.g_00598
OG0000324	Syar.g_00350, Syar.g_03001	Prac.g_00572
OG0000325	Syar.g_03291, Syar.g_00148	Prac.g_00477
OG0000326	Syar.g_00139, Syar.g_03134	Prac.g_00483
OG0000327	Syar.g_01029	Prac.g_00507
OG0000328	Syar.g_01030	Prac.g_00508
OG0000329	Syar.g_03189, Syar.g_01048	Prac.g_00525
OG0000330	Syar.g_01049	Prac.g_00526
OG0000331	Syar.g_03191, Syar.g_01050	Prac.g_00527
OG0000332	Syar.g_01064, Syar.g_03299	Prac.g_00541
OG0000333	Syar.g_01067	Prac.g_00543
OG0000334	Syar.g_01076	Prac.g_00551
OG0000335	Syar.g_01080	Prac.g_00555
OG0000336	Syar.g_01084	Prac.g_00559
OG0000337	Syar.g_00285	Prac.g_00013
OG0000338	Syar.g_03225, Syar.g_00287	Prac.g_00014
OG0000339	Syar.g_00658	Prac.g_00018
OG0000340	Syar.g_00247	Prac.g_00026
OG0000341	Syar.g_00249	Prac.g_00028
OG0000342	Syar.g_00250	Prac.g_00029
OG0000343	Syar.g_00256	Prac.g_00030
OG0000344	Syar.g_00260	Prac.g_00033
OG0000345	Syar.g_00612	Prac.g_00038
OG0000346	Syar.g_00607	Prac.g_00042
OG0000347	Syar.g_00558	Prac.g_00057
OG0000348	Syar.g_00544	Prac.g_00066
OG0000349	Syar.g_00521	Prac.g_00083
OG0000350	Syar.g_00132	Prac.g_00101
OG0000351	Syar.g_00442	Prac.g_00118
OG0000352	Syar.g_00443	Prac.g_00119
OG0000353	Syar.g_00469	Prac.g_01948
OG0000355	Syar.g_00471	Prac.g_01946
OG0000356	Syar.g_00472	Prac.g_01945
OG0000357	Syar.g_00473	Prac.g_01944
OG0000358	Syar.g_00477	Prac.g_01940
OG0000359	Syar.g_00479	Prac.g_01939
OG0000360	Syar.g_00480	Prac.g_01938
OG0000361	Syar.g_00481	Prac.g_01937
OG0000362	Syar.g_00483	Prac.g_01935
OG0000363	Syar.g_00484	Prac.g_01933
OG0000364	Syar.g_02928	Prac.g_01932
OG0000365	Syar.g_00493	Prac.g_01927
OG0000366	Syar.g_00494	Prac.g_01926
OG0000367	Syar.g_03262, Syar.g_00495	Prac.g_01925
OG0000368	Syar.g_00497	Prac.g_01923
OG0000369	Syar.g_00498	Prac.g_01922
OG0000370	Syar.g_00499	Prac.g_01921
OG0000371	Syar.g_00508	Prac.g_01915
OG0000372	Syar.g_00514	Prac.g_01911
OG0000373	Syar.g_00515	Prac.g_01910
OG0000374	Syar.g_00516	Prac.g_01909
OG0000375	Syar.g_00517	Prac.g_01892
OG0000376	Syar.g_00519	Prac.g_01890
OG0000377	Syar.g_00322	Prac.g_01886
OG0000378	Syar.g_00905	Prac.g_01884
OG0000379	Syar.g_00910	Prac.g_01881
OG0000380	Syar.g_03039	Prac.g_01865
OG0000381	Syar.g_03041	Prac.g_01861
OG0000382	Syar.g_03057	Prac.g_01850
