Orthogroup	Syar	Syag
OG0000398	Syar.g_00060	Syag.g_01929
OG0000399	Syar.g_00061	Syag.g_01930
OG0000400	Syar.g_00062	Syag.g_01931
OG0000401	Syar.g_00063	Syag.g_01932
OG0000402	Syar.g_00065	Syag.g_01934
OG0000403	Syar.g_00066	Syag.g_01935
OG0000404	Syar.g_00067	Syag.g_01937
OG0000405	Syar.g_00076	Syag.g_01949
OG0000406	Syar.g_00080	Syag.g_01953
OG0000407	Syar.g_00081	Syag.g_01954
OG0000408	Syar.g_00083	Syag.g_01956
OG0000409	Syar.g_00085	Syag.g_01958
OG0000410	Syar.g_00086	Syag.g_01959
OG0000411	Syar.g_00087	Syag.g_01960
OG0000412	Syar.g_00088	Syag.g_01961
OG0000413	Syar.g_00090	Syag.g_01963
OG0000414	Syar.g_00091, Syar.g_03179	Syag.g_01964
OG0000415	Syar.g_00092	Syag.g_01965
OG0000416	Syar.g_00093	Syag.g_01966
OG0000417	Syar.g_00095	Syag.g_01967
OG0000418	Syar.g_00100	Syag.g_01973
OG0000419	Syar.g_00102	Syag.g_01975
OG0000420	Syar.g_00104	Syag.g_01977
OG0000421	Syar.g_00109	Syag.g_01982
OG0000422	Syar.g_00110	Syag.g_01983
OG0000423	Syar.g_00111	Syag.g_01984
OG0000424	Syar.g_00112	Syag.g_01985
OG0000425	Syar.g_00113	Syag.g_01986
OG0000426	Syar.g_00114	Syag.g_01987
OG0000427	Syar.g_00115	Syag.g_01988
OG0000428	Syar.g_00118	Syag.g_01991
OG0000429	Syar.g_00121	Syag.g_01993
OG0000430	Syar.g_00123	Syag.g_01995
OG0000431	Syar.g_00127	Syag.g_01998
OG0000432	Syar.g_01009	Syag.g_02007
OG0000433	Syar.g_01007	Syag.g_02009
OG0000434	Syar.g_01006	Syag.g_02010
OG0000435	Syar.g_01003	Syag.g_02017
OG0000436	Syar.g_00994	Syag.g_02028
OG0000437	Syar.g_00993	Syag.g_02029
OG0000438	Syar.g_00992	Syag.g_02031
OG0000439	Syar.g_00990	Syag.g_02033
OG0000440	Syar.g_00989	Syag.g_02034
OG0000441	Syar.g_00986	Syag.g_02041
OG0000442	Syar.g_00977	Syag.g_02044
OG0000443	Syar.g_00964	Syag.g_02046
OG0000444	Syar.g_00954	Syag.g_02053
OG0000445	Syar.g_00953	Syag.g_02054
OG0000446	Syar.g_00951	Syag.g_02056
OG0000447	Syar.g_00948	Syag.g_02059
OG0000448	Syar.g_00947	Syag.g_02060
OG0000449	Syar.g_00946	Syag.g_02061
OG0000450	Syar.g_00939	Syag.g_02066
OG0000451	Syar.g_00938	Syag.g_02067
OG0000452	Syar.g_00934	Syag.g_02071
OG0000453	Syar.g_00933	Syag.g_02072
OG0000454	Syar.g_00932	Syag.g_02073
OG0000455	Syar.g_00931	Syag.g_02074
OG0000456	Syar.g_00930	Syag.g_02075
OG0000457	Syar.g_00928	Syag.g_02077
OG0000458	Syar.g_00918	Syag.g_02080
OG0000459	Syar.g_00917	Syag.g_02081
OG0000460	Syar.g_03024	Syag.g_01786
OG0000461	Syar.g_00153	Syag.g_02675
OG0000462	Syar.g_00155	Syag.g_02672
OG0000463	Syar.g_00156	Syag.g_02671
OG0000464	Syar.g_00157	Syag.g_02670
OG0000465	Syar.g_00159	Syag.g_02668
OG0000466	Syar.g_00164	Syag.g_02662
OG0000467	Syar.g_00165	Syag.g_02660
OG0000468	Syar.g_00170	Syag.g_02636
OG0000469	Syar.g_00203	Syag.g_02621
OG0000470	Syar.g_00206	Syag.g_02619
OG0000471	Syar.g_00207	Syag.g_02618
OG0000472	Syar.g_00208	Syag.g_02616
OG0000473	Syar.g_00210	Syag.g_02614
OG0000474	Syar.g_00211	Syag.g_02613
OG0000475	Syar.g_00212	Syag.g_02612
OG0000476	Syar.g_00214	Syag.g_02610
OG0000477	Syar.g_00219	Syag.g_02604
OG0000478	Syar.g_00220	Syag.g_02603
OG0000479	Syar.g_00221	Syag.g_02602
OG0000480	Syar.g_00228	Syag.g_02595
OG0000481	Syar.g_00230	Syag.g_02593
OG0000482	Syar.g_00231	Syag.g_02592
OG0000483	Syar.g_00235	Syag.g_02588
OG0000484	Syar.g_00236	Syag.g_02587
OG0000485	Syar.g_00237	Syag.g_02586
OG0000486	Syar.g_00238, Syar.g_00024	Syag.g_02585
OG0000487	Syar.g_00245	Syag.g_02579
OG0000488	Syar.g_00853	Syag.g_02575
OG0000489	Syar.g_00833	Syag.g_02565
OG0000490	Syar.g_00823	Syag.g_02553
OG0000491	Syar.g_00822	Syag.g_02551
OG0000492	Syar.g_00727	Syag.g_02549
OG0000493	Syar.g_00726	Syag.g_02548
OG0000494	Syar.g_00725	Syag.g_02547
OG0000495	Syar.g_00724	Syag.g_02546
OG0000496	Syar.g_00723	Syag.g_02545
OG0000497	Syar.g_00722	Syag.g_02544
OG0000498	Syar.g_00721	Syag.g_02543
OG0000499	Syar.g_00720	Syag.g_02542
OG0000500	Syar.g_00719	Syag.g_02541
OG0000501	Syar.g_00716	Syag.g_02538
OG0000502	Syar.g_00275	Syag.g_02467
OG0000503	Syar.g_01118	Syag.g_02843
OG0000504	Syar.g_01120	Syag.g_02845
OG0000505	Syar.g_01121	Syag.g_02846
OG0000506	Syar.g_01123	Syag.g_02849
OG0000507	Syar.g_01129	Syag.g_02855
OG0000508	Syar.g_01141	Syag.g_02860
OG0000509	Syar.g_01143	Syag.g_02862
OG0000510	Syar.g_01144	Syag.g_02863
OG0000511	Syar.g_01145	Syag.g_02864
OG0000512	Syar.g_01147	Syag.g_02866
OG0000513	Syar.g_01166	Syag.g_00009
OG0000514	Syar.g_01169	Syag.g_00018
OG0000515	Syar.g_01170	Syag.g_00019
OG0000516	Syar.g_01172	Syag.g_00025
OG0000517	Syar.g_01176	Syag.g_00032
OG0000518	Syar.g_02868	Syag.g_00044
OG0000519	Syar.g_02867	Syag.g_00045
OG0000520	Syar.g_02866	Syag.g_00046
OG0000521	Syar.g_01419	Syag.g_00054
OG0000522	Syar.g_01421	Syag.g_00056
OG0000523	Syar.g_01422	Syag.g_00057
OG0000524	Syar.g_01244	Syag.g_01327
OG0000525	Syar.g_01263	Syag.g_01345
OG0000526	Syar.g_01266	Syag.g_01348
OG0000527	Syar.g_01271	Syag.g_01354
OG0000528	Syar.g_01466	Syag.g_01532
OG0000529	Syar.g_01470	Syag.g_01527
OG0000530	Syar.g_01473	Syag.g_01524
OG0000531	Syar.g_01474	Syag.g_01523
OG0000532	Syar.g_01477	Syag.g_01520
OG0000533	Syar.g_01479	Syag.g_01518
OG0000534	Syar.g_01480	Syag.g_01517
OG0000535	Syar.g_01481	Syag.g_01516
OG0000536	Syar.g_01482	Syag.g_01515
OG0000537	Syar.g_01483	Syag.g_01514
OG0000538	Syar.g_01496	Syag.g_01502
OG0000539	Syar.g_01497	Syag.g_01501
OG0000540	Syar.g_01498	Syag.g_01500
OG0000541	Syar.g_01499	Syag.g_01499
OG0000542	Syar.g_01502	Syag.g_01496
OG0000543	Syar.g_01504	Syag.g_01494
OG0000544	Syar.g_01505	Syag.g_01493
OG0000545	Syar.g_01507	Syag.g_01491
OG0000546	Syar.g_01509	Syag.g_01489
OG0000547	Syar.g_01511	Syag.g_01487
OG0000548	Syar.g_01512	Syag.g_01486
OG0000549	Syar.g_02693	Syag.g_01480
OG0000550	Syar.g_02689	Syag.g_01474
OG0000551	Syar.g_02684	Syag.g_01470
