Orthogroup	Syar	Prbl
OG0000326	Syar.g_00139, Syar.g_03134	Prbl.g_01059
OG0000327	Syar.g_01029	Prbl.g_00957
OG0000328	Syar.g_01030	Prbl.g_00958
OG0000329	Syar.g_03189, Syar.g_01048	Prbl.g_00975
OG0000330	Syar.g_01049	Prbl.g_00976
OG0000331	Syar.g_03191	Prbl.g_00977
OG0000332	Syar.g_01064, Syar.g_03299	Prbl.g_00992
OG0000333	Syar.g_01067	Prbl.g_00994
OG0000334	Syar.g_01076	Prbl.g_01131
OG0000335	Syar.g_01080	Prbl.g_01136
OG0000336	Syar.g_01084	Prbl.g_01140
OG0000337	Syar.g_00285	Prbl.g_00863
OG0000338	Syar.g_03225, Syar.g_00287	Prbl.g_00859
OG0000339	Syar.g_00658	Prbl.g_00853
OG0000340	Syar.g_00247	Prbl.g_00841
OG0000341	Syar.g_00249	Prbl.g_00839
OG0000342	Syar.g_00250	Prbl.g_00838
OG0000343	Syar.g_00256	Prbl.g_01307
OG0000344	Syar.g_00260	Prbl.g_01304
OG0000345	Syar.g_00612	Prbl.g_01289
OG0000346	Syar.g_00607	Prbl.g_01284
OG0000347	Syar.g_00558	Prbl.g_02053
OG0000348	Syar.g_00544	Prbl.g_02016
OG0000349	Syar.g_00521	Prbl.g_01992
OG0000350	Syar.g_00132	Prbl.g_02195
OG0000351	Syar.g_00442	Prbl.g_02147
OG0000352	Syar.g_00443	Prbl.g_02146
OG0000353	Syar.g_00469	Prbl.g_02122
OG0000354	Syar.g_01514	Prbl.g_00789
OG0000354	Syar.g_00487	Prbl.g_01959
OG0000355	Syar.g_00471	Prbl.g_02120
OG0000356	Syar.g_00472	Prbl.g_02119
OG0000357	Syar.g_00473	Prbl.g_02118
OG0000358	Syar.g_00477	Prbl.g_02114
OG0000359	Syar.g_00479	Prbl.g_02112
OG0000360	Syar.g_00480	Prbl.g_02111
OG0000361	Syar.g_00481	Prbl.g_02110
OG0000362	Syar.g_00483	Prbl.g_02108
OG0000363	Syar.g_00484	Prbl.g_01955
OG0000364	Syar.g_02928	Prbl.g_01956
OG0000365	Syar.g_00493	Prbl.g_01965
OG0000366	Syar.g_00494	Prbl.g_01966
OG0000367	Syar.g_03262, Syar.g_00495	Prbl.g_01967
OG0000368	Syar.g_00497	Prbl.g_01969
OG0000369	Syar.g_00498	Prbl.g_01970
OG0000370	Syar.g_00499	Prbl.g_01971
OG0000371	Syar.g_00508	Prbl.g_01980
OG0000372	Syar.g_00514	Prbl.g_01985
OG0000373	Syar.g_00515	Prbl.g_01986
OG0000374	Syar.g_00516	Prbl.g_01987
OG0000375	Syar.g_00517	Prbl.g_01988
OG0000376	Syar.g_00519	Prbl.g_01990
OG0000377	Syar.g_00322	Prbl.g_02244
OG0000378	Syar.g_00905	Prbl.g_02258
OG0000379	Syar.g_00910	Prbl.g_02274
OG0000380	Syar.g_03039	Prbl.g_00612
OG0000381	Syar.g_03041	Prbl.g_00607
OG0000382	Syar.g_03057	Prbl.g_00592
OG0000383	Syar.g_03074	Prbl.g_00590
OG0000384	Syar.g_03075	Prbl.g_00589
OG0000385	Syar.g_03076	Prbl.g_00588
OG0000386	Syar.g_03077	Prbl.g_00587
OG0000387	Syar.g_03109	Prbl.g_00561
OG0000388	Syar.g_03148, Syar.g_03113	Prbl.g_00557
OG0000389	Syar.g_03118	Prbl.g_00553
OG0000390	Syar.g_00033	Prbl.g_01331
OG0000391	Syar.g_00038	Prbl.g_01326
OG0000392	Syar.g_00045	Prbl.g_01320
OG0000393	Syar.g_00048	Prbl.g_01315
OG0000394	Syar.g_00049	Prbl.g_01314
OG0000395	Syar.g_00050	Prbl.g_01313
OG0000396	Syar.g_00053	Prbl.g_00827
OG0000397	Syar.g_00055	Prbl.g_00825
OG0000398	Syar.g_00060	Prbl.g_00820
OG0000399	Syar.g_00061	Prbl.g_00819
OG0000400	Syar.g_00062	Prbl.g_00818
OG0000401	Syar.g_00063	Prbl.g_00817
OG0000402	Syar.g_00065	Prbl.g_00815
OG0000403	Syar.g_00066	Prbl.g_00814
OG0000404	Syar.g_00067	Prbl.g_00812
OG0000405	Syar.g_00076	Prbl.g_00305
OG0000406	Syar.g_00080	Prbl.g_00301
OG0000407	Syar.g_00081	Prbl.g_00300
OG0000408	Syar.g_00083	Prbl.g_00298
OG0000409	Syar.g_00085	Prbl.g_00296
OG0000410	Syar.g_00086	Prbl.g_00295
OG0000411	Syar.g_00087	Prbl.g_00294
OG0000412	Syar.g_00088	Prbl.g_00293
OG0000413	Syar.g_00090	Prbl.g_00291
OG0000414	Syar.g_00091, Syar.g_03179	Prbl.g_00290
OG0000415	Syar.g_00092	Prbl.g_00289
OG0000416	Syar.g_00093	Prbl.g_00288
OG0000417	Syar.g_00095	Prbl.g_00287
OG0000418	Syar.g_00100	Prbl.g_00282
OG0000419	Syar.g_00102	Prbl.g_00280
OG0000420	Syar.g_00104	Prbl.g_00279
OG0000421	Syar.g_00109	Prbl.g_00275
OG0000422	Syar.g_00110	Prbl.g_00274
OG0000423	Syar.g_00111	Prbl.g_00273
OG0000424	Syar.g_00112	Prbl.g_00272
OG0000425	Syar.g_00113	Prbl.g_00271
OG0000426	Syar.g_00114	Prbl.g_00270
OG0000427	Syar.g_00115	Prbl.g_00269
OG0000428	Syar.g_00118	Prbl.g_02377
OG0000429	Syar.g_00121	Prbl.g_00066
OG0000430	Syar.g_00123	Prbl.g_00068
OG0000431	Syar.g_00127	Prbl.g_00072
OG0000432	Syar.g_01009	Prbl.g_00079
OG0000433	Syar.g_01007	Prbl.g_00082
OG0000434	Syar.g_01006	Prbl.g_00083
OG0000435	Syar.g_01003	Prbl.g_00086
OG0000436	Syar.g_00994	Prbl.g_00092
OG0000437	Syar.g_00993	Prbl.g_00093
OG0000438	Syar.g_00992	Prbl.g_00094
OG0000439	Syar.g_00990	Prbl.g_00096
OG0000440	Syar.g_00989	Prbl.g_00097
OG0000441	Syar.g_00986	Prbl.g_00104
OG0000442	Syar.g_00977	Prbl.g_00105
OG0000443	Syar.g_00964	Prbl.g_01283
OG0000444	Syar.g_00954	Prbl.g_00127
OG0000445	Syar.g_00953	Prbl.g_00126
OG0000446	Syar.g_00951	Prbl.g_00124
OG0000447	Syar.g_00948	Prbl.g_01244
OG0000448	Syar.g_00947	Prbl.g_01245
OG0000449	Syar.g_00946	Prbl.g_01246
OG0000450	Syar.g_00939	Prbl.g_01252
OG0000451	Syar.g_00938	Prbl.g_01253
OG0000452	Syar.g_00934	Prbl.g_01258
OG0000453	Syar.g_00933	Prbl.g_01259
OG0000454	Syar.g_00932	Prbl.g_01260
OG0000455	Syar.g_00931	Prbl.g_01261
OG0000456	Syar.g_00930	Prbl.g_01262
OG0000457	Syar.g_00928	Prbl.g_01264
OG0000458	Syar.g_00918	Prbl.g_01265
OG0000459	Syar.g_00917	Prbl.g_01266
OG0000460	Syar.g_03024	Prbl.g_01923
OG0000461	Syar.g_00153	Prbl.g_02679
OG0000462	Syar.g_00155	Prbl.g_02666
OG0000463	Syar.g_00156	Prbl.g_01516
OG0000464	Syar.g_00157	Prbl.g_01515
OG0000465	Syar.g_00159	Prbl.g_01513
OG0000466	Syar.g_00164	Prbl.g_01508
OG0000467	Syar.g_00165	Prbl.g_01506
OG0000468	Syar.g_00170	Prbl.g_01499
OG0000469	Syar.g_00203	Prbl.g_01486
OG0000470	Syar.g_00206	Prbl.g_01473
OG0000471	Syar.g_00207	Prbl.g_01472
OG0000472	Syar.g_00208	Prbl.g_01470
OG0000473	Syar.g_00210	Prbl.g_01468
OG0000474	Syar.g_00211	Prbl.g_01467
OG0000475	Syar.g_00212	Prbl.g_01466
OG0000476	Syar.g_00214	Prbl.g_01464
OG0000477	Syar.g_00219	Prbl.g_01459
OG0000478	Syar.g_00220	Prbl.g_01458
OG0000479	Syar.g_00221	Prbl.g_01457
OG0000480	Syar.g_00228	Prbl.g_01450
OG0000481	Syar.g_00230	Prbl.g_01448
OG0000482	Syar.g_00231	Prbl.g_01447
OG0000483	Syar.g_00235	Prbl.g_01443
OG0000484	Syar.g_00236	Prbl.g_01442
OG0000485	Syar.g_00237	Prbl.g_01441
OG0000486	Syar.g_00238, Syar.g_00024	Prbl.g_01440
OG0000487	Syar.g_00245	Prbl.g_01435
OG0000488	Syar.g_00853	Prbl.g_01431
OG0000489	Syar.g_00833	Prbl.g_01420
OG0000490	Syar.g_00823	Prbl.g_01414
OG0000491	Syar.g_00822	Prbl.g_01413
