Orthogroup	Syak	Syae
OG0000540	Syak.g_02602	Syae.g_02335
OG0000541	Syak.g_02603	Syae.g_02336
OG0000542	Syak.g_02606	Syae.g_02339
OG0000543	Syak.g_02608	Syae.g_02341
OG0000544	Syak.g_02609	Syae.g_02342
OG0000545	Syak.g_02611	Syae.g_02344
OG0000546	Syak.g_02613	Syae.g_02346
OG0000547	Syak.g_02615	Syae.g_02348
OG0000548	Syak.g_02616	Syae.g_02349
OG0000549	Syak.g_02622	Syae.g_02354
OG0000550	Syak.g_02626	Syae.g_02358
OG0000551	Syak.g_02631	Syae.g_02363
OG0000552	Syak.g_02632	Syae.g_02364
OG0000553	Syak.g_02636	Syae.g_02366
OG0000554	Syak.g_02641	Syae.g_02375
OG0000555	Syak.g_02657	Syae.g_02390
OG0000556	Syak.g_02661	Syae.g_02394
OG0000557	Syak.g_02663	Syae.g_02398
OG0000558	Syak.g_02666	Syae.g_02400
OG0000559	Syak.g_02670	Syae.g_02404
OG0000560	Syak.g_02672	Syae.g_02407
OG0000561	Syak.g_02673	Syae.g_02408
OG0000562	Syak.g_02674	Syae.g_02409
OG0000563	Syak.g_02675	Syae.g_02410
OG0000564	Syak.g_02676	Syae.g_02411
OG0000565	Syak.g_02679	Syae.g_02414
OG0000566	Syak.g_02683	Syae.g_02418
OG0000567	Syak.g_02687	Syae.g_02422
OG0000568	Syak.g_02690	Syae.g_02427
