Orthogroup	Syak	Syaf
OG0000447	Syak.g_02006	Syaf.g_00725
OG0000448	Syak.g_02005	Syaf.g_00724
OG0000449	Syak.g_02004	Syaf.g_00723
OG0000450	Syak.g_01998	Syaf.g_00717
OG0000451	Syak.g_01997	Syaf.g_00716
OG0000452	Syak.g_01993	Syaf.g_00712
OG0000453	Syak.g_01992	Syaf.g_00711
OG0000454	Syak.g_01991	Syaf.g_00710
OG0000455	Syak.g_01990	Syaf.g_00709
OG0000456	Syak.g_01989	Syaf.g_00708
OG0000457	Syak.g_01987	Syaf.g_00706
OG0000458	Syak.g_01986	Syaf.g_00705
OG0000459	Syak.g_01985	Syaf.g_00704
OG0000460	Syak.g_02303	Syaf.g_02789
OG0000461	Syak.g_01402	Syaf.g_00183
OG0000462	Syak.g_01405	Syaf.g_00186
OG0000463	Syak.g_01406	Syaf.g_00187
OG0000464	Syak.g_01407	Syaf.g_00188
OG0000465	Syak.g_01409	Syaf.g_00190
OG0000466	Syak.g_01414	Syaf.g_00194
OG0000467	Syak.g_01416	Syaf.g_00196
OG0000468	Syak.g_01421	Syaf.g_00206
OG0000469	Syak.g_01436	Syaf.g_00220
OG0000470	Syak.g_01438	Syaf.g_00222
OG0000471	Syak.g_01439	Syaf.g_00223
OG0000472	Syak.g_01441	Syaf.g_00225
OG0000473	Syak.g_01443	Syaf.g_00227
OG0000474	Syak.g_01444	Syaf.g_00228
OG0000475	Syak.g_01445	Syaf.g_00229
OG0000476	Syak.g_01447	Syaf.g_00231
OG0000477	Syak.g_01453	Syaf.g_00237
OG0000478	Syak.g_01454	Syaf.g_00238
OG0000479	Syak.g_01455	Syaf.g_00239
OG0000480	Syak.g_01462	Syaf.g_00247
OG0000481	Syak.g_01464	Syaf.g_00249
OG0000482	Syak.g_01465	Syaf.g_00250
OG0000483	Syak.g_01469	Syaf.g_00254
OG0000484	Syak.g_01470	Syaf.g_00255
OG0000485	Syak.g_01472	Syaf.g_00256
OG0000486	Syak.g_01473	Syaf.g_00257
OG0000487	Syak.g_01479	Syaf.g_00263
OG0000488	Syak.g_01483	Syaf.g_00267
OG0000489	Syak.g_01499	Syaf.g_00274
OG0000490	Syak.g_01507	Syaf.g_00284
OG0000491	Syak.g_01511	Syaf.g_00285
OG0000492	Syak.g_01513	Syaf.g_00288
OG0000493	Syak.g_01514	Syaf.g_00289
OG0000494	Syak.g_01515	Syaf.g_00290
OG0000495	Syak.g_01516	Syaf.g_00291
OG0000496	Syak.g_01517	Syaf.g_00292
OG0000497	Syak.g_01518	Syaf.g_00293
OG0000498	Syak.g_01519	Syaf.g_00294
OG0000499	Syak.g_01520	Syaf.g_00295
OG0000500	Syak.g_01521	Syaf.g_00296
OG0000501	Syak.g_01524	Syaf.g_00299
OG0000502	Syak.g_01538	Syaf.g_00319
OG0000503	Syak.g_01246	Syaf.g_00023
OG0000504	Syak.g_01244	Syaf.g_00021
OG0000505	Syak.g_01243	Syaf.g_00020
OG0000506	Syak.g_01241	Syaf.g_00018
OG0000507	Syak.g_01235	Syaf.g_00012
OG0000508	Syak.g_01231	Syaf.g_00008
OG0000509	Syak.g_01229	Syaf.g_00006
OG0000510	Syak.g_01228	Syaf.g_00005
OG0000511	Syak.g_01227	Syaf.g_00004
OG0000512	Syak.g_01225	Syaf.g_00002
OG0000513	Syak.g_01211	Syaf.g_02803
OG0000514	Syak.g_01204	Syaf.g_02796
OG0000515	Syak.g_01203	Syaf.g_02795
OG0000516	Syak.g_01199	Syaf.g_01219
OG0000517	Syak.g_01192	Syaf.g_01213
