Orthogroup	Syak	Prbc
OG0000360	Syak.g_01784	Prbc.g_01079
OG0000361	Syak.g_01783	Prbc.g_01080
OG0000362	Syak.g_01781	Prbc.g_01082
OG0000363	Syak.g_01779	Prbc.g_01084
OG0000364	Syak.g_01778	Prbc.g_01085
OG0000365	Syak.g_01769	Prbc.g_01090
OG0000366	Syak.g_01768	Prbc.g_01091
OG0000367	Syak.g_01767	Prbc.g_01092
OG0000368	Syak.g_01765	Prbc.g_01094
OG0000369	Syak.g_01764	Prbc.g_01095
OG0000370	Syak.g_01763	Prbc.g_01096
OG0000371	Syak.g_01753	Prbc.g_01102
OG0000372	Syak.g_01748	Prbc.g_01104
OG0000373	Syak.g_01747	Prbc.g_01105
OG0000374	Syak.g_01746	Prbc.g_01106
OG0000375	Syak.g_01744	Prbc.g_01118
OG0000376	Syak.g_01742	Prbc.g_01120
OG0000377	Syak.g_01948	Prbc.g_01123
OG0000378	Syak.g_01968	Prbc.g_01125
OG0000379	Syak.g_01972	Prbc.g_01128
OG0000380	Syak.g_02256	Prbc.g_00507
OG0000381	Syak.g_02254	Prbc.g_00503
OG0000382	Syak.g_02236	Prbc.g_00492
OG0000383	Syak.g_02229	Prbc.g_00490
OG0000384	Syak.g_02228	Prbc.g_00489
OG0000385	Syak.g_02227	Prbc.g_00488
OG0000386	Syak.g_02226	Prbc.g_00487
OG0000387	Syak.g_02200	Prbc.g_00474
OG0000388	Syak.g_02196	Prbc.g_00470
OG0000389	Syak.g_02193, Syak.g_02345	Prbc.g_00467
OG0000390	Syak.g_02177	Prbc.g_00458
OG0000391	Syak.g_02172	Prbc.g_00454
OG0000392	Syak.g_02166	Prbc.g_00451
OG0000393	Syak.g_02163	Prbc.g_00448
OG0000394	Syak.g_02162	Prbc.g_00447
OG0000395	Syak.g_02161	Prbc.g_00446
OG0000396	Syak.g_02158	Prbc.g_00443
OG0000397	Syak.g_02156	Prbc.g_00441
OG0000398	Syak.g_02151	Prbc.g_00438
OG0000399	Syak.g_02150	Prbc.g_00437
OG0000400	Syak.g_02149	Prbc.g_00436
OG0000401	Syak.g_02148	Prbc.g_00435
OG0000402	Syak.g_02146	Prbc.g_02145
OG0000403	Syak.g_02145	Prbc.g_00434
OG0000404	Syak.g_02143	Prbc.g_00433
OG0000405	Syak.g_02131	Prbc.g_00428
OG0000406	Syak.g_02126	Prbc.g_00424
OG0000407	Syak.g_02125	Prbc.g_00423
OG0000408	Syak.g_02123	Prbc.g_00421
OG0000409	Syak.g_02121	Prbc.g_00419
OG0000410	Syak.g_02120	Prbc.g_00418
OG0000411	Syak.g_02119	Prbc.g_00417
OG0000412	Syak.g_02118	Prbc.g_00416
OG0000413	Syak.g_02116	Prbc.g_00415
OG0000415	Syak.g_02114	Prbc.g_00413
OG0000416	Syak.g_02113	Prbc.g_00412
OG0000417	Syak.g_02112	Prbc.g_00411
OG0000418	Syak.g_02107	Prbc.g_00406
OG0000419	Syak.g_02105	Prbc.g_00404
OG0000420	Syak.g_02103	Prbc.g_00403
OG0000421	Syak.g_02097	Prbc.g_00399
OG0000422	Syak.g_02096	Prbc.g_00398
OG0000423	Syak.g_02095	Prbc.g_00397
OG0000424	Syak.g_02094	Prbc.g_00396
OG0000425	Syak.g_02093	Prbc.g_00395
OG0000426	Syak.g_02092	Prbc.g_00394
OG0000427	Syak.g_02091	Prbc.g_00393
OG0000428	Syak.g_02088	Prbc.g_00391
OG0000429	Syak.g_02086	Prbc.g_00390
OG0000430	Syak.g_02084	Prbc.g_00389
OG0000431	Syak.g_02081	Prbc.g_00387
OG0000432	Syak.g_02075	Prbc.g_00383
