Orthogroup	Pram	Syaq
OG0000246	Pram.g_00489	Syaq.g_01934
OG0000247	Pram.g_00500	Syaq.g_01945
OG0000248	Pram.g_00503	Syaq.g_01948
OG0000249	Pram.g_00505	Syaq.g_01950
OG0000250	Pram.g_00510	Syaq.g_01958
OG0000251	Pram.g_00528	Syaq.g_01984
OG0000252	Pram.g_00531	Syaq.g_01987
OG0000253	Pram.g_00532	Syaq.g_01989
OG0000254	Pram.g_00549	Syaq.g_02016
OG0000255	Pram.g_00555	Syaq.g_02041
OG0000256	Pram.g_00566	Syaq.g_02068
OG0000257	Pram.g_01080	Syaq.g_02073
OG0000258	Pram.g_01067	Syaq.g_02095
OG0000259	Pram.g_01050	Syaq.g_02239
OG0000260	Pram.g_01047	Syaq.g_02242
OG0000261	Pram.g_01044	Syaq.g_02245
OG0000262	Pram.g_01039	Syaq.g_02250
OG0000263	Pram.g_00771	Syaq.g_00185
OG0000264	Pram.g_00782	Syaq.g_02582
OG0000266	Pram.g_01020	Syaq.g_00037
OG0000267	Pram.g_01007	Syaq.g_02430
OG0000268	Pram.g_01006	Syaq.g_02431
OG0000269	Pram.g_00804	Syaq.g_02335
OG0000270	Pram.g_00807	Syaq.g_02338
OG0000271	Pram.g_00815	Syaq.g_02346
OG0000272	Pram.g_00816	Syaq.g_02347
OG0000273	Pram.g_00839	Syaq.g_02376
OG0000274	Pram.g_00840	Syaq.g_02377
OG0000275	Pram.g_00843	Syaq.g_02380
OG0000276	Pram.g_00849	Syaq.g_02387
OG0000277	Pram.g_00850	Syaq.g_02388
OG0000278	Pram.g_00853	Syaq.g_02391
OG0000279	Pram.g_00861	Syaq.g_02401
OG0000280	Pram.g_00862	Syaq.g_02410
OG0000281	Pram.g_00870	Syaq.g_02224
OG0000282	Pram.g_00736	Syaq.g_02271
OG0000283	Pram.g_00916	Syaq.g_02445
OG0000284	Pram.g_00921	Syaq.g_02450
OG0000285	Pram.g_00926	Syaq.g_02466
OG0000286	Pram.g_00942	Syaq.g_02484
OG0000287	Pram.g_01199	Syaq.g_02511
OG0000288	Pram.g_00977	Syaq.g_00067
OG0000289	Pram.g_00992	Syaq.g_00053
OG0000290	Pram.g_00891	Syaq.g_02682
OG0000291	Pram.g_00889	Syaq.g_02680
OG0000292	Pram.g_01185	Syaq.g_01157
OG0000293	Pram.g_01150	Syaq.g_00262
OG0000294	Pram.g_01149	Syaq.g_00261
OG0000295	Pram.g_01125	Syaq.g_00220
OG0000296	Pram.g_01123	Syaq.g_00218
OG0000297	Pram.g_01114	Syaq.g_00205
OG0000298	Pram.g_01113	Syaq.g_00204
OG0000299	Pram.g_01094	Syaq.g_00171
OG0000300	Pram.g_01091	Syaq.g_00164
OG0000301	Pram.g_01090	Syaq.g_00163
OG0000302	Pram.g_01088	Syaq.g_00162
OG0000303	Pram.g_01082	Syaq.g_00152
OG0000304	Pram.g_00571	Syaq.g_00146
OG0000305	Pram.g_01183	Syaq.g_02677
OG0000306	Pram.g_00874	Syaq.g_01861
OG0000307	Pram.g_01458	Syaq.g_01754
OG0000308	Pram.g_01457	Syaq.g_01752
OG0000309	Pram.g_01453	Syaq.g_01747
OG0000310	Pram.g_01395	Syaq.g_00347
OG0000311	Pram.g_01393	Syaq.g_00352
OG0000312	Pram.g_01390	Syaq.g_00359
OG0000313	Pram.g_01374	Syaq.g_00379
OG0000314	Pram.g_01351	Syaq.g_00408
OG0000315	Pram.g_01341	Syaq.g_00418
OG0000316	Pram.g_01315	Syaq.g_01716
OG0000317	Pram.g_01629	Syaq.g_01675
OG0000318	Pram.g_01633	Syaq.g_01672
OG0000319	Pram.g_01646	Syaq.g_01657
OG0000320	Pram.g_01648	Syaq.g_01655
OG0000321	Pram.g_01649	Syaq.g_01654
OG0000322	Pram.g_01650	Syaq.g_01653
OG0000323	Pram.g_01659	Syaq.g_01638
OG0000324	Pram.g_01687	Syaq.g_01605
OG0000325	Pram.g_01697	Syaq.g_00693
OG0000326	Pram.g_01704	Syaq.g_00686
OG0000327	Pram.g_01728	Syaq.g_00652
OG0000328	Pram.g_01729	Syaq.g_00651
OG0000329	Pram.g_01746	Syaq.g_00633
OG0000330	Pram.g_01747	Syaq.g_00632
OG0000331	Pram.g_01748	Syaq.g_00631
OG0000332	Pram.g_01762	Syaq.g_00616
OG0000333	Pram.g_01764	Syaq.g_00613
OG0000334	Pram.g_01773	Syaq.g_00603
OG0000335	Pram.g_01778	Syaq.g_00598
OG0000336	Pram.g_01782	Syaq.g_00594
OG0000337	Pram.g_01801	Syaq.g_00975
OG0000338	Pram.g_01802	Syaq.g_00981
OG0000339	Pram.g_01808	Syaq.g_00988
OG0000340	Pram.g_01817	Syaq.g_01005
OG0000341	Pram.g_01819	Syaq.g_01007
OG0000342	Pram.g_01820	Syaq.g_01008
OG0000343	Pram.g_01821	Syaq.g_01010
OG0000344	Pram.g_01824	Syaq.g_01014
OG0000345	Pram.g_01830	Syaq.g_01024
OG0000346	Pram.g_01834	Syaq.g_01029
OG0000347	Pram.g_01851	Syaq.g_01057
OG0000348	Pram.g_01859	Syaq.g_01070
OG0000349	Pram.g_01877	Syaq.g_01099
OG0000350	Pram.g_01898	Syaq.g_00679
OG0000351	Pram.g_01917	Syaq.g_01179
OG0000352	Pram.g_01918	Syaq.g_01178
OG0000353	Pram.g_01937	Syaq.g_01151
OG0000355	Pram.g_01939	Syaq.g_01149
OG0000356	Pram.g_01940	Syaq.g_01148
OG0000357	Pram.g_01941	Syaq.g_01147
OG0000358	Pram.g_01945	Syaq.g_01143
OG0000359	Pram.g_01946	Syaq.g_01141
OG0000360	Pram.g_01947	Syaq.g_01140
OG0000361	Pram.g_01948	Syaq.g_01139
OG0000362	Pram.g_01950	Syaq.g_01137
OG0000363	Pram.g_00001	Syaq.g_01135
OG0000364	Pram.g_00002	Syaq.g_01134
OG0000365	Pram.g_00007	Syaq.g_01125
OG0000366	Pram.g_00008	Syaq.g_01124
OG0000367	Pram.g_00009	Syaq.g_01123
OG0000368	Pram.g_00011	Syaq.g_01121
OG0000369	Pram.g_00012	Syaq.g_01120
OG0000370	Pram.g_00013	Syaq.g_01119
OG0000371	Pram.g_00019	Syaq.g_01111
OG0000372	Pram.g_00021	Syaq.g_01106
OG0000373	Pram.g_00022	Syaq.g_01105
OG0000374	Pram.g_00023	Syaq.g_01104
OG0000375	Pram.g_00024	Syaq.g_01103
OG0000376	Pram.g_00026	Syaq.g_01101
OG0000377	Pram.g_00030	Syaq.g_01270
OG0000378	Pram.g_00034	Syaq.g_01286
OG0000379	Pram.g_00037	Syaq.g_01291
OG0000380	Pram.g_00050	Syaq.g_01560
OG0000381	Pram.g_00055	Syaq.g_01558
OG0000382	Pram.g_00065	Syaq.g_01540
OG0000383	Pram.g_00067	Syaq.g_01535
OG0000384	Pram.g_00068	Syaq.g_01534
OG0000385	Pram.g_00069	Syaq.g_01533
OG0000386	Pram.g_00070	Syaq.g_01532
OG0000387	Pram.g_00083	Syaq.g_01495
OG0000388	Pram.g_00087	Syaq.g_01491
OG0000389	Pram.g_00090	Syaq.g_01488
OG0000390	Pram.g_00099	Syaq.g_01473
OG0000391	Pram.g_00102	Syaq.g_01468
OG0000392	Pram.g_00106	Syaq.g_01463
OG0000393	Pram.g_00109	Syaq.g_01460
OG0000394	Pram.g_00110	Syaq.g_01459
OG0000395	Pram.g_00111	Syaq.g_01458
OG0000396	Pram.g_00113	Syaq.g_01455
OG0000397	Pram.g_00115	Syaq.g_01453
OG0000398	Pram.g_00118	Syaq.g_01448
OG0000399	Pram.g_00119	Syaq.g_01447
OG0000400	Pram.g_00120	Syaq.g_01446
OG0000401	Pram.g_00121	Syaq.g_01445
OG0000402	Pram.g_01001	Syaq.g_01443
OG0000403	Pram.g_00123	Syaq.g_01442
OG0000404	Pram.g_00124	Syaq.g_01440
OG0000405	Pram.g_00128	Syaq.g_01429
OG0000406	Pram.g_00132	Syaq.g_01422
OG0000407	Pram.g_00133	Syaq.g_01421
OG0000408	Pram.g_00135	Syaq.g_01419
OG0000409	Pram.g_00137	Syaq.g_01417
OG0000410	Pram.g_00138	Syaq.g_01416
OG0000411	Pram.g_00139	Syaq.g_01415
OG0000412	Pram.g_00140	Syaq.g_01414
OG0000413	Pram.g_00141	Syaq.g_01412
OG0000414	Pram.g_00142	Syaq.g_01411
OG0000415	Pram.g_00143	Syaq.g_01410
OG0000416	Pram.g_00144	Syaq.g_01409
OG0000417	Pram.g_00145	Syaq.g_01408
OG0000418	Pram.g_00150	Syaq.g_01403
OG0000419	Pram.g_00152	Syaq.g_01401
OG0000420	Pram.g_00153	Syaq.g_01400
OG0000421	Pram.g_00157	Syaq.g_01395
OG0000422	Pram.g_00158	Syaq.g_01394
OG0000423	Pram.g_00159	Syaq.g_01393
OG0000424	Pram.g_00160	Syaq.g_01392
OG0000425	Pram.g_00161	Syaq.g_01391
OG0000426	Pram.g_00162	Syaq.g_01390
OG0000427	Pram.g_00163	Syaq.g_01389
OG0000428	Pram.g_00165	Syaq.g_01386
OG0000429	Pram.g_00166	Syaq.g_01384
OG0000430	Pram.g_00167	Syaq.g_01383
OG0000431	Pram.g_00169	Syaq.g_01380
OG0000432	Pram.g_00173	Syaq.g_01374
OG0000433	Pram.g_00174	Syaq.g_01369
OG0000434	Pram.g_00175	Syaq.g_01368
OG0000435	Pram.g_00176	Syaq.g_01367
OG0000436	Pram.g_00181	Syaq.g_01361
OG0000437	Pram.g_00182	Syaq.g_01360
OG0000438	Pram.g_00183	Syaq.g_01359
OG0000439	Pram.g_00185	Syaq.g_01357
OG0000440	Pram.g_00186	Syaq.g_01356
OG0000441	Pram.g_00189	Syaq.g_01352
OG0000442	Pram.g_00190	Syaq.g_01350
OG0000443	Pram.g_00191	Syaq.g_01347
OG0000444	Pram.g_00196	Syaq.g_01333
OG0000445	Pram.g_00197	Syaq.g_01332
OG0000446	Pram.g_00198	Syaq.g_01330
OG0000447	Pram.g_00199	Syaq.g_01328
OG0000448	Pram.g_00200	Syaq.g_01327
OG0000449	Pram.g_00201	Syaq.g_01320
OG0000450	Pram.g_00202	Syaq.g_01313
OG0000451	Pram.g_00203	Syaq.g_01312
OG0000452	Pram.g_00206	Syaq.g_01308
OG0000453	Pram.g_00207	Syaq.g_01307
OG0000454	Pram.g_00208	Syaq.g_01306
OG0000455	Pram.g_00209	Syaq.g_01305
OG0000456	Pram.g_00210	Syaq.g_01304
OG0000457	Pram.g_00212	Syaq.g_01302
OG0000458	Pram.g_00213	Syaq.g_01299
OG0000459	Pram.g_00214	Syaq.g_01298
OG0000460	Pram.g_00222	Syaq.g_01577
OG0000461	Pram.g_00230	Syaq.g_00707
OG0000462	Pram.g_00232	Syaq.g_00710
OG0000463	Pram.g_00233	Syaq.g_00711
OG0000464	Pram.g_00234	Syaq.g_00712
OG0000465	Pram.g_00235	Syaq.g_00714
OG0000466	Pram.g_00238	Syaq.g_00718
OG0000467	Pram.g_00239	Syaq.g_00720
OG0000468	Pram.g_00242	Syaq.g_00725
OG0000469	Pram.g_00250	Syaq.g_00739
OG0000470	Pram.g_00252	Syaq.g_00741
OG0000471	Pram.g_00253	Syaq.g_00742
OG0000472	Pram.g_00254	Syaq.g_00744
OG0000473	Pram.g_00256	Syaq.g_00746
OG0000474	Pram.g_00257	Syaq.g_00747
OG0000475	Pram.g_00258	Syaq.g_00748
OG0000476	Pram.g_00260	Syaq.g_00750
OG0000477	Pram.g_00263	Syaq.g_00756
OG0000478	Pram.g_00264	Syaq.g_00757
OG0000479	Pram.g_00265	Syaq.g_00759
OG0000480	Pram.g_00270	Syaq.g_00766
OG0000481	Pram.g_00273	Syaq.g_00768
OG0000482	Pram.g_00274	Syaq.g_00769
OG0000483	Pram.g_00277	Syaq.g_00773
OG0000484	Pram.g_00278	Syaq.g_00774
OG0000485	Pram.g_00280	Syaq.g_00775
OG0000486	Pram.g_00281	Syaq.g_00776
OG0000487	Pram.g_00284	Syaq.g_00782
OG0000488	Pram.g_00287	Syaq.g_00845
OG0000489	Pram.g_00292	Syaq.g_00857
OG0000490	Pram.g_00296	Syaq.g_00864
OG0000491	Pram.g_00297	Syaq.g_00865
OG0000492	Pram.g_00299	Syaq.g_00869
OG0000493	Pram.g_00300	Syaq.g_00870
OG0000494	Pram.g_00301	Syaq.g_00871
OG0000495	Pram.g_00302	Syaq.g_00872
OG0000496	Pram.g_00303	Syaq.g_00873
OG0000497	Pram.g_00304	Syaq.g_00874
OG0000498	Pram.g_00305	Syaq.g_00875
OG0000499	Pram.g_00306	Syaq.g_00876
OG0000500	Pram.g_00307	Syaq.g_00877
OG0000501	Pram.g_00309	Syaq.g_00880
OG0000502	Pram.g_00312	Syaq.g_00953
OG0000503	Pram.g_00328	Syaq.g_00559
OG0000504	Pram.g_00330	Syaq.g_00557
