Orthogroup	Praa	Syas
OG0000505	Praa.g_00336	Syas.g_01538
OG0000506	Praa.g_00338	Syas.g_01536
OG0000507	Praa.g_00340	Syas.g_01530
OG0000508	Praa.g_00344	Syas.g_01523
OG0000509	Praa.g_00346	Syas.g_01521
OG0000510	Praa.g_00347	Syas.g_01520
OG0000511	Praa.g_00348	Syas.g_01519
OG0000512	Praa.g_00350	Syas.g_01517
OG0000513	Praa.g_00357	Syas.g_01508
OG0000514	Praa.g_00431	Syas.g_01504
OG0000515	Praa.g_00432	Syas.g_01503
OG0000516	Praa.g_00433	Syas.g_01501
OG0000517	Praa.g_00435	Syas.g_01498
OG0000518	Praa.g_00445	Syas.g_00360, Syas.g_02746
OG0000519	Praa.g_00446	Syas.g_02747
OG0000520	Praa.g_00447	Syas.g_02748
OG0000521	Praa.g_00452	Syas.g_01281
OG0000522	Praa.g_00454	Syas.g_01279
OG0000523	Praa.g_00455	Syas.g_01278
OG0000524	Praa.g_00461	Syas.g_01354
OG0000525	Praa.g_00464	Syas.g_01342
OG0000526	Praa.g_00465	Syas.g_01340
OG0000527	Praa.g_00473	Syas.g_01335
OG0000528	Praa.g_00478	Syas.g_01256
OG0000529	Praa.g_00481	Syas.g_01252
OG0000530	Praa.g_00484	Syas.g_01249
OG0000531	Praa.g_00485	Syas.g_01248
OG0000532	Praa.g_00487	Syas.g_01245
OG0000533	Praa.g_00488	Syas.g_01243
OG0000534	Praa.g_00489	Syas.g_01242
OG0000535	Praa.g_00490	Syas.g_01241
OG0000536	Praa.g_00491	Syas.g_01240
OG0000537	Praa.g_00492	Syas.g_01238
OG0000538	Praa.g_00500	Syas.g_01228
OG0000539	Praa.g_00501	Syas.g_01227
OG0000540	Praa.g_00502	Syas.g_01226
OG0000541	Praa.g_00503	Syas.g_01225
OG0000542	Praa.g_00505	Syas.g_01221
OG0000543	Praa.g_00507	Syas.g_01219
OG0000544	Praa.g_00508	Syas.g_01218
OG0000545	Praa.g_00510	Syas.g_01216
OG0000546	Praa.g_00513	Syas.g_01214
OG0000547	Praa.g_00515	Syas.g_01212
OG0000548	Praa.g_00516	Syas.g_01211
OG0000549	Praa.g_00518	Syas.g_00005
OG0000550	Praa.g_00523	Syas.g_00010
OG0000551	Praa.g_00527	Syas.g_00015
OG0000552	Praa.g_00528	Syas.g_00016
OG0000553	Praa.g_00529	Syas.g_00019
OG0000554	Praa.g_00534	Syas.g_00063
OG0000555	Praa.g_00543	Syas.g_00775
OG0000556	Praa.g_00545	Syas.g_00781
OG0000557	Praa.g_00546	Syas.g_00783
OG0000558	Praa.g_00548	Syas.g_00785
OG0000559	Praa.g_00552	Syas.g_00789
