Orthogroup	Praz	Prai
OG0000490	Praz.g_00665	Prai.g_00321
OG0000491	Praz.g_00666	Prai.g_00322
OG0000492	Praz.g_00668	Prai.g_00324
OG0000493	Praz.g_00669	Prai.g_00325
OG0000494	Praz.g_00670	Prai.g_00326
OG0000495	Praz.g_00671	Prai.g_00327
OG0000496	Praz.g_00672	Prai.g_00328
OG0000497	Praz.g_00673	Prai.g_00329
OG0000498	Praz.g_00674	Prai.g_00330
OG0000499	Praz.g_00675	Prai.g_00331
OG0000500	Praz.g_00676	Prai.g_00332
OG0000501	Praz.g_00678	Prai.g_00334
OG0000502	Praz.g_00681	Prai.g_00337
OG0000503	Praz.g_01931	Prai.g_00347
OG0000504	Praz.g_01932	Prai.g_00348
OG0000505	Praz.g_01933	Prai.g_00349
OG0000506	Praz.g_01935	Prai.g_00351
OG0000507	Praz.g_00343	Prai.g_00354
OG0000508	Praz.g_00347	Prai.g_00357
OG0000509	Praz.g_00349	Prai.g_00359
OG0000510	Praz.g_00350	Prai.g_00360
OG0000511	Praz.g_00351	Prai.g_00361
OG0000512	Praz.g_00353	Prai.g_00363
OG0000513	Praz.g_00816	Prai.g_00370
OG0000514	Praz.g_01897	Prai.g_00462
OG0000515	Praz.g_01896	Prai.g_00463
OG0000516	Praz.g_01895	Prai.g_00464
OG0000517	Praz.g_01893	Prai.g_00466
OG0000518	Praz.g_01882	Prai.g_00477
OG0000519	Praz.g_01881	Prai.g_00478
OG0000520	Praz.g_01880	Prai.g_00479
OG0000521	Praz.g_01875	Prai.g_00484
OG0000522	Praz.g_01873	Prai.g_00486
OG0000523	Praz.g_01872	Prai.g_00487
OG0000524	Praz.g_01867	Prai.g_00492
OG0000525	Praz.g_01864	Prai.g_00495
OG0000526	Praz.g_01863	Prai.g_00496
OG0000527	Praz.g_01855	Prai.g_00503
OG0000528	Praz.g_01850	Prai.g_00508
OG0000529	Praz.g_01847	Prai.g_00511
OG0000530	Praz.g_01844	Prai.g_00514
OG0000531	Praz.g_01843	Prai.g_00515
OG0000532	Praz.g_01841	Prai.g_00517
OG0000533	Praz.g_01840	Prai.g_00518
OG0000534	Praz.g_01839	Prai.g_00519
OG0000535	Praz.g_01838	Prai.g_00520
OG0000536	Praz.g_01837	Prai.g_00521
