Orthogroup	Prad	Syar
OG0000416	Prad.g_01832	Syar.g_00093
OG0000417	Prad.g_01831	Syar.g_00095
OG0000418	Prad.g_01826	Syar.g_00100
OG0000419	Prad.g_01824	Syar.g_00102
OG0000420	Prad.g_01823	Syar.g_00104
OG0000421	Prad.g_01818	Syar.g_00109
OG0000422	Prad.g_01817	Syar.g_00110
OG0000423	Prad.g_01816	Syar.g_00111
OG0000424	Prad.g_01815	Syar.g_00112
OG0000425	Prad.g_01814	Syar.g_00113
OG0000426	Prad.g_01813	Syar.g_00114
OG0000427	Prad.g_01812	Syar.g_00115
OG0000428	Prad.g_01810	Syar.g_00118
OG0000429	Prad.g_01809	Syar.g_00121
OG0000430	Prad.g_01808	Syar.g_00123
OG0000431	Prad.g_01806	Syar.g_00127
OG0000432	Prad.g_01803	Syar.g_01009
OG0000433	Prad.g_01802	Syar.g_01007
OG0000434	Prad.g_01801	Syar.g_01006
OG0000435	Prad.g_01800	Syar.g_01003
OG0000436	Prad.g_01795	Syar.g_00994
OG0000437	Prad.g_01794	Syar.g_00993
OG0000438	Prad.g_01793	Syar.g_00992
OG0000439	Prad.g_01791	Syar.g_00990
OG0000440	Prad.g_01790	Syar.g_00989
OG0000441	Prad.g_01787	Syar.g_00986
OG0000442	Prad.g_01786	Syar.g_00977
OG0000443	Prad.g_01785	Syar.g_00964
OG0000444	Prad.g_01780	Syar.g_00954
OG0000445	Prad.g_01779	Syar.g_00953
OG0000446	Prad.g_01778	Syar.g_00951
OG0000447	Prad.g_01777	Syar.g_00948
OG0000448	Prad.g_01776	Syar.g_00947
OG0000449	Prad.g_01775	Syar.g_00946
OG0000450	Prad.g_01774	Syar.g_00939
OG0000451	Prad.g_01773	Syar.g_00938
OG0000452	Prad.g_01770	Syar.g_00934
OG0000453	Prad.g_01769	Syar.g_00933
OG0000454	Prad.g_01768	Syar.g_00932
OG0000455	Prad.g_01767	Syar.g_00931
OG0000456	Prad.g_01766	Syar.g_00930
OG0000457	Prad.g_01765	Syar.g_00928
OG0000458	Prad.g_01764	Syar.g_00918
OG0000459	Prad.g_01763	Syar.g_00917
OG0000460	Prad.g_01756	Syar.g_03024
OG0000461	Prad.g_01749	Syar.g_00153
OG0000462	Prad.g_01747	Syar.g_00155
OG0000463	Prad.g_01746	Syar.g_00156
OG0000464	Prad.g_01745	Syar.g_00157
OG0000465	Prad.g_01744	Syar.g_00159
OG0000466	Prad.g_01741	Syar.g_00164
OG0000467	Prad.g_01740	Syar.g_00165
OG0000468	Prad.g_01738	Syar.g_00170
OG0000469	Prad.g_01729	Syar.g_00203
OG0000470	Prad.g_01727	Syar.g_00206
OG0000471	Prad.g_01726	Syar.g_00207
OG0000472	Prad.g_01725	Syar.g_00208
OG0000473	Prad.g_01723	Syar.g_00210
OG0000474	Prad.g_01722	Syar.g_00211
