Orthogroup	Prbf	Prbk
OG0000428	Prbf.g_01752	Prbk.g_02105
OG0000429	Prbf.g_01753	Prbk.g_02107
OG0000430	Prbf.g_01754	Prbk.g_02109
OG0000431	Prbf.g_01756	Prbk.g_02111
OG0000432	Prbf.g_01757	Prbk.g_02112
OG0000433	Prbf.g_01760	Prbk.g_02053
OG0000434	Prbf.g_01761	Prbk.g_02056
OG0000435	Prbf.g_01762	Prbk.g_02060
OG0000436	Prbf.g_01764	Prbk.g_02062
OG0000437	Prbf.g_01766	Prbk.g_02064
OG0000438	Prbf.g_01767	Prbk.g_02065
OG0000439	Prbf.g_01768	Prbk.g_02066
OG0000440	Prbf.g_01770	Prbk.g_02069
OG0000441	Prbf.g_01771	Prbk.g_02071
OG0000442	Prbf.g_01772	Prbk.g_02072
OG0000443	Prbf.g_01773	Prbk.g_02073
OG0000444	Prbf.g_01774	Prbk.g_02074
OG0000445	Prbf.g_01775	Prbk.g_02075
OG0000446	Prbf.g_01776	Prbk.g_02076
OG0000447	Prbf.g_01777	Prbk.g_02077
OG0000448	Prbf.g_01778	Prbk.g_02078
OG0000449	Prbf.g_01784	Prbk.g_01865
OG0000450	Prbf.g_01785	Prbk.g_01041
OG0000451	Prbf.g_01786	Prbk.g_01042
OG0000452	Prbf.g_01787	Prbk.g_01043
OG0000453	Prbf.g_01788	Prbk.g_01046
OG0000454	Prbf.g_01789	Prbk.g_01047
OG0000455	Prbf.g_01790	Prbk.g_01048
OG0000456	Prbf.g_01791	Prbk.g_01049
OG0000457	Prbf.g_01793	Prbk.g_01050
OG0000458	Prbf.g_01795	Prbk.g_01051
OG0000459	Prbf.g_01796	Prbk.g_01052
OG0000460	Prbf.g_01798	Prbk.g_01054
OG0000461	Prbf.g_01799	Prbk.g_01055
OG0000462	Prbf.g_01800	Prbk.g_01056
OG0000463	Prbf.g_01801	Prbk.g_01061
OG0000464	Prbf.g_01805	Prbk.g_01066
OG0000465	Prbf.g_01806	Prbk.g_01067
OG0000466	Prbf.g_01807	Prbk.g_01068
OG0000467	Prbf.g_01808	Prbk.g_01070
OG0000468	Prbf.g_01809	Prbk.g_01071
OG0000469	Prbf.g_01810	Prbk.g_01076
OG0000470	Prbf.g_01811	Prbk.g_01965
OG0000471	Prbf.g_01812	Prbk.g_01772
OG0000472	Prbf.g_01815	Prbk.g_01081
OG0000473	Prbf.g_01816	Prbk.g_01083
OG0000474	Prbf.g_01817	Prbk.g_01085
OG0000475	Prbf.g_01818	Prbk.g_01086
OG0000476	Prbf.g_01819	Prbk.g_01092
OG0000477	Prbf.g_01821	Prbk.g_01095
OG0000478	Prbf.g_01822	Prbk.g_01097
OG0000479	Prbf.g_01823	Prbk.g_01099
OG0000480	Prbf.g_01825	Prbk.g_02686
OG0000481	Prbf.g_01826	Prbk.g_01898
OG0000482	Prbf.g_01827	Prbk.g_01897
OG0000483	Prbf.g_01828	Prbk.g_01895
OG0000484	Prbf.g_01829	Prbk.g_01894
OG0000485	Prbf.g_01830	Prbk.g_01893
OG0000486	Prbf.g_01831	Prbk.g_01892
OG0000487	Prbf.g_01832	Prbk.g_01891
OG0000488	Prbf.g_01834	Prbk.g_01889
OG0000489	Prbf.g_01835	Prbk.g_01888
OG0000490	Prbf.g_01836	Prbk.g_01887
OG0000491	Prbf.g_01837	Prbk.g_01886
OG0000492	Prbf.g_01838	Prbk.g_01885
