Orthogroup	Syaq	Syae
OG0000329	Syaq.g_00633	Syae.g_02099
OG0000330	Syaq.g_00632	Syae.g_02100
OG0000331	Syaq.g_00631	Syae.g_02101
OG0000332	Syaq.g_00616	Syae.g_02116
OG0000333	Syaq.g_00613	Syae.g_02119
OG0000334	Syaq.g_00603	Syae.g_02128
OG0000335	Syaq.g_00598	Syae.g_02132
OG0000336	Syaq.g_00594	Syae.g_02136
OG0000337	Syaq.g_00975	Syae.g_01879
OG0000338	Syaq.g_00981	Syae.g_01876
OG0000339	Syaq.g_00988	Syae.g_01869
OG0000340	Syaq.g_01005	Syae.g_01855
OG0000341	Syaq.g_01007	Syae.g_01853
OG0000342	Syaq.g_01008	Syae.g_01852
OG0000343	Syaq.g_01010	Syae.g_01848
OG0000344	Syaq.g_01014	Syae.g_01843
OG0000345	Syaq.g_01024	Syae.g_01833
OG0000346	Syaq.g_01029	Syae.g_01828
OG0000347	Syaq.g_01057	Syae.g_01805
OG0000348	Syaq.g_01070	Syae.g_01781
OG0000349	Syaq.g_01099	Syae.g_01763
OG0000350	Syaq.g_00679	Syae.g_02047
OG0000351	Syaq.g_01179	Syae.g_01684
OG0000352	Syaq.g_01178	Syae.g_01685
OG0000353	Syaq.g_01151	Syae.g_01711
OG0000354	Syaq.g_01816	Syae.g_02351
OG0000354	Syaq.g_01131	Syae.g_01731
OG0000355	Syaq.g_01149	Syae.g_01713
OG0000356	Syaq.g_01148	Syae.g_01714
OG0000357	Syaq.g_01147	Syae.g_01715
OG0000358	Syaq.g_01143	Syae.g_01719
OG0000359	Syaq.g_01141	Syae.g_01721
OG0000360	Syaq.g_01140	Syae.g_01722
OG0000361	Syaq.g_01139	Syae.g_01723
OG0000362	Syaq.g_01137	Syae.g_01725
OG0000363	Syaq.g_01135	Syae.g_01727
OG0000364	Syaq.g_01134	Syae.g_01728
OG0000365	Syaq.g_01125	Syae.g_01737
OG0000366	Syaq.g_01124	Syae.g_01738
OG0000367	Syaq.g_01123	Syae.g_01739
OG0000368	Syaq.g_01121	Syae.g_01741
OG0000369	Syaq.g_01120	Syae.g_01742
OG0000370	Syaq.g_01119	Syae.g_01743
OG0000371	Syaq.g_01111	Syae.g_01751
OG0000372	Syaq.g_01106	Syae.g_01756
OG0000373	Syaq.g_01105	Syae.g_01757
OG0000374	Syaq.g_01104	Syae.g_01758
OG0000375	Syaq.g_01103	Syae.g_01759
OG0000376	Syaq.g_01101	Syae.g_01761
OG0000377	Syaq.g_01270	Syae.g_01561
OG0000378	Syaq.g_01286	Syae.g_01553
OG0000379	Syaq.g_01291	Syae.g_01550
OG0000380	Syaq.g_01560	Syae.g_01281
OG0000381	Syaq.g_01558	Syae.g_01285
OG0000382	Syaq.g_01540	Syae.g_01322
OG0000383	Syaq.g_01535	Syae.g_01324
OG0000384	Syaq.g_01534	Syae.g_01325
OG0000385	Syaq.g_01533	Syae.g_01326
OG0000386	Syaq.g_01532	Syae.g_01327
OG0000387	Syaq.g_01495	Syae.g_01354
OG0000388	Syaq.g_01491	Syae.g_01358
OG0000389	Syaq.g_01488	Syae.g_01362
OG0000390	Syaq.g_01473	Syae.g_01378
OG0000391	Syaq.g_01468	Syae.g_01383
OG0000392	Syaq.g_01463	Syae.g_01389
OG0000393	Syaq.g_01460	Syae.g_01392
OG0000394	Syaq.g_01459	Syae.g_01393
OG0000395	Syaq.g_01458	Syae.g_01394
OG0000396	Syaq.g_01455	Syae.g_01397
OG0000397	Syaq.g_01453	Syae.g_01400
OG0000398	Syaq.g_01448	Syae.g_01405
OG0000399	Syaq.g_01447	Syae.g_01406
OG0000400	Syaq.g_01446	Syae.g_01407
OG0000401	Syaq.g_01445	Syae.g_01408
OG0000402	Syaq.g_01443	Syae.g_01410
OG0000403	Syaq.g_01442	Syae.g_01411
OG0000404	Syaq.g_01440	Syae.g_01412
OG0000405	Syaq.g_01429	Syae.g_01426
OG0000406	Syaq.g_01422	Syae.g_01430
OG0000407	Syaq.g_01421	Syae.g_01431
OG0000408	Syaq.g_01419	Syae.g_01433
OG0000409	Syaq.g_01417	Syae.g_01435
OG0000410	Syaq.g_01416	Syae.g_01436
OG0000411	Syaq.g_01415	Syae.g_01437
OG0000412	Syaq.g_01414	Syae.g_01438
OG0000413	Syaq.g_01412	Syae.g_01440
OG0000415	Syaq.g_01410	Syae.g_01441
OG0000416	Syaq.g_01409	Syae.g_01442
OG0000417	Syaq.g_01408	Syae.g_01443
OG0000418	Syaq.g_01403	Syae.g_01448
OG0000419	Syaq.g_01401	Syae.g_01450
OG0000420	Syaq.g_01400	Syae.g_01452
OG0000421	Syaq.g_01395	Syae.g_01457
OG0000422	Syaq.g_01394	Syae.g_01458
OG0000423	Syaq.g_01393	Syae.g_01459
OG0000424	Syaq.g_01392	Syae.g_01460
OG0000425	Syaq.g_01391	Syae.g_01461
OG0000426	Syaq.g_01390	Syae.g_01462
OG0000427	Syaq.g_01389	Syae.g_01463
OG0000428	Syaq.g_01386	Syae.g_01466
OG0000429	Syaq.g_01384	Syae.g_01468
OG0000430	Syaq.g_01383	Syae.g_01470
OG0000431	Syaq.g_01380	Syae.g_01473
OG0000432	Syaq.g_01374	Syae.g_01481
OG0000433	Syaq.g_01369	Syae.g_01484
OG0000434	Syaq.g_01368	Syae.g_01485
OG0000435	Syaq.g_01367	Syae.g_01486
OG0000436	Syaq.g_01361	Syae.g_01491
OG0000437	Syaq.g_01360	Syae.g_01492
OG0000438	Syaq.g_01359	Syae.g_01493
OG0000439	Syaq.g_01357	Syae.g_01495
OG0000440	Syaq.g_01356	Syae.g_01496
OG0000441	Syaq.g_01352	Syae.g_01501
OG0000442	Syaq.g_01350	Syae.g_01502
OG0000443	Syaq.g_01347	Syae.g_01503
OG0000444	Syaq.g_01333	Syae.g_01509
OG0000445	Syaq.g_01332	Syae.g_01510
OG0000446	Syaq.g_01330	Syae.g_01512
OG0000447	Syaq.g_01328	Syae.g_01517
OG0000448	Syaq.g_01327	Syae.g_01518
OG0000449	Syaq.g_01320	Syae.g_01519
OG0000450	Syaq.g_01313	Syae.g_01525
OG0000451	Syaq.g_01312	Syae.g_01526
OG0000452	Syaq.g_01308	Syae.g_01530
OG0000453	Syaq.g_01307	Syae.g_01531
OG0000454	Syaq.g_01306	Syae.g_01532
OG0000455	Syaq.g_01305	Syae.g_01533
OG0000456	Syaq.g_01304	Syae.g_01534
OG0000457	Syaq.g_01302	Syae.g_01536
OG0000458	Syaq.g_01299	Syae.g_01538
OG0000459	Syaq.g_01298	Syae.g_01539
OG0000460	Syaq.g_01577	Syae.g_02236
OG0000461	Syaq.g_00707	Syae.g_02024
OG0000462	Syaq.g_00710	Syae.g_02021
OG0000463	Syaq.g_00711	Syae.g_02020
OG0000464	Syaq.g_00712	Syae.g_02019
OG0000465	Syaq.g_00714	Syae.g_02018
OG0000466	Syaq.g_00718	Syae.g_02014
OG0000467	Syaq.g_00720	Syae.g_02012
OG0000468	Syaq.g_00725	Syae.g_02007
OG0000469	Syaq.g_00739	Syae.g_01992
OG0000470	Syaq.g_00741	Syae.g_01990
OG0000471	Syaq.g_00742	Syae.g_01989
OG0000472	Syaq.g_00744	Syae.g_01987
OG0000473	Syaq.g_00746	Syae.g_01985
OG0000474	Syaq.g_00747	Syae.g_01984
OG0000475	Syaq.g_00748	Syae.g_01983
OG0000476	Syaq.g_00750	Syae.g_01981
OG0000477	Syaq.g_00756	Syae.g_01975
OG0000478	Syaq.g_00757	Syae.g_01974
OG0000479	Syaq.g_00759	Syae.g_01973
OG0000480	Syaq.g_00766	Syae.g_01966
OG0000481	Syaq.g_00768	Syae.g_01964
OG0000482	Syaq.g_00769	Syae.g_01963
OG0000483	Syaq.g_00773	Syae.g_01959
OG0000484	Syaq.g_00774	Syae.g_01958
OG0000485	Syaq.g_00775	Syae.g_01957
OG0000486	Syaq.g_00776	Syae.g_01956
OG0000487	Syaq.g_00782	Syae.g_01950
OG0000488	Syaq.g_00845	Syae.g_01946
OG0000489	Syaq.g_00857	Syae.g_01936
OG0000490	Syaq.g_00864	Syae.g_01928
OG0000491	Syaq.g_00865	Syae.g_01927
OG0000492	Syaq.g_00869	Syae.g_01925
OG0000493	Syaq.g_00870	Syae.g_01924
OG0000494	Syaq.g_00871	Syae.g_01923
OG0000495	Syaq.g_00872	Syae.g_01922
OG0000496	Syaq.g_00873	Syae.g_01921
OG0000497	Syaq.g_00874	Syae.g_01920
OG0000498	Syaq.g_00875	Syae.g_01919
OG0000499	Syaq.g_00876	Syae.g_01918
OG0000500	Syaq.g_00877	Syae.g_01917
OG0000501	Syaq.g_00880	Syae.g_01914
OG0000502	Syaq.g_00953	Syae.g_01902
OG0000503	Syaq.g_00559	Syae.g_02192
OG0000504	Syaq.g_00557	Syae.g_02194
OG0000505	Syaq.g_00556	Syae.g_02195
OG0000506	Syaq.g_00554	Syae.g_02197
OG0000507	Syaq.g_00548	Syae.g_02203
OG0000508	Syaq.g_00544	Syae.g_02207
OG0000509	Syaq.g_00542	Syae.g_02209
OG0000510	Syaq.g_00538	Syae.g_02210
OG0000511	Syaq.g_00537	Syae.g_02211
OG0000512	Syaq.g_00535	Syae.g_02213
OG0000513	Syaq.g_00525	Syae.g_02223
OG0000514	Syaq.g_00514	Syae.g_02229
OG0000515	Syaq.g_00513	Syae.g_02230
OG0000516	Syaq.g_00509	Syae.g_01000
OG0000517	Syaq.g_00502	Syae.g_00995
OG0000518	Syaq.g_00490	Syae.g_00983
OG0000519	Syaq.g_00489	Syae.g_00982
OG0000520	Syaq.g_00488	Syae.g_00981
OG0000521	Syaq.g_00477	Syae.g_02491
OG0000522	Syaq.g_00475	Syae.g_02493
OG0000523	Syaq.g_00474	Syae.g_02494
OG0000524	Syaq.g_00469	Syae.g_02501
OG0000525	Syaq.g_00450	Syae.g_02520
OG0000526	Syaq.g_00448	Syae.g_02523
OG0000527	Syaq.g_00444	Syae.g_02528
OG0000528	Syaq.g_01768	Syae.g_02304
OG0000529	Syaq.g_01773	Syae.g_02310
OG0000530	Syaq.g_01776	Syae.g_02313
OG0000531	Syaq.g_01777	Syae.g_02314
OG0000532	Syaq.g_01780	Syae.g_02317
OG0000533	Syaq.g_01782	Syae.g_02318
OG0000534	Syaq.g_01783	Syae.g_02319
OG0000535	Syaq.g_01784	Syae.g_02320
OG0000536	Syaq.g_01785	Syae.g_02321
OG0000537	Syaq.g_01786	Syae.g_02322
OG0000538	Syaq.g_01798	Syae.g_02333
OG0000539	Syaq.g_01799	Syae.g_02334
OG0000540	Syaq.g_01800	Syae.g_02335
OG0000541	Syaq.g_01801	Syae.g_02336
OG0000542	Syaq.g_01804	Syae.g_02339
OG0000543	Syaq.g_01806	Syae.g_02341
OG0000544	Syaq.g_02567, Syaq.g_01807	Syae.g_02342
OG0000545	Syaq.g_01809	Syae.g_02344
OG0000546	Syaq.g_01811	Syae.g_02346
OG0000547	Syaq.g_01813	Syae.g_02348
OG0000548	Syaq.g_01814	Syae.g_02349
OG0000549	Syaq.g_01819	Syae.g_02354
OG0000550	Syaq.g_01824	Syae.g_02358
OG0000551	Syaq.g_01829	Syae.g_02363
OG0000552	Syaq.g_01830	Syae.g_02364
OG0000553	Syaq.g_01834	Syae.g_02366
OG0000554	Syaq.g_01839	Syae.g_02375
OG0000555	Syaq.g_01857	Syae.g_02390
OG0000556	Syaq.g_01925	Syae.g_02394
OG0000557	Syaq.g_01927	Syae.g_02398
OG0000558	Syaq.g_01929	Syae.g_02400
OG0000559	Syaq.g_01933	Syae.g_02404
OG0000560	Syaq.g_01936	Syae.g_02407
OG0000561	Syaq.g_01937	Syae.g_02408
