Orthogroup	Syaq	Prbe
OG0000331	Syaq.g_00631	Prbe.g_00858
OG0000332	Syaq.g_00616	Prbe.g_00844
OG0000333	Syaq.g_00613	Prbe.g_00842
OG0000334	Syaq.g_00603	Prbe.g_00833
OG0000335	Syaq.g_00598	Prbe.g_00828
OG0000336	Syaq.g_00594	Prbe.g_00824
OG0000337	Syaq.g_00975	Prbe.g_00806
OG0000338	Syaq.g_00981	Prbe.g_00805
OG0000339	Syaq.g_00988	Prbe.g_00799
OG0000340	Syaq.g_01005	Prbe.g_00790
OG0000341	Syaq.g_01007	Prbe.g_00788
OG0000342	Syaq.g_01008	Prbe.g_00787
OG0000343	Syaq.g_01010	Prbe.g_00786
OG0000344	Syaq.g_01014	Prbe.g_00783
OG0000345	Syaq.g_01024	Prbe.g_00777
OG0000346	Syaq.g_01029	Prbe.g_00773
OG0000347	Syaq.g_01057	Prbe.g_00746
OG0000348	Syaq.g_01070	Prbe.g_00754
OG0000349	Syaq.g_01099	Prbe.g_01149
OG0000350	Syaq.g_00679	Prbe.g_00709
OG0000351	Syaq.g_01179	Prbe.g_01189
OG0000352	Syaq.g_01178	Prbe.g_01190
OG0000353	Syaq.g_01151	Prbe.g_01064
OG0000355	Syaq.g_01149	Prbe.g_01066
OG0000356	Syaq.g_01148	Prbe.g_01067
OG0000357	Syaq.g_01147	Prbe.g_01068
OG0000358	Syaq.g_01143	Prbe.g_01072
OG0000359	Syaq.g_01141	Prbe.g_01073
OG0000360	Syaq.g_01140	Prbe.g_01074
OG0000361	Syaq.g_01139	Prbe.g_01075
OG0000362	Syaq.g_01137	Prbe.g_01077
OG0000363	Syaq.g_01135	Prbe.g_00114
OG0000364	Syaq.g_01134	Prbe.g_00115
OG0000365	Syaq.g_01125	Prbe.g_00120
OG0000366	Syaq.g_01124	Prbe.g_00121
OG0000367	Syaq.g_01123	Prbe.g_00122
OG0000368	Syaq.g_01121	Prbe.g_00124
OG0000369	Syaq.g_01120	Prbe.g_00125
OG0000370	Syaq.g_01119	Prbe.g_00126
OG0000371	Syaq.g_01111	Prbe.g_00133
OG0000372	Syaq.g_01106	Prbe.g_00136
OG0000373	Syaq.g_01105	Prbe.g_00137
OG0000374	Syaq.g_01104	Prbe.g_00138
OG0000375	Syaq.g_01103	Prbe.g_00140
OG0000376	Syaq.g_01101	Prbe.g_00142
OG0000377	Syaq.g_01270	Prbe.g_00146
OG0000378	Syaq.g_01286	Prbe.g_00150
OG0000379	Syaq.g_01291	Prbe.g_00153
OG0000380	Syaq.g_01560	Prbe.g_00170
OG0000381	Syaq.g_01558	Prbe.g_00175
OG0000382	Syaq.g_01540	Prbe.g_00185
OG0000383	Syaq.g_01535	Prbe.g_00187
OG0000384	Syaq.g_01534	Prbe.g_00188
OG0000385	Syaq.g_01533	Prbe.g_00189
OG0000386	Syaq.g_01532	Prbe.g_00190
OG0000387	Syaq.g_01495	Prbe.g_01640
OG0000388	Syaq.g_01491	Prbe.g_01644
OG0000389	Syaq.g_01488	Prbe.g_01647
OG0000390	Syaq.g_01473	Prbe.g_01657
OG0000391	Syaq.g_01468	Prbe.g_01660
OG0000392	Syaq.g_01463	Prbe.g_01664
OG0000393	Syaq.g_01460	Prbe.g_01667
OG0000394	Syaq.g_01459	Prbe.g_01668
OG0000395	Syaq.g_01458	Prbe.g_01669
OG0000396	Syaq.g_01455	Prbe.g_01671
OG0000397	Syaq.g_01453	Prbe.g_01673
OG0000398	Syaq.g_01448	Prbe.g_01676
OG0000399	Syaq.g_01447	Prbe.g_01677
OG0000400	Syaq.g_01446	Prbe.g_01678
OG0000401	Syaq.g_01445	Prbe.g_01679
OG0000402	Syaq.g_01443	Prbe.g_01412
OG0000403	Syaq.g_01442	Prbe.g_01681
OG0000404	Syaq.g_01440	Prbe.g_01682
OG0000405	Syaq.g_01429	Prbe.g_01686
OG0000406	Syaq.g_01422	Prbe.g_01694
OG0000407	Syaq.g_01421	Prbe.g_01695
OG0000408	Syaq.g_01419	Prbe.g_01697
OG0000409	Syaq.g_01417	Prbe.g_01699
OG0000410	Syaq.g_01416	Prbe.g_01700
OG0000411	Syaq.g_01415	Prbe.g_01701
OG0000412	Syaq.g_01414	Prbe.g_01702
OG0000413	Syaq.g_01412	Prbe.g_01704
OG0000414	Syaq.g_01411	Prbe.g_01705
OG0000415	Syaq.g_01410	Prbe.g_01706
OG0000416	Syaq.g_01409	Prbe.g_01707
OG0000417	Syaq.g_01408	Prbe.g_01708
OG0000418	Syaq.g_01403	Prbe.g_01713
OG0000419	Syaq.g_01401	Prbe.g_01715
OG0000420	Syaq.g_01400	Prbe.g_01716
OG0000421	Syaq.g_01395	Prbe.g_01721
OG0000422	Syaq.g_01394	Prbe.g_01722
OG0000423	Syaq.g_01393	Prbe.g_01723
OG0000424	Syaq.g_01392	Prbe.g_01724
OG0000425	Syaq.g_01391	Prbe.g_01725
OG0000426	Syaq.g_01390	Prbe.g_01726
OG0000427	Syaq.g_01389	Prbe.g_01727
OG0000428	Syaq.g_01386	Prbe.g_01729
OG0000429	Syaq.g_01384	Prbe.g_01730
OG0000430	Syaq.g_01383	Prbe.g_01731
OG0000431	Syaq.g_01380	Prbe.g_01733
OG0000432	Syaq.g_01374	Prbe.g_01737
OG0000433	Syaq.g_01369	Prbe.g_01738
OG0000434	Syaq.g_01368	Prbe.g_01739
OG0000435	Syaq.g_01367	Prbe.g_01740
OG0000436	Syaq.g_01361	Prbe.g_01745
OG0000437	Syaq.g_01360	Prbe.g_01746
OG0000438	Syaq.g_01359	Prbe.g_01747
OG0000439	Syaq.g_01357	Prbe.g_01749
OG0000440	Syaq.g_01356	Prbe.g_01750
OG0000441	Syaq.g_01352	Prbe.g_01753
OG0000442	Syaq.g_01350	Prbe.g_01754
OG0000443	Syaq.g_01347	Prbe.g_01755
OG0000444	Syaq.g_01333	Prbe.g_01761
OG0000445	Syaq.g_01332	Prbe.g_01762
OG0000446	Syaq.g_01330	Prbe.g_01763
OG0000447	Syaq.g_01328	Prbe.g_01764
OG0000448	Syaq.g_01327	Prbe.g_01765
OG0000449	Syaq.g_01320	Prbe.g_01766
OG0000450	Syaq.g_01313	Prbe.g_01767
OG0000451	Syaq.g_01312	Prbe.g_01768
OG0000452	Syaq.g_01308	Prbe.g_01771
OG0000453	Syaq.g_01307	Prbe.g_01772
OG0000454	Syaq.g_01306	Prbe.g_01773
OG0000455	Syaq.g_01305	Prbe.g_01774
OG0000456	Syaq.g_01304	Prbe.g_01775
OG0000457	Syaq.g_01302	Prbe.g_01777
OG0000458	Syaq.g_01299	Prbe.g_01778
OG0000459	Syaq.g_01298	Prbe.g_01779
OG0000460	Syaq.g_01577	Prbe.g_01787
OG0000461	Syaq.g_00707	Prbe.g_01795
OG0000462	Syaq.g_00710	Prbe.g_01797
OG0000463	Syaq.g_00711	Prbe.g_01798
OG0000464	Syaq.g_00712	Prbe.g_01799
OG0000465	Syaq.g_00714	Prbe.g_01800
OG0000466	Syaq.g_00718	Prbe.g_01803
OG0000467	Syaq.g_00720	Prbe.g_01804
OG0000468	Syaq.g_00725	Prbe.g_01807
OG0000469	Syaq.g_00739	Prbe.g_01815
OG0000470	Syaq.g_00741	Prbe.g_01817
OG0000471	Syaq.g_00742	Prbe.g_01818
OG0000472	Syaq.g_00744	Prbe.g_01820
OG0000473	Syaq.g_00746	Prbe.g_01822
OG0000474	Syaq.g_00747	Prbe.g_01823
OG0000475	Syaq.g_00748	Prbe.g_01824
OG0000476	Syaq.g_00750	Prbe.g_01826
OG0000477	Syaq.g_00756	Prbe.g_01829
OG0000478	Syaq.g_00757	Prbe.g_01830
OG0000479	Syaq.g_00759	Prbe.g_01831
OG0000480	Syaq.g_00766	Prbe.g_01836
OG0000481	Syaq.g_00768	Prbe.g_01839
OG0000482	Syaq.g_00769	Prbe.g_01840
OG0000483	Syaq.g_00773	Prbe.g_01843
OG0000484	Syaq.g_00774	Prbe.g_01844
OG0000485	Syaq.g_00775	Prbe.g_01846
OG0000486	Syaq.g_00776	Prbe.g_01847
OG0000487	Syaq.g_00782	Prbe.g_01850
OG0000488	Syaq.g_00845	Prbe.g_01853
OG0000489	Syaq.g_00857	Prbe.g_01858
OG0000490	Syaq.g_00864	Prbe.g_01862
OG0000491	Syaq.g_00865	Prbe.g_01863
