Orthogroup	Prbl	Praw
OG0000518	Prbl.g_01895	Praw.g_00587
OG0000519	Prbl.g_01897	Praw.g_00586
OG0000520	Prbl.g_01899	Praw.g_00585
OG0000521	Prbl.g_01900	Praw.g_00584
OG0000522	Prbl.g_01901	Praw.g_00583
OG0000523	Prbl.g_01902	Praw.g_00582
OG0000524	Prbl.g_01903	Praw.g_00581
OG0000525	Prbl.g_01905	Praw.g_00580
OG0000526	Prbl.g_01801	Praw.g_00579
OG0000527	Prbl.g_01800	Praw.g_00578
OG0000528	Prbl.g_01799	Praw.g_00577
OG0000529	Prbl.g_01797	Praw.g_00576
OG0000530	Prbl.g_01796	Praw.g_00575
OG0000531	Prbl.g_01795	Praw.g_01922
OG0000532	Prbl.g_01794	Praw.g_01923
OG0000533	Prbl.g_01790	Praw.g_01925
OG0000534	Prbl.g_01789	Praw.g_01926
OG0000535	Prbl.g_01788	Praw.g_01927
OG0000536	Prbl.g_01787	Praw.g_01928
OG0000537	Prbl.g_01786	Praw.g_01929
OG0000538	Prbl.g_01785	Praw.g_01930
OG0000539	Prbl.g_01781	Praw.g_01933
OG0000540	Prbl.g_01780	Praw.g_01934
OG0000541	Prbl.g_01779	Praw.g_01935
OG0000542	Prbl.g_01775	Praw.g_01937
OG0000543	Prbl.g_01774	Praw.g_01938
OG0000544	Prbl.g_01773	Praw.g_01939
OG0000545	Prbl.g_01772	Praw.g_01940
OG0000546	Prbl.g_01766	Praw.g_01941
OG0000547	Prbl.g_01765	Praw.g_01942
OG0000548	Prbl.g_01764	Praw.g_01943
OG0000549	Prbl.g_01762	Praw.g_01945
OG0000550	Prbl.g_01761	Praw.g_01946
OG0000551	Prbl.g_01760	Praw.g_01947
OG0000552	Prbl.g_01759	Praw.g_01948
OG0000553	Prbl.g_01758	Praw.g_01949
OG0000554	Prbl.g_01757	Praw.g_00140
OG0000555	Prbl.g_01754	Praw.g_00141
OG0000556	Prbl.g_01752	Praw.g_00142
OG0000557	Prbl.g_01751	Praw.g_00143
OG0000558	Prbl.g_01750	Praw.g_00144
OG0000559	Prbl.g_01749	Praw.g_00145
OG0000560	Prbl.g_01748	Praw.g_00146
OG0000561	Prbl.g_01747	Praw.g_00147
OG0000562	Prbl.g_01746	Praw.g_00148
OG0000563	Prbl.g_01744	Praw.g_00149
OG0000564	Prbl.g_01742	Praw.g_00150
OG0000565	Prbl.g_01610	Praw.g_00151
OG0000566	Prbl.g_01611	Praw.g_00152
OG0000567	Prbl.g_01612	Praw.g_00153
OG0000568	Prbl.g_01613	Praw.g_00154
OG0000569	Prbl.g_01616	Praw.g_00157
OG0000570	Prbl.g_01617	Praw.g_00158
OG0000571	Prbl.g_01619	Praw.g_00160
OG0000572	Prbl.g_01624	Praw.g_00161
OG0000573	Prbl.g_01625	Praw.g_00162
OG0000574	Prbl.g_01626	Praw.g_00163
OG0000575	Prbl.g_01629	Praw.g_00164
OG0000576	Prbl.g_01631	Praw.g_00165
