Orthogroup	Prbg	Prap
OG0000504	Prbg.g_00291	Prap.g_01196
OG0000505	Prbg.g_00292	Prap.g_01195
OG0000506	Prbg.g_00293	Prap.g_01194
OG0000507	Prbg.g_00294	Prap.g_01193
OG0000508	Prbg.g_00296	Prap.g_01191
OG0000509	Prbg.g_00297	Prap.g_01190
OG0000510	Prbg.g_00298	Prap.g_01189
OG0000511	Prbg.g_00299	Prap.g_01188
OG0000512	Prbg.g_00300	Prap.g_01187
OG0000513	Prbg.g_00301	Prap.g_01186
OG0000514	Prbg.g_00302	Prap.g_01185
OG0000515	Prbg.g_00305	Prap.g_01182
OG0000516	Prbg.g_00306	Prap.g_01181
OG0000517	Prbg.g_00307	Prap.g_01180
OG0000518	Prbg.g_00310	Prap.g_01177
OG0000519	Prbg.g_00311	Prap.g_01176
OG0000520	Prbg.g_00312	Prap.g_01175
OG0000521	Prbg.g_00313	Prap.g_01174
OG0000522	Prbg.g_00314	Prap.g_01173
OG0000523	Prbg.g_00315	Prap.g_01172
OG0000524	Prbg.g_00316	Prap.g_01171
OG0000525	Prbg.g_00318	Prap.g_01169
OG0000526	Prbg.g_00319	Prap.g_01168
OG0000527	Prbg.g_00320	Prap.g_01167
OG0000528	Prbg.g_00321	Prap.g_01166
OG0000529	Prbg.g_00322	Prap.g_01165
OG0000530	Prbg.g_00323	Prap.g_01164
OG0000531	Prbg.g_00325	Prap.g_01162
OG0000532	Prbg.g_00326	Prap.g_01161
OG0000533	Prbg.g_00327	Prap.g_01160
OG0000534	Prbg.g_00328	Prap.g_01159
OG0000535	Prbg.g_00329	Prap.g_01158
OG0000536	Prbg.g_00330	Prap.g_01157
OG0000537	Prbg.g_00331	Prap.g_01156
OG0000538	Prbg.g_00332	Prap.g_01155
