Orthogroup	Syar	Prae
OG0000489	Syar.g_00833	Prae.g_00304
OG0000490	Syar.g_00823	Prae.g_00309
OG0000491	Syar.g_00822	Prae.g_00310
OG0000492	Syar.g_00727	Prae.g_00312
OG0000493	Syar.g_00726	Prae.g_00313
OG0000494	Syar.g_00725	Prae.g_00314
OG0000495	Syar.g_00724	Prae.g_00315
OG0000496	Syar.g_00723	Prae.g_00316
OG0000497	Syar.g_00722	Prae.g_00317
OG0000498	Syar.g_00721	Prae.g_00318
OG0000499	Syar.g_00720	Prae.g_00319
OG0000500	Syar.g_00719	Prae.g_00320
OG0000501	Syar.g_00716	Prae.g_00322
OG0000502	Syar.g_00275	Prae.g_00325
OG0000503	Syar.g_01118	Prae.g_00335
OG0000504	Syar.g_01120	Prae.g_00336
OG0000505	Syar.g_01121	Prae.g_00337
OG0000506	Syar.g_01123	Prae.g_00338
OG0000507	Syar.g_01129	Prae.g_00341
OG0000508	Syar.g_01141	Prae.g_00344
OG0000509	Syar.g_01143	Prae.g_00346
OG0000510	Syar.g_01144	Prae.g_00347
OG0000511	Syar.g_01145	Prae.g_00348
OG0000512	Syar.g_01147	Prae.g_00350
OG0000513	Syar.g_01166	Prae.g_00357
OG0000514	Syar.g_01169	Prae.g_00405
OG0000515	Syar.g_01170	Prae.g_00406
OG0000516	Syar.g_01172	Prae.g_00407
OG0000517	Syar.g_01176	Prae.g_00409
OG0000518	Syar.g_02868	Prae.g_00420
OG0000519	Syar.g_02867	Prae.g_00421
OG0000520	Syar.g_02866	Prae.g_00422
OG0000521	Syar.g_01419	Prae.g_00427
OG0000522	Syar.g_01421	Prae.g_00429
OG0000523	Syar.g_01422	Prae.g_00430
OG0000524	Syar.g_01244	Prae.g_00435
OG0000525	Syar.g_01263	Prae.g_00438
OG0000526	Syar.g_01266	Prae.g_00439
OG0000527	Syar.g_01271	Prae.g_00447
OG0000528	Syar.g_01466	Prae.g_00452
OG0000529	Syar.g_01470	Prae.g_00455
OG0000530	Syar.g_01473	Prae.g_00458
OG0000531	Syar.g_01474	Prae.g_00459
OG0000532	Syar.g_01477	Prae.g_00461
OG0000533	Syar.g_01479	Prae.g_00462
OG0000534	Syar.g_01480	Prae.g_00463
OG0000535	Syar.g_01481	Prae.g_00464
OG0000536	Syar.g_01482	Prae.g_00465
OG0000537	Syar.g_01483	Prae.g_00466
OG0000538	Syar.g_01496	Prae.g_00474
OG0000539	Syar.g_01497	Prae.g_00475
OG0000540	Syar.g_01498	Prae.g_00476
OG0000541	Syar.g_01499	Prae.g_00477
OG0000542	Syar.g_01502	Prae.g_00479
OG0000543	Syar.g_01504	Prae.g_00481
OG0000544	Syar.g_01505	Prae.g_00482
OG0000545	Syar.g_01507	Prae.g_00484
OG0000546	Syar.g_01509	Prae.g_00487
OG0000547	Syar.g_01511	Prae.g_00489
OG0000548	Syar.g_01512	Prae.g_00490
OG0000549	Syar.g_02693	Prae.g_00492
OG0000550	Syar.g_02689	Prae.g_00497
OG0000551	Syar.g_02684	Prae.g_00501
OG0000552	Syar.g_02683	Prae.g_00502
OG0000553	Syar.g_02679	Prae.g_00503
OG0000554	Syar.g_02352	Prae.g_00509
OG0000555	Syar.g_02336	Prae.g_00517
OG0000556	Syar.g_02332	Prae.g_00519
OG0000557	Syar.g_02328	Prae.g_00520
OG0000558	Syar.g_02326	Prae.g_00522
OG0000559	Syar.g_02322	Prae.g_00526
OG0000560	Syar.g_02320	Prae.g_00529
OG0000561	Syar.g_02319	Prae.g_00530
