Orthogroup	Prbk	Syae
OG0000442	Prbk.g_01244	Syae.g_01502
OG0000443	Prbk.g_00631	Syae.g_01503
OG0000444	Prbk.g_00683	Syae.g_01509
OG0000445	Prbk.g_00682	Syae.g_01510
OG0000446	Prbk.g_00680	Syae.g_01512
OG0000447	Prbk.g_00670	Syae.g_01517
OG0000448	Prbk.g_00669	Syae.g_01518
OG0000449	Prbk.g_00668	Syae.g_01519
OG0000450	Prbk.g_00662	Syae.g_01525
OG0000451	Prbk.g_00661	Syae.g_01526
OG0000452	Prbk.g_00656	Syae.g_01530
OG0000453	Prbk.g_00655	Syae.g_01531
OG0000454	Prbk.g_00654	Syae.g_01532
OG0000455	Prbk.g_00653	Syae.g_01533
OG0000456	Prbk.g_00652	Syae.g_01534
OG0000457	Prbk.g_00650	Syae.g_01536
OG0000458	Prbk.g_00649	Syae.g_01538
OG0000459	Prbk.g_00648	Syae.g_01539
OG0000460	Prbk.g_01369	Syae.g_02236
OG0000461	Prbk.g_01900	Syae.g_02024
OG0000462	Prbk.g_01012	Syae.g_02021
OG0000463	Prbk.g_01011	Syae.g_02020
OG0000464	Prbk.g_01010	Syae.g_02019
OG0000465	Prbk.g_01008	Syae.g_02018
OG0000466	Prbk.g_01003	Syae.g_02014
OG0000467	Prbk.g_01001	Syae.g_02012
OG0000468	Prbk.g_00371	Syae.g_02007
OG0000469	Prbk.g_00384	Syae.g_01992
OG0000470	Prbk.g_00397	Syae.g_01990
OG0000471	Prbk.g_00398	Syae.g_01989
OG0000472	Prbk.g_00400	Syae.g_01987
OG0000473	Prbk.g_00402	Syae.g_01985
OG0000474	Prbk.g_00403	Syae.g_01984
OG0000475	Prbk.g_00404	Syae.g_01983
OG0000476	Prbk.g_00406	Syae.g_01981
OG0000477	Prbk.g_00411	Syae.g_01975
OG0000478	Prbk.g_00412	Syae.g_01974
OG0000479	Prbk.g_00413	Syae.g_01973
OG0000480	Prbk.g_00420	Syae.g_01966
OG0000481	Prbk.g_00422	Syae.g_01964
OG0000482	Prbk.g_00423	Syae.g_01963
OG0000483	Prbk.g_00427	Syae.g_01959
OG0000484	Prbk.g_00428	Syae.g_01958
OG0000485	Prbk.g_00429	Syae.g_01957
OG0000486	Prbk.g_00430	Syae.g_01956
OG0000487	Prbk.g_00435	Syae.g_01950
OG0000488	Prbk.g_00439	Syae.g_01946
OG0000489	Prbk.g_00450	Syae.g_01936
OG0000490	Prbk.g_00456	Syae.g_01928
OG0000491	Prbk.g_00457	Syae.g_01927
OG0000492	Prbk.g_00460	Syae.g_01925
OG0000493	Prbk.g_00461	Syae.g_01924
OG0000494	Prbk.g_00462	Syae.g_01923
OG0000495	Prbk.g_00463	Syae.g_01922
OG0000496	Prbk.g_00464	Syae.g_01921
OG0000497	Prbk.g_00465	Syae.g_01920
OG0000498	Prbk.g_00466	Syae.g_01919
OG0000499	Prbk.g_00467	Syae.g_01918
OG0000500	Prbk.g_00468	Syae.g_01917
OG0000501	Prbk.g_00471	Syae.g_01914
OG0000502	Prbk.g_00483	Syae.g_01902
OG0000503	Prbk.g_00871	Syae.g_02192
OG0000504	Prbk.g_00873	Syae.g_02194
OG0000505	Prbk.g_00874	Syae.g_02195
OG0000506	Prbk.g_00876	Syae.g_02197
OG0000507	Prbk.g_00881	Syae.g_02203
OG0000508	Prbk.g_00888	Syae.g_02207
OG0000509	Prbk.g_00890	Syae.g_02209
OG0000510	Prbk.g_00891	Syae.g_02210
OG0000511	Prbk.g_00892	Syae.g_02211
OG0000512	Prbk.g_00894	Syae.g_02213
OG0000513	Prbk.g_00360	Syae.g_02223
OG0000514	Prbk.g_00352	Syae.g_02229
OG0000515	Prbk.g_00351	Syae.g_02230
OG0000516	Prbk.g_00339	Syae.g_01000
OG0000517	Prbk.g_00329	Syae.g_00995
OG0000518	Prbk.g_00317	Syae.g_00983
OG0000519	Prbk.g_00316	Syae.g_00982
OG0000520	Prbk.g_00315	Syae.g_00981
OG0000521	Prbk.g_00301	Syae.g_02491
OG0000522	Prbk.g_00299	Syae.g_02493
