Orthogroup	Syae	Syas
OG0000571	Syae.g_02433	Syas.g_00815
OG0000572	Syae.g_02448	Syas.g_00839
OG0000573	Syae.g_02456	Syas.g_00952
OG0000574	Syae.g_02457	Syas.g_00951
OG0000575	Syae.g_02461	Syas.g_00848
OG0000576	Syae.g_02463	Syas.g_00850
OG0000577	Syae.g_02464	Syas.g_00851
OG0000578	Syae.g_02465	Syas.g_00852
OG0000579	Syae.g_02466	Syas.g_00853
OG0000580	Syae.g_02467	Syas.g_00854
OG0000581	Syae.g_02473	Syas.g_00861
OG0000582	Syae.g_00018	Syas.g_00873
OG0000583	Syae.g_00019	Syas.g_00872
OG0000584	Syae.g_00020	Syas.g_00871
OG0000585	Syae.g_00022	Syas.g_00868
OG0000586	Syae.g_00023	Syas.g_00867
OG0000587	Syae.g_00025	Syas.g_00865
OG0000588	Syae.g_00043	Syas.g_00960
OG0000589	Syae.g_00047	Syas.g_00121
OG0000590	Syae.g_00048	Syas.g_00120
OG0000591	Syae.g_00056	Syas.g_00106
OG0000592	Syae.g_00057	Syas.g_00105
OG0000593	Syae.g_00070	Syas.g_00750
OG0000594	Syae.g_00071	Syas.g_00749
OG0000595	Syae.g_00072	Syas.g_00748
OG0000596	Syae.g_00077	Syas.g_00743
OG0000597	Syae.g_00080	Syas.g_00740
OG0000598	Syae.g_00081	Syas.g_00739
OG0000599	Syae.g_00084	Syas.g_00732
OG0000600	Syae.g_00085	Syas.g_00731
OG0000601	Syae.g_00086	Syas.g_00730
OG0000602	Syae.g_00091	Syas.g_00725
OG0000603	Syae.g_00092	Syas.g_00724
OG0000604	Syae.g_00095	Syas.g_00721
