Orthogroup	Prbk	Syad
OG0000472	Prbk.g_00400	Syad.g_00539
OG0000473	Prbk.g_00402	Syad.g_00537
OG0000474	Prbk.g_00403	Syad.g_00536
OG0000475	Prbk.g_00404	Syad.g_00535
OG0000476	Prbk.g_00406	Syad.g_00533
OG0000477	Prbk.g_00411	Syad.g_00528
OG0000478	Prbk.g_00412	Syad.g_00527
OG0000479	Prbk.g_00413	Syad.g_00526
OG0000480	Prbk.g_00420	Syad.g_00520
OG0000481	Prbk.g_00422	Syad.g_00518
OG0000482	Prbk.g_00423	Syad.g_00517
OG0000483	Prbk.g_00427	Syad.g_00513
OG0000484	Prbk.g_00428	Syad.g_00512
OG0000485	Prbk.g_00429	Syad.g_00511
OG0000486	Prbk.g_00430	Syad.g_00510
OG0000487	Prbk.g_00435	Syad.g_00503
OG0000488	Prbk.g_00439	Syad.g_00499
OG0000489	Prbk.g_00450	Syad.g_00487
OG0000490	Prbk.g_00456	Syad.g_00475
OG0000491	Prbk.g_00457	Syad.g_00474
OG0000492	Prbk.g_00460	Syad.g_00472
OG0000493	Prbk.g_00461	Syad.g_00471
OG0000494	Prbk.g_00462	Syad.g_00470
OG0000495	Prbk.g_00463	Syad.g_00469
OG0000496	Prbk.g_00464	Syad.g_00468
OG0000497	Prbk.g_00465	Syad.g_00467
OG0000498	Prbk.g_00466	Syad.g_00466
OG0000499	Prbk.g_00467	Syad.g_00465
OG0000500	Prbk.g_00468	Syad.g_00464
OG0000501	Prbk.g_00471	Syad.g_00461
OG0000502	Prbk.g_00483	Syad.g_00449
OG0000503	Prbk.g_00871	Syad.g_00761
OG0000504	Prbk.g_00873	Syad.g_00763
OG0000505	Prbk.g_00874	Syad.g_00764
OG0000506	Prbk.g_00876	Syad.g_00766
OG0000507	Prbk.g_00881	Syad.g_00772
OG0000508	Prbk.g_00888	Syad.g_00776
OG0000509	Prbk.g_00890	Syad.g_00778
OG0000510	Prbk.g_00891	Syad.g_00779
OG0000511	Prbk.g_00892	Syad.g_00780
OG0000512	Prbk.g_00894	Syad.g_00782
OG0000513	Prbk.g_00360	Syad.g_00789
OG0000514	Prbk.g_00352	Syad.g_00795
OG0000515	Prbk.g_00351	Syad.g_00796
OG0000516	Prbk.g_00339	Syad.g_02456
OG0000517	Prbk.g_00329	Syad.g_02451
OG0000518	Prbk.g_00317	Syad.g_02439
OG0000519	Prbk.g_00316	Syad.g_02438
OG0000520	Prbk.g_00315	Syad.g_02437
OG0000521	Prbk.g_00301	Syad.g_01108
OG0000522	Prbk.g_00299	Syad.g_01109
OG0000523	Prbk.g_00298	Syad.g_01110
OG0000524	Prbk.g_02088	Syad.g_02386
OG0000525	Prbk.g_02105	Syad.g_02363
OG0000526	Prbk.g_02107	Syad.g_02360
OG0000527	Prbk.g_02111	Syad.g_02355
OG0000528	Prbk.g_02056	Syad.g_00897
OG0000529	Prbk.g_02062	Syad.g_00905
OG0000530	Prbk.g_02065	Syad.g_00908
OG0000531	Prbk.g_02066	Syad.g_00909
OG0000532	Prbk.g_02069	Syad.g_00912
OG0000533	Prbk.g_02071	Syad.g_00913
OG0000534	Prbk.g_02072	Syad.g_00914
OG0000535	Prbk.g_02073	Syad.g_00915
OG0000536	Prbk.g_02074	Syad.g_00916
OG0000537	Prbk.g_02075	Syad.g_00917
OG0000538	Prbk.g_01865	Syad.g_00929
OG0000539	Prbk.g_01041	Syad.g_00930
OG0000540	Prbk.g_01042	Syad.g_00931
OG0000541	Prbk.g_01043	Syad.g_00932
OG0000542	Prbk.g_01046	Syad.g_00935
OG0000543	Prbk.g_01048	Syad.g_00937
OG0000544	Prbk.g_01049	Syad.g_00938
OG0000545	Prbk.g_01050	Syad.g_00940
OG0000546	Prbk.g_01052	Syad.g_00942
OG0000547	Prbk.g_01054	Syad.g_00944
OG0000548	Prbk.g_01055	Syad.g_00945
OG0000549	Prbk.g_01061	Syad.g_00952
OG0000550	Prbk.g_01066	Syad.g_00956
OG0000551	Prbk.g_01070	Syad.g_00960
