Orthogroup	Pral	Praw
OG0000545	Pral.g_00466	Praw.g_00157
OG0000546	Pral.g_00465	Praw.g_00158
OG0000547	Pral.g_00464	Praw.g_00160
OG0000548	Pral.g_00462	Praw.g_00161
OG0000549	Pral.g_00461	Praw.g_00162
OG0000550	Pral.g_00460	Praw.g_00163
OG0000551	Pral.g_00459	Praw.g_00164
OG0000552	Pral.g_00458	Praw.g_00165
OG0000553	Pral.g_01430	Praw.g_00166
OG0000554	Pral.g_01432	Praw.g_00167
OG0000555	Pral.g_01433	Praw.g_00168
OG0000556	Pral.g_01434	Praw.g_00169
OG0000557	Pral.g_01435	Praw.g_01888
OG0000558	Pral.g_01436	Praw.g_01887
OG0000559	Pral.g_01437	Praw.g_01886
OG0000560	Pral.g_01439	Praw.g_01884
OG0000561	Pral.g_01440	Praw.g_01883
OG0000562	Pral.g_01441	Praw.g_01882
OG0000563	Pral.g_01442	Praw.g_01881
OG0000564	Pral.g_01443	Praw.g_01880
OG0000565	Pral.g_01444	Praw.g_01879
OG0000566	Pral.g_01445	Praw.g_01878
OG0000567	Pral.g_01446	Praw.g_01877
OG0000568	Pral.g_01447	Praw.g_01876
OG0000569	Pral.g_01448	Praw.g_01875
OG0000570	Pral.g_01449	Praw.g_01874
OG0000571	Pral.g_01450	Praw.g_01873
OG0000572	Pral.g_01451	Praw.g_01872
OG0000573	Pral.g_01454	Praw.g_01869
OG0000574	Pral.g_01455	Praw.g_01868
OG0000575	Pral.g_01456	Praw.g_01867
OG0000576	Pral.g_01457	Praw.g_01866
OG0000577	Pral.g_01458	Praw.g_01865
OG0000578	Pral.g_01459	Praw.g_01864
