Orthogroup	Prbn	Prav
OG0000304	Prbn.g_00353	Prav.g_00838
OG0000305	Prbn.g_00352	Prav.g_00837
OG0000306	Prbn.g_00349	Prav.g_00834
OG0000307	Prbn.g_00348	Prav.g_00833
OG0000308	Prbn.g_00347	Prav.g_00832
OG0000309	Prbn.g_00346	Prav.g_00831
OG0000310	Prbn.g_00345	Prav.g_00830
OG0000311	Prbn.g_00343	Prav.g_00829
OG0000312	Prbn.g_00342	Prav.g_00828
OG0000313	Prbn.g_00341	Prav.g_00827
OG0000314	Prbn.g_00340	Prav.g_00826
OG0000315	Prbn.g_00339	Prav.g_00825
OG0000316	Prbn.g_00338	Prav.g_00824
OG0000317	Prbn.g_00337	Prav.g_00823
OG0000318	Prbn.g_00336	Prav.g_00822
OG0000319	Prbn.g_00335	Prav.g_00821
OG0000320	Prbn.g_00334	Prav.g_00820
OG0000321	Prbn.g_00333	Prav.g_00819
OG0000322	Prbn.g_00332	Prav.g_00818
OG0000323	Prbn.g_00331	Prav.g_00817
OG0000324	Prbn.g_00330	Prav.g_00816
OG0000325	Prbn.g_00329	Prav.g_00815
OG0000326	Prbn.g_00328	Prav.g_00814
OG0000327	Prbn.g_00327	Prav.g_00813
OG0000328	Prbn.g_00325	Prav.g_00812
OG0000329	Prbn.g_00324	Prav.g_00811
OG0000330	Prbn.g_00323	Prav.g_00810
OG0000331	Prbn.g_00321	Prav.g_00809
OG0000332	Prbn.g_00320	Prav.g_00808
OG0000333	Prbn.g_00319	Prav.g_00807
OG0000334	Prbn.g_00318	Prav.g_00806
OG0000335	Prbn.g_00317	Prav.g_00805
OG0000336	Prbn.g_00315	Prav.g_00803
OG0000337	Prbn.g_00314	Prav.g_00802
OG0000338	Prbn.g_00309	Prav.g_00798
OG0000339	Prbn.g_00307	Prav.g_01889
OG0000340	Prbn.g_00305	Prav.g_01891
OG0000341	Prbn.g_00304	Prav.g_01892
OG0000342	Prbn.g_00012	Prav.g_01893
OG0000343	Prbn.g_00013	Prav.g_01894
OG0000344	Prbn.g_00016	Prav.g_01897
OG0000345	Prbn.g_00020	Prav.g_01900
OG0000346	Prbn.g_00021	Prav.g_01901
OG0000347	Prbn.g_00024	Prav.g_01904
OG0000348	Prbn.g_00025	Prav.g_01906
OG0000349	Prbn.g_00026	Prav.g_01907
OG0000350	Prbn.g_00028	Prav.g_01909
OG0000351	Prbn.g_00029	Prav.g_01910
OG0000352	Prbn.g_00030	Prav.g_01911
OG0000353	Prbn.g_00031	Prav.g_01912
OG0000354	Prbn.g_00033	Prav.g_01913
OG0000355	Prbn.g_00034	Prav.g_01914
OG0000356	Prbn.g_00035	Prav.g_01915
OG0000357	Prbn.g_00036	Prav.g_01916
OG0000358	Prbn.g_00037	Prav.g_01917
OG0000359	Prbn.g_00039	Prav.g_01918
OG0000360	Prbn.g_00042	Prav.g_01921
OG0000361	Prbn.g_00043	Prav.g_01922
OG0000362	Prbn.g_00044	Prav.g_01923
OG0000363	Prbn.g_00045	Prav.g_01924
OG0000364	Prbn.g_00049	Prav.g_01928
OG0000365	Prbn.g_00050	Prav.g_01929
OG0000366	Prbn.g_00053	Prav.g_01931
OG0000367	Prbn.g_00054	Prav.g_01932
OG0000368	Prbn.g_00055	Prav.g_01933
OG0000369	Prbn.g_00056	Prav.g_01934
OG0000370	Prbn.g_00057	Prav.g_01935
OG0000371	Prbn.g_00059	Prav.g_01936
OG0000372	Prbn.g_00060	Prav.g_01937
OG0000373	Prbn.g_00061	Prav.g_01938
OG0000374	Prbn.g_00062	Prav.g_01940
OG0000375	Prbn.g_00063	Prav.g_01941
OG0000376	Prbn.g_00066	Prav.g_01944
OG0000377	Prbn.g_00067	Prav.g_01945
