Orthogroup	Syar	Prav
OG0000418	Syar.g_00100	Prav.g_00873
OG0000419	Syar.g_00102	Prav.g_00871
OG0000420	Syar.g_00104	Prav.g_00870
OG0000421	Syar.g_00109	Prav.g_00865
OG0000422	Syar.g_00110	Prav.g_00864
OG0000423	Syar.g_00111	Prav.g_00863
OG0000424	Syar.g_00112	Prav.g_00862
OG0000425	Syar.g_00113	Prav.g_00861
OG0000426	Syar.g_00114	Prav.g_00860
OG0000427	Syar.g_00115	Prav.g_00859
OG0000428	Syar.g_00118	Prav.g_00857
OG0000429	Syar.g_00121	Prav.g_00856
OG0000430	Syar.g_00123	Prav.g_00855
OG0000431	Syar.g_00127	Prav.g_00853
OG0000432	Syar.g_01009	Prav.g_00850
OG0000433	Syar.g_01007	Prav.g_00849
OG0000434	Syar.g_01006	Prav.g_00848
OG0000435	Syar.g_01003	Prav.g_00847
OG0000436	Syar.g_00994	Prav.g_00842
OG0000437	Syar.g_00993	Prav.g_00841
OG0000438	Syar.g_00992	Prav.g_00840
OG0000439	Syar.g_00990	Prav.g_00838
OG0000440	Syar.g_00989	Prav.g_00837
OG0000441	Syar.g_00986	Prav.g_00834
OG0000442	Syar.g_00977	Prav.g_00833
OG0000443	Syar.g_00964	Prav.g_00832
OG0000444	Syar.g_00954	Prav.g_00827
OG0000445	Syar.g_00953	Prav.g_00826
OG0000446	Syar.g_00951	Prav.g_00825
OG0000447	Syar.g_00948	Prav.g_00824
OG0000448	Syar.g_00947	Prav.g_00823
OG0000449	Syar.g_00946	Prav.g_00822
OG0000450	Syar.g_00939	Prav.g_00821
OG0000451	Syar.g_00938	Prav.g_00820
OG0000452	Syar.g_00934	Prav.g_00817
OG0000453	Syar.g_00933	Prav.g_00816
OG0000454	Syar.g_00932	Prav.g_00815
OG0000455	Syar.g_00931	Prav.g_00814
OG0000456	Syar.g_00930	Prav.g_00813
OG0000457	Syar.g_00928	Prav.g_00812
OG0000458	Syar.g_00918	Prav.g_00811
OG0000459	Syar.g_00917	Prav.g_00810
OG0000460	Syar.g_03024	Prav.g_00803
OG0000461	Syar.g_00153	Prav.g_01889
OG0000462	Syar.g_00155	Prav.g_01891
OG0000463	Syar.g_00156	Prav.g_01892
OG0000464	Syar.g_00157	Prav.g_01893
OG0000465	Syar.g_00159	Prav.g_01894
OG0000466	Syar.g_00164	Prav.g_01897
OG0000467	Syar.g_00165	Prav.g_01898
OG0000468	Syar.g_00170	Prav.g_01900
OG0000469	Syar.g_00203	Prav.g_01909
OG0000470	Syar.g_00206	Prav.g_01911
OG0000471	Syar.g_00207	Prav.g_01912
OG0000472	Syar.g_00208	Prav.g_01913
OG0000473	Syar.g_00210	Prav.g_01915
OG0000474	Syar.g_00211	Prav.g_01916
OG0000475	Syar.g_00212	Prav.g_01917
OG0000476	Syar.g_00214	Prav.g_01918
OG0000477	Syar.g_00219	Prav.g_01921
OG0000478	Syar.g_00220	Prav.g_01922
OG0000479	Syar.g_00221	Prav.g_01923
OG0000480	Syar.g_00228	Prav.g_01928
OG0000481	Syar.g_00230	Prav.g_01930
OG0000482	Syar.g_00231	Prav.g_01931
OG0000483	Syar.g_00235	Prav.g_01934
OG0000484	Syar.g_00236	Prav.g_01935
OG0000485	Syar.g_00237	Prav.g_01936
OG0000486	Syar.g_00024, Syar.g_00238	Prav.g_01937
OG0000487	Syar.g_00245	Prav.g_01941
OG0000488	Syar.g_00853	Prav.g_01944
OG0000489	Syar.g_00833	Prav.g_01949
OG0000490	Syar.g_00823	Prav.g_01954
OG0000491	Syar.g_00822	Prav.g_01955
OG0000492	Syar.g_00727	Prav.g_01957
OG0000493	Syar.g_00726	Prav.g_01958
OG0000494	Syar.g_00725	Prav.g_01959
OG0000495	Syar.g_00724	Prav.g_01960
OG0000496	Syar.g_00723	Prav.g_01961
OG0000497	Syar.g_00722	Prav.g_01962
OG0000498	Syar.g_00721	Prav.g_01963
OG0000499	Syar.g_00720	Prav.g_01964
OG0000500	Syar.g_00719	Prav.g_01965
OG0000501	Syar.g_00716	Prav.g_01967
OG0000502	Syar.g_00275	Prav.g_01970
OG0000503	Syar.g_01118	Prav.g_01980
OG0000504	Syar.g_01120	Prav.g_01981
OG0000505	Syar.g_01121	Prav.g_01982
OG0000506	Syar.g_01123	Prav.g_01984
OG0000507	Syar.g_01129	Prav.g_01987
