Orthogroup	Praj	Praq
OG0000542	Praj.g_00578	Praq.g_01012
OG0000543	Praj.g_00579	Praq.g_01010
OG0000544	Praj.g_00581	Praq.g_01009
OG0000545	Praj.g_00580	Praq.g_01008
OG0000546	Praj.g_00582	Praq.g_01007
OG0000547	Praj.g_00583	Praq.g_01006
OG0000548	Praj.g_00584	Praq.g_01005
OG0000549	Praj.g_00586	Praq.g_01003
OG0000550	Praj.g_00587	Praq.g_01002
OG0000551	Praj.g_00588	Praq.g_01001
OG0000552	Praj.g_00589	Praq.g_01000
OG0000553	Praj.g_00590	Praq.g_00999
OG0000554	Praj.g_00591	Praq.g_00998
OG0000555	Praj.g_00593	Praq.g_00997
OG0000556	Praj.g_00594	Praq.g_00996
OG0000557	Praj.g_00595	Praq.g_00995
OG0000558	Praj.g_00596	Praq.g_00994
OG0000559	Praj.g_00597	Praq.g_00993
OG0000560	Praj.g_00598	Praq.g_00992
OG0000561	Praj.g_00599	Praq.g_00991
OG0000562	Praj.g_00600	Praq.g_00990
OG0000563	Praj.g_00601	Praq.g_00989
OG0000564	Praj.g_00602	Praq.g_00988
OG0000565	Praj.g_00603	Praq.g_00987
OG0000566	Praj.g_00604	Praq.g_00986
OG0000567	Praj.g_00605	Praq.g_00985
OG0000568	Praj.g_00606	Praq.g_00984
OG0000569	Praj.g_00609	Praq.g_00981
