Orthogroup	Prae	Prbc
OG0000462	Prae.g_00247	Prbc.g_01142
OG0000463	Prae.g_00248	Prbc.g_01143
OG0000464	Prae.g_00249	Prbc.g_01144
OG0000465	Prae.g_00250	Prbc.g_01145
OG0000466	Prae.g_00253	Prbc.g_01146
OG0000467	Prae.g_00254	Prbc.g_01147
OG0000468	Prae.g_00256	Prbc.g_01149
OG0000469	Prae.g_00265	Prbc.g_01156
OG0000470	Prae.g_00267	Prbc.g_01158
OG0000471	Prae.g_00268	Prbc.g_01159
OG0000472	Prae.g_00269	Prbc.g_01160
OG0000473	Prae.g_00271	Prbc.g_01162
OG0000474	Prae.g_00272	Prbc.g_01163
OG0000475	Prae.g_00273	Prbc.g_01164
OG0000476	Prae.g_00274	Prbc.g_01166
OG0000477	Prae.g_00276	Prbc.g_01168
OG0000478	Prae.g_00277	Prbc.g_01169
OG0000479	Prae.g_00278	Prbc.g_01170
OG0000480	Prae.g_00283	Prbc.g_01175
OG0000481	Prae.g_00285	Prbc.g_01177
OG0000482	Prae.g_00286	Prbc.g_01178
OG0000483	Prae.g_00289	Prbc.g_01181
OG0000484	Prae.g_00290	Prbc.g_01182
OG0000485	Prae.g_00291	Prbc.g_01183
OG0000486	Prae.g_00292	Prbc.g_01184
OG0000487	Prae.g_00296	Prbc.g_01187
OG0000488	Prae.g_00299	Prbc.g_01190
OG0000489	Prae.g_00304	Prbc.g_01195
OG0000490	Prae.g_00309	Prbc.g_01200
OG0000491	Prae.g_00310	Prbc.g_01201
OG0000492	Prae.g_00312	Prbc.g_01203
OG0000493	Prae.g_00313	Prbc.g_01204
OG0000494	Prae.g_00314	Prbc.g_01205
OG0000495	Prae.g_00315	Prbc.g_01206
OG0000496	Prae.g_00316	Prbc.g_01207
OG0000497	Prae.g_00317	Prbc.g_01208
OG0000498	Prae.g_00318	Prbc.g_01209
OG0000499	Prae.g_00319	Prbc.g_01210
OG0000500	Prae.g_00320	Prbc.g_01211
OG0000501	Prae.g_00322	Prbc.g_01213
OG0000502	Prae.g_00325	Prbc.g_01216
OG0000503	Prae.g_00335	Prbc.g_01246
OG0000504	Prae.g_00336	Prbc.g_01248
OG0000505	Prae.g_00337	Prbc.g_01249
OG0000506	Prae.g_00338	Prbc.g_01250
OG0000507	Prae.g_00341	Prbc.g_01253
OG0000508	Prae.g_00344	Prbc.g_01256
OG0000509	Prae.g_00346	Prbc.g_01258
OG0000510	Prae.g_00347	Prbc.g_01259
OG0000511	Prae.g_00348	Prbc.g_01260
OG0000512	Prae.g_00350	Prbc.g_01262
OG0000513	Prae.g_00357	Prbc.g_01271
OG0000514	Prae.g_00405	Prbc.g_01492
OG0000515	Prae.g_00406	Prbc.g_01493
OG0000516	Prae.g_00407	Prbc.g_01494
