Orthogroup	Prar	Syaa
OG0000375	Prar.g_00580	Syaa.g_00049
OG0000376	Prar.g_00578	Syaa.g_00051
OG0000377	Prar.g_00574	Syaa.g_02585
OG0000378	Prar.g_00572	Syaa.g_02577
OG0000379	Prar.g_00569	Syaa.g_02574
OG0000380	Prar.g_00552	Syaa.g_00357
OG0000381	Prar.g_00548	Syaa.g_00353
OG0000382	Prar.g_00247	Syaa.g_00335
OG0000383	Prar.g_00245	Syaa.g_00333
OG0000384	Prar.g_00244	Syaa.g_00332
OG0000385	Prar.g_00243	Syaa.g_00331
OG0000386	Prar.g_00242	Syaa.g_00330
OG0000387	Prar.g_00229	Syaa.g_02371
OG0000388	Prar.g_00226	Syaa.g_02375
OG0000389	Prar.g_00222	Syaa.g_02379
OG0000390	Prar.g_00215	Syaa.g_02398
OG0000391	Prar.g_00212	Syaa.g_02403
OG0000392	Prar.g_00208	Syaa.g_02409
OG0000393	Prar.g_00206	Syaa.g_02412
OG0000394	Prar.g_00205	Syaa.g_02413
OG0000395	Prar.g_00204	Syaa.g_02414
OG0000396	Prar.g_00201	Syaa.g_02417
OG0000397	Prar.g_00199	Syaa.g_02419
OG0000398	Prar.g_00197	Syaa.g_02424
OG0000399	Prar.g_00196	Syaa.g_02425
OG0000400	Prar.g_00195	Syaa.g_02426
OG0000401	Prar.g_00194	Syaa.g_02427
OG0000402	Prar.g_00192	Syaa.g_02429
OG0000403	Prar.g_00191	Syaa.g_02430
OG0000404	Prar.g_00190	Syaa.g_02431
OG0000405	Prar.g_00186	Syaa.g_02446
OG0000406	Prar.g_00180	Syaa.g_02450
OG0000407	Prar.g_00179	Syaa.g_02451
OG0000408	Prar.g_00177	Syaa.g_02458
OG0000409	Prar.g_00175	Syaa.g_02460
OG0000410	Prar.g_00174	Syaa.g_02461
OG0000411	Prar.g_00173	Syaa.g_02462
OG0000412	Prar.g_00172	Syaa.g_02463
OG0000413	Prar.g_00171	Syaa.g_02465
OG0000415	Prar.g_00169	Syaa.g_02466
OG0000416	Prar.g_00168	Syaa.g_02467
OG0000417	Prar.g_00167	Syaa.g_02468
OG0000418	Prar.g_00162	Syaa.g_02473
OG0000419	Prar.g_00160	Syaa.g_02475
OG0000420	Prar.g_00159	Syaa.g_02477
OG0000421	Prar.g_00154	Syaa.g_02482
OG0000422	Prar.g_00153	Syaa.g_02483
OG0000423	Prar.g_00152	Syaa.g_02484
OG0000424	Prar.g_00151	Syaa.g_02485
OG0000425	Prar.g_00150	Syaa.g_02486
OG0000426	Prar.g_00149	Syaa.g_02487
OG0000427	Prar.g_00148	Syaa.g_02488
OG0000428	Prar.g_00146	Syaa.g_02491
OG0000429	Prar.g_00145	Syaa.g_02493
OG0000430	Prar.g_00144	Syaa.g_02495
OG0000431	Prar.g_00142	Syaa.g_02498
OG0000432	Prar.g_00139	Syaa.g_02504
OG0000433	Prar.g_00138	Syaa.g_02513
OG0000434	Prar.g_00137	Syaa.g_02514
OG0000435	Prar.g_00136	Syaa.g_02516
OG0000436	Prar.g_00131	Syaa.g_02525
OG0000437	Prar.g_00130	Syaa.g_02526
OG0000438	Prar.g_00129	Syaa.g_02527
OG0000439	Prar.g_00127	Syaa.g_02529
OG0000440	Prar.g_00126	Syaa.g_02530
OG0000441	Prar.g_00123	Syaa.g_02534
OG0000442	Prar.g_00122	Syaa.g_02535
OG0000443	Prar.g_00121	Syaa.g_02536
OG0000444	Prar.g_00116	Syaa.g_02542
OG0000445	Prar.g_00115	Syaa.g_02543
OG0000446	Prar.g_00114	Syaa.g_02545
OG0000447	Prar.g_00113	Syaa.g_02548
OG0000448	Prar.g_00112	Syaa.g_02549
OG0000449	Prar.g_00111	Syaa.g_02550
OG0000450	Prar.g_00110	Syaa.g_02553
OG0000451	Prar.g_00109	Syaa.g_02554
OG0000452	Prar.g_00106	Syaa.g_02558
OG0000453	Prar.g_00105	Syaa.g_02559
OG0000454	Prar.g_00104	Syaa.g_02560
OG0000455	Prar.g_00103	Syaa.g_02561
OG0000456	Prar.g_00102	Syaa.g_02562
OG0000457	Prar.g_00101	Syaa.g_02564
OG0000458	Prar.g_00100	Syaa.g_02565
OG0000459	Prar.g_00099	Syaa.g_02566
OG0000460	Prar.g_00092	Syaa.g_02111
OG0000461	Prar.g_00085	Syaa.g_00318
OG0000462	Prar.g_00083	Syaa.g_00315
OG0000463	Prar.g_00082	Syaa.g_00314
OG0000464	Prar.g_00081	Syaa.g_00313
OG0000465	Prar.g_00080	Syaa.g_00311
OG0000466	Prar.g_00077	Syaa.g_00306
OG0000467	Prar.g_00076	Syaa.g_00304
OG0000468	Prar.g_00334	Syaa.g_00299
OG0000469	Prar.g_00325	Syaa.g_00285
OG0000470	Prar.g_00323	Syaa.g_00283
OG0000471	Prar.g_00322	Syaa.g_00282
OG0000472	Prar.g_00321	Syaa.g_00280
OG0000473	Prar.g_00319	Syaa.g_00278
OG0000474	Prar.g_00318	Syaa.g_00277
OG0000475	Prar.g_00317	Syaa.g_00276
OG0000476	Prar.g_00316	Syaa.g_00274
OG0000477	Prar.g_00312	Syaa.g_00268
OG0000478	Prar.g_00311	Syaa.g_00267
OG0000479	Prar.g_00310	Syaa.g_00266
OG0000480	Prar.g_00305	Syaa.g_00259
OG0000481	Prar.g_00303	Syaa.g_00257
OG0000482	Prar.g_00302	Syaa.g_00256
OG0000483	Prar.g_00299	Syaa.g_00252
OG0000484	Prar.g_00298	Syaa.g_00251
OG0000485	Prar.g_00297	Syaa.g_00250
OG0000486	Prar.g_00296	Syaa.g_00249
OG0000487	Prar.g_00292	Syaa.g_00243
OG0000488	Prar.g_00289	Syaa.g_00239
OG0000489	Prar.g_00284	Syaa.g_00228
OG0000490	Prar.g_00279	Syaa.g_00220
OG0000491	Prar.g_00278	Syaa.g_00218
OG0000492	Prar.g_00276	Syaa.g_00214
OG0000493	Prar.g_00275	Syaa.g_00213
OG0000494	Prar.g_00274	Syaa.g_00212
OG0000495	Prar.g_00273	Syaa.g_00211
OG0000496	Prar.g_00272	Syaa.g_00210
OG0000497	Prar.g_00271	Syaa.g_00209
OG0000498	Prar.g_00270	Syaa.g_00208
OG0000499	Prar.g_00269	Syaa.g_00207
OG0000500	Prar.g_00268	Syaa.g_00206
OG0000501	Prar.g_00266	Syaa.g_00203
OG0000502	Prar.g_00263	Syaa.g_00190
OG0000503	Prar.g_00394	Syaa.g_02182
OG0000504	Prar.g_00395	Syaa.g_02180
OG0000505	Prar.g_00396	Syaa.g_02179
OG0000506	Prar.g_00398	Syaa.g_02177
OG0000507	Prar.g_00401	Syaa.g_02171
OG0000508	Prar.g_00405	Syaa.g_02167
OG0000509	Prar.g_00407	Syaa.g_02165
OG0000510	Prar.g_00408	Syaa.g_02164
OG0000511	Prar.g_00409	Syaa.g_02163
OG0000512	Prar.g_00411	Syaa.g_02161
OG0000513	Prar.g_00418	Syaa.g_02145
OG0000514	Prar.g_00479	Syaa.g_02118
OG0000515	Prar.g_00480	Syaa.g_02117
OG0000516	Prar.g_00481	Syaa.g_00698
OG0000517	Prar.g_00483	Syaa.g_00702
OG0000518	Prar.g_00494	Syaa.g_00714
OG0000519	Prar.g_00495	Syaa.g_00715
OG0000520	Prar.g_00496	Syaa.g_00716
OG0000521	Prar.g_00501	Syaa.g_01864
OG0000522	Prar.g_00503	Syaa.g_01862
OG0000523	Prar.g_00504	Syaa.g_01859
OG0000524	Prar.g_00510	Syaa.g_01856
OG0000525	Prar.g_00513	Syaa.g_01851
OG0000526	Prar.g_00514	Syaa.g_01848
OG0000527	Prar.g_00523	Syaa.g_01844
OG0000528	Prar.g_00528	Syaa.g_02054
OG0000529	Prar.g_00531	Syaa.g_02050
OG0000530	Prar.g_00534	Syaa.g_02047
OG0000531	Prar.g_00535	Syaa.g_02046
OG0000532	Prar.g_00537	Syaa.g_02043
OG0000533	Prar.g_00538	Syaa.g_02042
OG0000534	Prar.g_00539	Syaa.g_02041
OG0000535	Prar.g_00540	Syaa.g_02040
OG0000536	Prar.g_00541	Syaa.g_02039
OG0000537	Prar.g_00542	Syaa.g_02038
OG0000538	Prar.g_01331	Syaa.g_02027
OG0000539	Prar.g_01332	Syaa.g_02026
OG0000540	Prar.g_01333	Syaa.g_02025
OG0000541	Prar.g_01334	Syaa.g_02024
OG0000542	Prar.g_01336	Syaa.g_02021
OG0000543	Prar.g_01338	Syaa.g_02019
OG0000544	Prar.g_01339	Syaa.g_02018
OG0000545	Prar.g_01341	Syaa.g_02016
OG0000546	Prar.g_01344	Syaa.g_02014
OG0000547	Prar.g_01345	Syaa.g_02012
OG0000548	Prar.g_01346	Syaa.g_02011
OG0000549	Prar.g_01348	Syaa.g_02003
OG0000550	Prar.g_01353	Syaa.g_01998
OG0000551	Prar.g_01357	Syaa.g_01993
OG0000552	Prar.g_01358	Syaa.g_01992
OG0000553	Prar.g_01359	Syaa.g_01990
OG0000554	Prar.g_01364	Syaa.g_01979
OG0000555	Prar.g_01372	Syaa.g_01961
OG0000556	Prar.g_01374	Syaa.g_01957
OG0000557	Prar.g_01375	Syaa.g_01955
OG0000558	Prar.g_01377	Syaa.g_01953
