Orthogroup	Prai	Prbb
OG0000305	Prai.g_01362	Prbb.g_01789
OG0000306	Prai.g_01365	Prbb.g_00845
OG0000307	Prai.g_01379	Prbb.g_01648
OG0000308	Prai.g_01380	Prbb.g_01649
OG0000309	Prai.g_01384	Prbb.g_01653
OG0000310	Prai.g_01448	Prbb.g_01671
OG0000311	Prai.g_01450	Prbb.g_01673
OG0000312	Prai.g_01453	Prbb.g_01676
OG0000313	Prai.g_01467	Prbb.g_01690
OG0000314	Prai.g_01489	Prbb.g_01711
OG0000315	Prai.g_01499	Prbb.g_01721
OG0000316	Prai.g_01519	Prbb.g_01746
OG0000317	Prai.g_01636	Prbb.g_01821
OG0000318	Prai.g_01639	Prbb.g_01824
OG0000319	Prai.g_01652	Prbb.g_01835
OG0000320	Prai.g_01654	Prbb.g_01837
OG0000321	Prai.g_01655	Prbb.g_01838
OG0000322	Prai.g_01656	Prbb.g_01839
OG0000323	Prai.g_01665	Prbb.g_01848
OG0000324	Prai.g_01691	Prbb.g_01875
OG0000325	Prai.g_01702	Prbb.g_01924
OG0000326	Prai.g_01708	Prbb.g_01930
OG0000327	Prai.g_01735	Prbb.g_01959
OG0000328	Prai.g_01736	Prbb.g_01960
OG0000329	Prai.g_01754	Prbb.g_01977
OG0000330	Prai.g_01755	Prbb.g_01978
OG0000331	Prai.g_01756	Prbb.g_01979
OG0000332	Prai.g_01770	Prbb.g_01993
OG0000333	Prai.g_01777	Prbb.g_01995
OG0000334	Prai.g_01785	Prbb.g_02004
OG0000335	Prai.g_01790	Prbb.g_02009
OG0000336	Prai.g_01794	Prbb.g_02013
OG0000337	Prai.g_01810	Prbb.g_02031
OG0000338	Prai.g_01811	Prbb.g_02032
OG0000339	Prai.g_01815	Prbb.g_02037
OG0000340	Prai.g_01823	Prbb.g_02046
OG0000341	Prai.g_01825	Prbb.g_02048
OG0000342	Prai.g_01826	Prbb.g_02049
OG0000343	Prai.g_01827	Prbb.g_02050
OG0000344	Prai.g_01830	Prbb.g_02053
OG0000345	Prai.g_01835	Prbb.g_02058
OG0000346	Prai.g_01839	Prbb.g_02062
OG0000347	Prai.g_01855	Prbb.g_02082
OG0000348	Prai.g_01866	Prbb.g_02104
OG0000349	Prai.g_01883	Prbb.g_02122
OG0000350	Prai.g_01901	Prbb.g_02143
OG0000351	Prai.g_01918	Prbb.g_02168
OG0000352	Prai.g_01919	Prbb.g_02169
OG0000353	Prai.g_01935	Prbb.g_02188
OG0000355	Prai.g_00001	Prbb.g_00001
OG0000356	Prai.g_00002	Prbb.g_00002
OG0000357	Prai.g_00003	Prbb.g_00003
OG0000358	Prai.g_00007	Prbb.g_00008
OG0000359	Prai.g_00008	Prbb.g_00009
OG0000360	Prai.g_00009	Prbb.g_00010
OG0000361	Prai.g_00010	Prbb.g_00011
OG0000362	Prai.g_00012	Prbb.g_00013
OG0000363	Prai.g_00014	Prbb.g_00015
OG0000364	Prai.g_00015	Prbb.g_00016
OG0000365	Prai.g_00020	Prbb.g_00021
OG0000366	Prai.g_00021	Prbb.g_00022
OG0000367	Prai.g_00022	Prbb.g_00023
OG0000368	Prai.g_00024	Prbb.g_00025
OG0000369	Prai.g_00025	Prbb.g_00026
OG0000370	Prai.g_00026	Prbb.g_00027
OG0000371	Prai.g_00032	Prbb.g_00033
OG0000372	Prai.g_00035	Prbb.g_00035
OG0000373	Prai.g_00036	Prbb.g_00036
OG0000374	Prai.g_00037	Prbb.g_00037
OG0000375	Prai.g_00047	Prbb.g_00055
OG0000376	Prai.g_00049	Prbb.g_00057
OG0000377	Prai.g_00052	Prbb.g_00060
OG0000378	Prai.g_00054	Prbb.g_00062
OG0000379	Prai.g_00057	Prbb.g_00065
OG0000380	Prai.g_00066	Prbb.g_00121
OG0000381	Prai.g_00070	Prbb.g_00125
OG0000382	Prai.g_00081	Prbb.g_00136
OG0000383	Prai.g_00083	Prbb.g_00138
OG0000384	Prai.g_00084	Prbb.g_00139
OG0000385	Prai.g_00085	Prbb.g_00140
OG0000386	Prai.g_00086	Prbb.g_00141
OG0000387	Prai.g_00099	Prbb.g_00154
OG0000388	Prai.g_00102	Prbb.g_00158
OG0000389	Prai.g_00106	Prbb.g_00161
OG0000390	Prai.g_00113	Prbb.g_00170
OG0000391	Prai.g_00116	Prbb.g_00174
OG0000392	Prai.g_00120	Prbb.g_00177
OG0000393	Prai.g_00122	Prbb.g_00180
OG0000394	Prai.g_00123	Prbb.g_00181
OG0000395	Prai.g_00124	Prbb.g_00182
OG0000396	Prai.g_00127	Prbb.g_00185
OG0000397	Prai.g_00129	Prbb.g_00187
OG0000398	Prai.g_00131	Prbb.g_00190
OG0000399	Prai.g_00132	Prbb.g_00191
OG0000400	Prai.g_00133	Prbb.g_00192
OG0000401	Prai.g_00134	Prbb.g_00193
OG0000402	Prai.g_00136	Prbb.g_01101
OG0000403	Prai.g_00137	Prbb.g_00194
OG0000404	Prai.g_00138	Prbb.g_00195
OG0000405	Prai.g_00142	Prbb.g_00200
OG0000406	Prai.g_00158	Prbb.g_00204
OG0000407	Prai.g_00159	Prbb.g_00205
OG0000408	Prai.g_00161	Prbb.g_00207
OG0000409	Prai.g_00163	Prbb.g_00209
OG0000410	Prai.g_00164	Prbb.g_00210
OG0000411	Prai.g_00165	Prbb.g_00211
OG0000412	Prai.g_00166	Prbb.g_00212
OG0000413	Prai.g_00167	Prbb.g_00213
OG0000414	Prai.g_01288, Prai.g_00168	Prbb.g_00214
OG0000415	Prai.g_00169	Prbb.g_00215
OG0000416	Prai.g_00170	Prbb.g_00216
OG0000417	Prai.g_00171	Prbb.g_00217
OG0000418	Prai.g_00176	Prbb.g_00222
OG0000419	Prai.g_00178	Prbb.g_00224
OG0000420	Prai.g_00179	Prbb.g_00225
OG0000421	Prai.g_00184	Prbb.g_00229
OG0000422	Prai.g_00185	Prbb.g_00230
OG0000423	Prai.g_00186	Prbb.g_00231
OG0000424	Prai.g_00187	Prbb.g_00232
OG0000425	Prai.g_00188	Prbb.g_00233
OG0000426	Prai.g_00189	Prbb.g_00234
OG0000427	Prai.g_00190	Prbb.g_00235
OG0000428	Prai.g_00192	Prbb.g_00237
OG0000429	Prai.g_00193	Prbb.g_00238
OG0000430	Prai.g_00194	Prbb.g_00239
OG0000431	Prai.g_00196	Prbb.g_00241
OG0000432	Prai.g_00199	Prbb.g_00245
OG0000433	Prai.g_00200	Prbb.g_00246
OG0000434	Prai.g_00201	Prbb.g_00247
OG0000435	Prai.g_00202	Prbb.g_00248
OG0000436	Prai.g_00207	Prbb.g_00253
OG0000437	Prai.g_00208	Prbb.g_00254
OG0000438	Prai.g_00209	Prbb.g_00255
OG0000439	Prai.g_00211	Prbb.g_00257
OG0000440	Prai.g_00212	Prbb.g_00258
OG0000441	Prai.g_00215	Prbb.g_00260
OG0000442	Prai.g_00216	Prbb.g_00261
OG0000443	Prai.g_00217	Prbb.g_00262
OG0000444	Prai.g_00222	Prbb.g_00267
OG0000445	Prai.g_00223	Prbb.g_00268
OG0000446	Prai.g_00224	Prbb.g_00269
OG0000447	Prai.g_00225	Prbb.g_00270
OG0000448	Prai.g_00226	Prbb.g_00271
OG0000449	Prai.g_00227	Prbb.g_00272
OG0000450	Prai.g_00228	Prbb.g_00273
OG0000451	Prai.g_00229	Prbb.g_00274
OG0000452	Prai.g_00232	Prbb.g_00277
OG0000453	Prai.g_00233	Prbb.g_00278
OG0000454	Prai.g_00234	Prbb.g_00279
OG0000455	Prai.g_00235	Prbb.g_00280
OG0000456	Prai.g_00236	Prbb.g_00281
OG0000457	Prai.g_00237	Prbb.g_00282
OG0000458	Prai.g_00238	Prbb.g_00283
OG0000459	Prai.g_00239	Prbb.g_00284
OG0000460	Prai.g_00246	Prbb.g_00292
OG0000461	Prai.g_00255	Prbb.g_00300
OG0000462	Prai.g_00257	Prbb.g_00302
OG0000463	Prai.g_00258	Prbb.g_00303
OG0000464	Prai.g_00259	Prbb.g_00304
OG0000465	Prai.g_00260	Prbb.g_00305
OG0000466	Prai.g_00263	Prbb.g_00306
OG0000467	Prai.g_00264	Prbb.g_00307
OG0000468	Prai.g_00266	Prbb.g_00309
OG0000469	Prai.g_00275	Prbb.g_00316
OG0000470	Prai.g_00277	Prbb.g_00318
OG0000471	Prai.g_00278	Prbb.g_00319
OG0000472	Prai.g_00279	Prbb.g_00320
OG0000473	Prai.g_00281	Prbb.g_00322
OG0000474	Prai.g_00282	Prbb.g_00323
OG0000475	Prai.g_00283	Prbb.g_00324
OG0000476	Prai.g_00284	Prbb.g_00326
OG0000477	Prai.g_00288	Prbb.g_00328
OG0000478	Prai.g_00289	Prbb.g_00329
OG0000479	Prai.g_00290	Prbb.g_00330
OG0000480	Prai.g_00295	Prbb.g_00334
OG0000481	Prai.g_00297	Prbb.g_00336
OG0000482	Prai.g_00298	Prbb.g_00337
OG0000483	Prai.g_00301	Prbb.g_00340
OG0000484	Prai.g_00302	Prbb.g_00341
OG0000485	Prai.g_00303	Prbb.g_00342
OG0000486	Prai.g_00304	Prbb.g_00343
OG0000487	Prai.g_00308	Prbb.g_00346
OG0000488	Prai.g_00311	Prbb.g_00349
OG0000489	Prai.g_00316	Prbb.g_00354
OG0000490	Prai.g_00321	Prbb.g_00359
OG0000491	Prai.g_00322	Prbb.g_00360
OG0000492	Prai.g_00324	Prbb.g_00362
OG0000493	Prai.g_00325	Prbb.g_00363
OG0000494	Prai.g_00326	Prbb.g_00364
OG0000495	Prai.g_00327	Prbb.g_00365
OG0000496	Prai.g_00328	Prbb.g_00366
OG0000497	Prai.g_00329	Prbb.g_00367
OG0000498	Prai.g_00330	Prbb.g_00368
OG0000499	Prai.g_00331	Prbb.g_00369
OG0000500	Prai.g_00332	Prbb.g_00370
OG0000501	Prai.g_00334	Prbb.g_00372
OG0000502	Prai.g_00337	Prbb.g_00375
OG0000503	Prai.g_00347	Prbb.g_00394
OG0000504	Prai.g_00348	Prbb.g_00396
OG0000505	Prai.g_00349	Prbb.g_00397
OG0000506	Prai.g_00351	Prbb.g_00398
OG0000507	Prai.g_00354	Prbb.g_00401
OG0000508	Prai.g_00357	Prbb.g_00404
OG0000509	Prai.g_00359	Prbb.g_00406
OG0000510	Prai.g_00360	Prbb.g_00407
OG0000511	Prai.g_00361	Prbb.g_00408
OG0000512	Prai.g_00363	Prbb.g_00410
OG0000513	Prai.g_00370	Prbb.g_00419
OG0000514	Prai.g_00462	Prbb.g_00436
OG0000515	Prai.g_00463	Prbb.g_00437
OG0000516	Prai.g_00464	Prbb.g_00438
OG0000517	Prai.g_00466	Prbb.g_00440
OG0000518	Prai.g_00477	Prbb.g_00451
OG0000519	Prai.g_00478	Prbb.g_00452
OG0000520	Prai.g_00479	Prbb.g_00453
OG0000521	Prai.g_00484	Prbb.g_00458
