Orthogroup	Praw	Prbb
OG0000318	Praw.g_00888	Prbb.g_00303
OG0000319	Praw.g_00887	Prbb.g_00304
OG0000320	Praw.g_00886	Prbb.g_00305
OG0000321	Praw.g_00883	Prbb.g_00306
OG0000322	Praw.g_00880	Prbb.g_00309
OG0000323	Praw.g_00879	Prbb.g_00310
OG0000324	Praw.g_00876	Prbb.g_00313
OG0000325	Praw.g_00875	Prbb.g_00314
OG0000326	Praw.g_00874	Prbb.g_00315
OG0000327	Praw.g_00872	Prbb.g_00316
OG0000328	Praw.g_00871	Prbb.g_00317
OG0000329	Praw.g_00870	Prbb.g_00318
OG0000330	Praw.g_00869	Prbb.g_00319
OG0000331	Praw.g_00868	Prbb.g_00320
OG0000332	Praw.g_00867	Prbb.g_00321
OG0000333	Praw.g_00866	Prbb.g_00322
OG0000334	Praw.g_00865	Prbb.g_00323
OG0000335	Praw.g_00864	Prbb.g_00324
OG0000336	Praw.g_00863	Prbb.g_00326
OG0000337	Praw.g_00859	Prbb.g_00328
OG0000338	Praw.g_00858	Prbb.g_00329
OG0000339	Praw.g_00857	Prbb.g_00330
OG0000340	Praw.g_00856	Prbb.g_00331
OG0000341	Praw.g_00852	Prbb.g_00334
OG0000342	Praw.g_00851	Prbb.g_00335
OG0000343	Praw.g_00849	Prbb.g_00337
OG0000344	Praw.g_00848	Prbb.g_00338
OG0000345	Praw.g_00847	Prbb.g_00339
OG0000346	Praw.g_00846	Prbb.g_00340
OG0000347	Praw.g_00845	Prbb.g_00341
OG0000348	Praw.g_00844	Prbb.g_00342
OG0000349	Praw.g_00843	Prbb.g_00343
OG0000350	Praw.g_00842	Prbb.g_00344
OG0000351	Praw.g_00839	Prbb.g_00346
OG0000352	Praw.g_00836	Prbb.g_00349
OG0000353	Praw.g_00835	Prbb.g_00350
OG0000354	Praw.g_00834	Prbb.g_00351
OG0000355	Praw.g_00833	Prbb.g_00352
OG0000356	Praw.g_00832	Prbb.g_00353
OG0000357	Praw.g_00831	Prbb.g_00354
OG0000358	Praw.g_00830	Prbb.g_00355
OG0000359	Praw.g_00829	Prbb.g_00356
OG0000360	Praw.g_00826	Prbb.g_00359
OG0000361	Praw.g_00825	Prbb.g_00360
OG0000362	Praw.g_00824	Prbb.g_00361
OG0000363	Praw.g_00823	Prbb.g_00362
OG0000364	Praw.g_00822	Prbb.g_00363
OG0000365	Praw.g_00821	Prbb.g_00364
OG0000366	Praw.g_00820	Prbb.g_00365
OG0000367	Praw.g_00819	Prbb.g_00366
OG0000368	Praw.g_00818	Prbb.g_00367
OG0000369	Praw.g_00817	Prbb.g_00368
OG0000370	Praw.g_00816	Prbb.g_00369
OG0000371	Praw.g_00815	Prbb.g_00370
OG0000372	Praw.g_00813	Prbb.g_00372
OG0000373	Praw.g_00811	Prbb.g_00374
OG0000374	Praw.g_00810	Prbb.g_00375
OG0000375	Praw.g_00809	Prbb.g_00376
OG0000376	Praw.g_00807	Prbb.g_00378
OG0000377	Praw.g_00806	Prbb.g_00384
OG0000378	Praw.g_00805	Prbb.g_00739
OG0000379	Praw.g_00796	Prbb.g_00394
OG0000380	Praw.g_00795	Prbb.g_00396
OG0000381	Praw.g_00794	Prbb.g_00397
OG0000382	Praw.g_00792	Prbb.g_00398
OG0000383	Praw.g_00790	Prbb.g_00401
OG0000384	Praw.g_00789	Prbb.g_00402
OG0000385	Praw.g_00787	Prbb.g_00404
OG0000386	Praw.g_00786	Prbb.g_00405
OG0000387	Praw.g_00785	Prbb.g_00406
OG0000388	Praw.g_00784	Prbb.g_00407
OG0000389	Praw.g_00783	Prbb.g_00408
OG0000390	Praw.g_00782	Prbb.g_00409
OG0000391	Praw.g_00781	Prbb.g_00410
OG0000392	Praw.g_00780	Prbb.g_00411
OG0000393	Praw.g_00777	Prbb.g_00415
OG0000394	Praw.g_00776	Prbb.g_00416
OG0000395	Praw.g_00774	Prbb.g_00419
OG0000396	Praw.g_00773	Prbb.g_00836
OG0000397	Praw.g_00761	Prbb.g_01094
OG0000398	Praw.g_00754	Prbb.g_01124
OG0000399	Praw.g_00753	Prbb.g_01288
OG0000400	Praw.g_00748	Prbb.g_01923
OG0000401	Praw.g_00716	Prbb.g_00436
OG0000402	Praw.g_00715	Prbb.g_00437
OG0000403	Praw.g_00714	Prbb.g_00438
OG0000404	Praw.g_00712	Prbb.g_00440
OG0000405	Praw.g_00711	Prbb.g_00441
OG0000406	Praw.g_00709	Prbb.g_00443
OG0000407	Praw.g_00708	Prbb.g_00444
OG0000408	Praw.g_00707	Prbb.g_00445
OG0000409	Praw.g_00706	Prbb.g_00446
OG0000410	Praw.g_00705	Prbb.g_00447
OG0000411	Praw.g_00704	Prbb.g_00448
OG0000412	Praw.g_00703	Prbb.g_00449
OG0000413	Praw.g_00702	Prbb.g_00450
OG0000414	Praw.g_00701	Prbb.g_00451
OG0000415	Praw.g_00700	Prbb.g_00452
OG0000416	Praw.g_00699	Prbb.g_00453
OG0000417	Praw.g_00698	Prbb.g_00454
OG0000418	Praw.g_00697	Prbb.g_00455
OG0000419	Praw.g_00696	Prbb.g_00456
OG0000420	Praw.g_00695	Prbb.g_00457
OG0000421	Praw.g_00694	Prbb.g_00458
OG0000422	Praw.g_00692	Prbb.g_00460
OG0000423	Praw.g_00691	Prbb.g_00461
OG0000424	Praw.g_00689	Prbb.g_00462
OG0000425	Praw.g_00686	Prbb.g_00468
OG0000426	Praw.g_00685	Prbb.g_00469
OG0000427	Praw.g_00684	Prbb.g_00470
OG0000428	Praw.g_00683	Prbb.g_00472
OG0000429	Praw.g_00682	Prbb.g_00473
OG0000430	Praw.g_00676	Prbb.g_00475
OG0000431	Praw.g_00674	Prbb.g_00476
OG0000432	Praw.g_00673	Prbb.g_00477
OG0000433	Praw.g_00670	Prbb.g_00480
OG0000434	Praw.g_00669	Prbb.g_00482
OG0000435	Praw.g_00668	Prbb.g_00483
OG0000436	Praw.g_00666	Prbb.g_00486
OG0000437	Praw.g_00665	Prbb.g_00488
OG0000438	Praw.g_00664	Prbb.g_00489
OG0000439	Praw.g_00663	Prbb.g_00490
OG0000440	Praw.g_00661	Prbb.g_00491
OG0000441	Praw.g_00660	Prbb.g_00492
OG0000442	Praw.g_00659	Prbb.g_00493
OG0000443	Praw.g_00658	Prbb.g_00494
OG0000444	Praw.g_00657	Prbb.g_00495
OG0000445	Praw.g_00656	Prbb.g_00496
OG0000446	Praw.g_00655	Prbb.g_00497
OG0000447	Praw.g_00654	Prbb.g_00498
OG0000448	Praw.g_00653	Prbb.g_00499
OG0000449	Praw.g_00648	Prbb.g_00504
OG0000450	Praw.g_00647	Prbb.g_00505
OG0000451	Praw.g_00646	Prbb.g_00506
OG0000452	Praw.g_00645	Prbb.g_00507
OG0000453	Praw.g_00643	Prbb.g_00509
OG0000454	Praw.g_00642	Prbb.g_00510
OG0000455	Praw.g_00641	Prbb.g_00511
OG0000456	Praw.g_00640	Prbb.g_00512
OG0000457	Praw.g_00638	Prbb.g_00514
OG0000458	Praw.g_00636	Prbb.g_00516
OG0000459	Praw.g_00635	Prbb.g_00517
OG0000460	Praw.g_00633	Prbb.g_00519
OG0000461	Praw.g_00632	Prbb.g_00520
OG0000462	Praw.g_00631	Prbb.g_00521
OG0000463	Praw.g_00630	Prbb.g_00523
OG0000464	Praw.g_00625	Prbb.g_00527
OG0000465	Praw.g_00623	Prbb.g_00528
OG0000466	Praw.g_00622	Prbb.g_00529
OG0000467	Praw.g_00621	Prbb.g_00530
OG0000468	Praw.g_00620	Prbb.g_00531
OG0000469	Praw.g_00619	Prbb.g_00532
OG0000470	Praw.g_00618	Prbb.g_00533
OG0000471	Praw.g_00617	Prbb.g_00534
OG0000472	Praw.g_00614	Prbb.g_00537
OG0000473	Praw.g_00613	Prbb.g_00538
OG0000474	Praw.g_00612	Prbb.g_00539
OG0000475	Praw.g_00611	Prbb.g_00540
OG0000476	Praw.g_00610	Prbb.g_00541
OG0000477	Praw.g_00608	Prbb.g_00543
OG0000478	Praw.g_00607	Prbb.g_00544
OG0000479	Praw.g_00606	Prbb.g_00545
OG0000480	Praw.g_00604	Prbb.g_00547
OG0000481	Praw.g_00603	Prbb.g_00548
OG0000482	Praw.g_00602	Prbb.g_00550
OG0000483	Praw.g_00601	Prbb.g_00551
OG0000484	Praw.g_00600	Prbb.g_00552
OG0000485	Praw.g_00599	Prbb.g_00553
OG0000486	Praw.g_00598	Prbb.g_00554
OG0000487	Praw.g_00597	Prbb.g_00555
OG0000488	Praw.g_00595	Prbb.g_00557
OG0000489	Praw.g_00594	Prbb.g_00558
OG0000490	Praw.g_00593	Prbb.g_00559
OG0000491	Praw.g_00592	Prbb.g_00560
OG0000492	Praw.g_00591	Prbb.g_00561
OG0000493	Praw.g_00590	Prbb.g_00562
OG0000494	Praw.g_00588	Prbb.g_00564
OG0000495	Praw.g_00587	Prbb.g_00565
OG0000496	Praw.g_00586	Prbb.g_00566
OG0000497	Praw.g_00585	Prbb.g_00567
OG0000498	Praw.g_00584	Prbb.g_00568
OG0000499	Praw.g_00582	Prbb.g_00570
OG0000500	Praw.g_00581	Prbb.g_00571
OG0000501	Praw.g_00579	Prbb.g_00573
OG0000502	Praw.g_00578	Prbb.g_00574
OG0000503	Praw.g_00577	Prbb.g_00575
OG0000504	Praw.g_00576	Prbb.g_00576
OG0000505	Praw.g_00575	Prbb.g_00577
OG0000506	Praw.g_01922	Prbb.g_00578
OG0000507	Praw.g_01923	Prbb.g_00579
OG0000508	Praw.g_01925	Prbb.g_00580
OG0000509	Praw.g_01926	Prbb.g_00581
OG0000510	Praw.g_01927	Prbb.g_00582
OG0000511	Praw.g_01928	Prbb.g_00583
OG0000512	Praw.g_01929	Prbb.g_00584
OG0000513	Praw.g_01930	Prbb.g_00585
OG0000514	Praw.g_01931	Prbb.g_00586
OG0000515	Praw.g_01933	Prbb.g_00587
OG0000516	Praw.g_01934	Prbb.g_00588
OG0000517	Praw.g_01935	Prbb.g_00589
OG0000518	Praw.g_01937	Prbb.g_00591
OG0000519	Praw.g_01938	Prbb.g_00592
OG0000520	Praw.g_01939	Prbb.g_00594
OG0000521	Praw.g_01940	Prbb.g_00593
OG0000522	Praw.g_01941	Prbb.g_00595
OG0000523	Praw.g_01942	Prbb.g_00596
OG0000524	Praw.g_01943	Prbb.g_00597
OG0000525	Praw.g_01945	Prbb.g_00599
OG0000526	Praw.g_01946	Prbb.g_00600
OG0000527	Praw.g_01947	Prbb.g_00601
OG0000528	Praw.g_01948	Prbb.g_00602
OG0000529	Praw.g_01949	Prbb.g_00603
OG0000530	Praw.g_00140	Prbb.g_00604
OG0000531	Praw.g_00141	Prbb.g_00606
OG0000532	Praw.g_00142	Prbb.g_00607
OG0000533	Praw.g_00143	Prbb.g_00608
OG0000534	Praw.g_00144	Prbb.g_00609
OG0000535	Praw.g_00145	Prbb.g_00610
OG0000536	Praw.g_00146	Prbb.g_00611
OG0000537	Praw.g_00147	Prbb.g_00612
OG0000538	Praw.g_00148	Prbb.g_00613
OG0000539	Praw.g_00149	Prbb.g_00614
