Orthogroup	Prba	Prbk
OG0000430	Prba.g_00639	Prbk.g_01281
OG0000431	Prba.g_00641	Prbk.g_01277
OG0000432	Prba.g_00644	Prbk.g_01270
OG0000433	Prba.g_00645	Prbk.g_01267
OG0000434	Prba.g_00646	Prbk.g_01266
OG0000435	Prba.g_00647	Prbk.g_01263
OG0000436	Prba.g_00652	Prbk.g_01257
OG0000437	Prba.g_00653	Prbk.g_01256
OG0000438	Prba.g_00654	Prbk.g_01255
OG0000439	Prba.g_00656	Prbk.g_01253
OG0000440	Prba.g_00657	Prbk.g_01252
OG0000441	Prba.g_00660	Prbk.g_01245
OG0000442	Prba.g_00661	Prbk.g_01244
OG0000443	Prba.g_00662	Prbk.g_00631
OG0000444	Prba.g_00667	Prbk.g_00683
OG0000445	Prba.g_00668	Prbk.g_00682
OG0000446	Prba.g_00669	Prbk.g_00680
OG0000447	Prba.g_00670	Prbk.g_00670
OG0000448	Prba.g_00671	Prbk.g_00669
OG0000449	Prba.g_00672	Prbk.g_00668
OG0000450	Prba.g_00673	Prbk.g_00662
OG0000451	Prba.g_00674	Prbk.g_00661
OG0000452	Prba.g_00440	Prbk.g_00656
OG0000453	Prba.g_00441	Prbk.g_00655
OG0000454	Prba.g_00442	Prbk.g_00654
OG0000455	Prba.g_00443	Prbk.g_00653
OG0000456	Prba.g_00444	Prbk.g_00652
OG0000457	Prba.g_00445	Prbk.g_00650
OG0000458	Prba.g_00446	Prbk.g_00649
OG0000459	Prba.g_00447	Prbk.g_00648
OG0000460	Prba.g_00454	Prbk.g_01369
OG0000461	Prba.g_00461	Prbk.g_01900
OG0000462	Prba.g_00463	Prbk.g_01012
OG0000463	Prba.g_00464	Prbk.g_01011
OG0000464	Prba.g_00465	Prbk.g_01010
OG0000465	Prba.g_00466	Prbk.g_01008
OG0000466	Prba.g_00469	Prbk.g_01003
OG0000467	Prba.g_00470	Prbk.g_01001
OG0000468	Prba.g_00472	Prbk.g_00371
OG0000469	Prba.g_00480	Prbk.g_00384
OG0000470	Prba.g_00482	Prbk.g_00397
OG0000471	Prba.g_00483	Prbk.g_00398
OG0000472	Prba.g_00484	Prbk.g_00400
OG0000473	Prba.g_00486	Prbk.g_00402
OG0000474	Prba.g_00487	Prbk.g_00403
OG0000475	Prba.g_00488	Prbk.g_00404
OG0000476	Prba.g_00489	Prbk.g_00406
OG0000477	Prba.g_00492	Prbk.g_00411
OG0000478	Prba.g_00493	Prbk.g_00412
OG0000479	Prba.g_00494	Prbk.g_00413
OG0000480	Prba.g_00499	Prbk.g_00420
OG0000481	Prba.g_00501	Prbk.g_00422
OG0000482	Prba.g_00502	Prbk.g_00423
OG0000483	Prba.g_00505	Prbk.g_00427
OG0000484	Prba.g_00506	Prbk.g_00428
OG0000485	Prba.g_00507	Prbk.g_00429
OG0000486	Prba.g_00508	Prbk.g_00430
OG0000487	Prba.g_00511	Prbk.g_00435
OG0000488	Prba.g_00514	Prbk.g_00439
OG0000489	Prba.g_00519	Prbk.g_00450
OG0000490	Prba.g_00524	Prbk.g_00456
OG0000491	Prba.g_00525	Prbk.g_00457
OG0000492	Prba.g_00527	Prbk.g_00460
OG0000493	Prba.g_00528	Prbk.g_00461
OG0000494	Prba.g_00529	Prbk.g_00462
OG0000495	Prba.g_00530	Prbk.g_00463
OG0000496	Prba.g_00531	Prbk.g_00464
OG0000497	Prba.g_00532	Prbk.g_00465
OG0000498	Prba.g_00533	Prbk.g_00466
OG0000499	Prba.g_00534	Prbk.g_00467
OG0000500	Prba.g_00535	Prbk.g_00468
OG0000501	Prba.g_00537	Prbk.g_00471
OG0000502	Prba.g_00540	Prbk.g_00483
OG0000503	Prba.g_00550	Prbk.g_00871
OG0000504	Prba.g_00551	Prbk.g_00873
OG0000505	Prba.g_00552	Prbk.g_00874
OG0000506	Prba.g_00554	Prbk.g_00876
OG0000507	Prba.g_00557	Prbk.g_00881
OG0000508	Prba.g_00561	Prbk.g_00888
OG0000509	Prba.g_00218	Prbk.g_00890
OG0000510	Prba.g_00219	Prbk.g_00891
OG0000511	Prba.g_00220	Prbk.g_00892
OG0000512	Prba.g_00222	Prbk.g_00894
OG0000513	Prba.g_00852	Prbk.g_00360
OG0000514	Prba.g_01030	Prbk.g_00352
OG0000515	Prba.g_01029	Prbk.g_00351
OG0000516	Prba.g_01028	Prbk.g_00339
OG0000517	Prba.g_01026	Prbk.g_00329
OG0000518	Prba.g_01015	Prbk.g_00317
OG0000519	Prba.g_01014	Prbk.g_00316
OG0000520	Prba.g_01013	Prbk.g_00315
OG0000521	Prba.g_01008	Prbk.g_00301
OG0000522	Prba.g_01006	Prbk.g_00299
OG0000523	Prba.g_01005	Prbk.g_00298
OG0000524	Prba.g_01000	Prbk.g_02088
OG0000525	Prba.g_00997	Prbk.g_02105
OG0000526	Prba.g_00996	Prbk.g_02107
OG0000527	Prba.g_00988	Prbk.g_02111
OG0000528	Prba.g_00983	Prbk.g_02056
OG0000529	Prba.g_00980	Prbk.g_02062
OG0000530	Prba.g_00977	Prbk.g_02065
OG0000531	Prba.g_00976	Prbk.g_02066
OG0000532	Prba.g_00974	Prbk.g_02069
OG0000533	Prba.g_00973	Prbk.g_02071
OG0000534	Prba.g_00972	Prbk.g_02072
OG0000535	Prba.g_00971	Prbk.g_02073
OG0000536	Prba.g_00970	Prbk.g_02074
OG0000537	Prba.g_00969	Prbk.g_02075
OG0000538	Prba.g_00961	Prbk.g_01865
OG0000539	Prba.g_00960	Prbk.g_01041
OG0000540	Prba.g_00959	Prbk.g_01042
OG0000541	Prba.g_00958	Prbk.g_01043
OG0000542	Prba.g_00956	Prbk.g_01046
OG0000543	Prba.g_00954	Prbk.g_01048
OG0000544	Prba.g_00953	Prbk.g_01049
OG0000545	Prba.g_00951	Prbk.g_01050
OG0000546	Prba.g_00948	Prbk.g_01052
OG0000547	Prba.g_00946	Prbk.g_01054
OG0000548	Prba.g_00945	Prbk.g_01055
OG0000549	Prba.g_00943	Prbk.g_01061
OG0000550	Prba.g_00938	Prbk.g_01066
OG0000551	Prba.g_00934	Prbk.g_01070
OG0000552	Prba.g_00933	Prbk.g_01071
OG0000553	Prba.g_00932	Prbk.g_01076
OG0000554	Prba.g_00927	Prbk.g_01081
OG0000555	Prba.g_01773	Prbk.g_01099
OG0000556	Prba.g_01771	Prbk.g_02686
