Orthogroup	Syat	Syam
OG0000461	Syat.g_01866	Syam.g_00284
OG0000462	Syat.g_01868	Syam.g_00281
OG0000463	Syat.g_01869	Syam.g_00280
OG0000464	Syat.g_01870	Syam.g_00279
OG0000465	Syat.g_01872	Syam.g_00277
OG0000466	Syat.g_01877	Syam.g_00273
OG0000467	Syat.g_01878	Syam.g_00271
OG0000468	Syat.g_01884	Syam.g_00266
OG0000469	Syat.g_02000	Syam.g_00253
OG0000470	Syat.g_02038	Syam.g_00251
OG0000471	Syat.g_02039	Syam.g_00250
OG0000472	Syat.g_02041	Syam.g_00248
OG0000473	Syat.g_02043	Syam.g_00246
OG0000474	Syat.g_02044	Syam.g_00245
OG0000475	Syat.g_02045	Syam.g_00244
OG0000476	Syat.g_02047	Syam.g_00242
OG0000477	Syat.g_02053	Syam.g_00236
OG0000478	Syat.g_02054	Syam.g_00235
OG0000479	Syat.g_02056	Syam.g_00234
OG0000480	Syat.g_02063	Syam.g_00227
OG0000481	Syat.g_02066	Syam.g_00225
OG0000482	Syat.g_02067	Syam.g_00224
OG0000483	Syat.g_02071	Syam.g_00220
OG0000484	Syat.g_02072	Syam.g_00219
OG0000485	Syat.g_02073	Syam.g_00218
OG0000486	Syat.g_02074	Syam.g_00217
OG0000487	Syat.g_02080	Syam.g_00211
OG0000488	Syat.g_02086	Syam.g_00207
OG0000489	Syat.g_02097	Syam.g_00197
OG0000490	Syat.g_02106	Syam.g_00189
OG0000491	Syat.g_02107	Syam.g_00187
OG0000492	Syat.g_02110	Syam.g_00185
OG0000493	Syat.g_02111	Syam.g_00184
OG0000494	Syat.g_02112	Syam.g_00183
OG0000495	Syat.g_02120	Syam.g_00182
OG0000496	Syat.g_02121	Syam.g_00181
OG0000497	Syat.g_02122	Syam.g_00180
OG0000498	Syat.g_02123	Syam.g_00179
OG0000499	Syat.g_02124	Syam.g_00178
OG0000500	Syat.g_02125	Syam.g_00177
OG0000501	Syat.g_02128	Syam.g_00174
OG0000502	Syat.g_02135	Syam.g_00165
OG0000503	Syat.g_01614	Syam.g_00457
OG0000504	Syat.g_01612	Syam.g_00459
OG0000505	Syat.g_01611	Syam.g_00460
OG0000506	Syat.g_01609	Syam.g_00462
OG0000507	Syat.g_01603	Syam.g_00468
OG0000508	Syat.g_01596	Syam.g_00472
OG0000509	Syat.g_01591	Syam.g_00474
OG0000510	Syat.g_01590	Syam.g_00475
OG0000511	Syat.g_01589	Syam.g_00476
OG0000512	Syat.g_01587	Syam.g_00478
OG0000513	Syat.g_02957	Syam.g_00493
OG0000514	Syat.g_02962	Syam.g_00499
OG0000515	Syat.g_02963	Syam.g_00500
OG0000516	Syat.g_02965	Syam.g_01862
OG0000517	Syat.g_02969	Syam.g_01868
OG0000518	Syat.g_01286	Syam.g_01851
OG0000519	Syat.g_01285	Syam.g_01850
OG0000520	Syat.g_01284	Syam.g_01849
OG0000521	Syat.g_01319	Syam.g_01696
OG0000522	Syat.g_01317	Syam.g_01694
OG0000523	Syat.g_01316	Syam.g_01693
OG0000524	Syat.g_01409	Syam.g_01681
OG0000525	Syat.g_01382	Syam.g_01677
OG0000526	Syat.g_01380	Syam.g_01674
OG0000527	Syat.g_01373	Syam.g_01670
OG0000528	Syat.g_03167	Syam.g_00580
OG0000529	Syat.g_03171	Syam.g_00584
OG0000530	Syat.g_03174	Syam.g_00587
OG0000531	Syat.g_03175	Syam.g_00588
OG0000532	Syat.g_03178	Syam.g_00591
OG0000533	Syat.g_03180	Syam.g_00592
OG0000534	Syat.g_03181	Syam.g_00593
OG0000535	Syat.g_03182	Syam.g_00594
OG0000536	Syat.g_03183	Syam.g_00595
OG0000537	Syat.g_03185	Syam.g_00596
OG0000538	Syat.g_03204	Syam.g_00607
OG0000539	Syat.g_03206	Syam.g_00608
OG0000540	Syat.g_03207	Syam.g_00609
OG0000541	Syat.g_03208	Syam.g_00610
