Orthogroup	Syac	Prai
OG0000441	Syac.g_02294	Prai.g_00215
OG0000442	Syac.g_02295	Prai.g_00216
OG0000443	Syac.g_02296	Prai.g_00217
OG0000444	Syac.g_02303	Prai.g_00222
OG0000445	Syac.g_02304	Prai.g_00223
OG0000446	Syac.g_02305	Prai.g_00224
OG0000447	Syac.g_02308	Prai.g_00225
OG0000448	Syac.g_02309	Prai.g_00226
OG0000449	Syac.g_02310	Prai.g_00227
OG0000450	Syac.g_02313	Prai.g_00228
OG0000451	Syac.g_02314	Prai.g_00229
OG0000452	Syac.g_02318	Prai.g_00232
OG0000453	Syac.g_02319	Prai.g_00233
OG0000454	Syac.g_02320	Prai.g_00234
OG0000455	Syac.g_02321	Prai.g_00235
OG0000456	Syac.g_02322	Prai.g_00236
OG0000457	Syac.g_02324	Prai.g_00237
OG0000458	Syac.g_02325	Prai.g_00238
OG0000459	Syac.g_02326	Prai.g_00239
OG0000460	Syac.g_01970	Prai.g_00246
OG0000461	Syac.g_02198	Prai.g_00255
OG0000462	Syac.g_02201	Prai.g_00257
OG0000463	Syac.g_02202	Prai.g_00258
OG0000464	Syac.g_02203	Prai.g_00259
OG0000465	Syac.g_02204	Prai.g_00260
OG0000466	Syac.g_02208	Prai.g_00263
OG0000467	Syac.g_02210	Prai.g_00264
OG0000468	Syac.g_02216	Prai.g_00266
OG0000469	Syac.g_02230	Prai.g_00275
OG0000470	Syac.g_02232	Prai.g_00277
OG0000471	Syac.g_02233	Prai.g_00278
OG0000472	Syac.g_02235	Prai.g_00279
OG0000473	Syac.g_02237	Prai.g_00281
OG0000474	Syac.g_02238	Prai.g_00282
OG0000475	Syac.g_02239	Prai.g_00283
OG0000476	Syac.g_02241	Prai.g_00284
OG0000477	Syac.g_02247	Prai.g_00288
OG0000478	Syac.g_02248	Prai.g_00289
OG0000479	Syac.g_02249	Prai.g_00290
OG0000480	Syac.g_00293	Prai.g_00295
OG0000481	Syac.g_00291	Prai.g_00297
OG0000482	Syac.g_00290	Prai.g_00298
OG0000483	Syac.g_00286	Prai.g_00301
OG0000484	Syac.g_00285	Prai.g_00302
OG0000485	Syac.g_00284	Prai.g_00303
OG0000486	Syac.g_00283	Prai.g_00304
OG0000487	Syac.g_00276	Prai.g_00308
OG0000488	Syac.g_00272	Prai.g_00311
OG0000489	Syac.g_00260	Prai.g_00316
OG0000490	Syac.g_00249	Prai.g_00321
OG0000491	Syac.g_00248	Prai.g_00322
OG0000492	Syac.g_00246	Prai.g_00324
OG0000493	Syac.g_00245	Prai.g_00325
OG0000494	Syac.g_00244	Prai.g_00326
OG0000495	Syac.g_00243	Prai.g_00327
OG0000496	Syac.g_00242	Prai.g_00328
OG0000497	Syac.g_00241	Prai.g_00329
OG0000498	Syac.g_00240	Prai.g_00330
OG0000499	Syac.g_00239	Prai.g_00331
OG0000500	Syac.g_00238	Prai.g_00332
OG0000501	Syac.g_00235	Prai.g_00334
OG0000502	Syac.g_00223	Prai.g_00337
OG0000503	Syac.g_02020	Prai.g_00347
OG0000504	Syac.g_02018	Prai.g_00348
OG0000505	Syac.g_02017	Prai.g_00349
OG0000506	Syac.g_02015	Prai.g_00351
OG0000507	Syac.g_02009	Prai.g_00354
OG0000508	Syac.g_02005	Prai.g_00357
OG0000509	Syac.g_02003	Prai.g_00359
OG0000510	Syac.g_02002	Prai.g_00360
OG0000511	Syac.g_02001	Prai.g_00361
OG0000512	Syac.g_01999	Prai.g_00363
OG0000513	Syac.g_01984	Prai.g_00370
OG0000514	Syac.g_01977	Prai.g_00462
OG0000515	Syac.g_01976	Prai.g_00463
OG0000516	Syac.g_00697	Prai.g_00464
OG0000517	Syac.g_00691	Prai.g_00466
OG0000518	Syac.g_00707	Prai.g_00477
OG0000519	Syac.g_00708	Prai.g_00478
OG0000520	Syac.g_00709	Prai.g_00479
OG0000521	Syac.g_01721	Prai.g_00484
OG0000522	Syac.g_01719	Prai.g_00486
OG0000523	Syac.g_01718	Prai.g_00487
OG0000524	Syac.g_01716	Prai.g_00492
OG0000525	Syac.g_01709	Prai.g_00495
OG0000526	Syac.g_01706	Prai.g_00496
OG0000527	Syac.g_01702	Prai.g_00503
OG0000528	Syac.g_01911	Prai.g_00508
OG0000529	Syac.g_01903	Prai.g_00511
OG0000530	Syac.g_01900	Prai.g_00514
OG0000531	Syac.g_01899	Prai.g_00515
OG0000532	Syac.g_01896	Prai.g_00517
OG0000533	Syac.g_01895	Prai.g_00518
OG0000534	Syac.g_01894	Prai.g_00519
OG0000535	Syac.g_01893	Prai.g_00520
OG0000536	Syac.g_01892	Prai.g_00521
OG0000537	Syac.g_01891	Prai.g_00522
OG0000538	Syac.g_01880	Prai.g_00530
OG0000539	Syac.g_01879	Prai.g_00531
OG0000540	Syac.g_01878	Prai.g_00532
OG0000541	Syac.g_01877	Prai.g_00533
OG0000542	Syac.g_01874	Prai.g_00535
OG0000543	Syac.g_01872	Prai.g_00537
OG0000544	Syac.g_01871	Prai.g_00538
OG0000545	Syac.g_01869	Prai.g_00540
OG0000546	Syac.g_01867	Prai.g_00543
OG0000547	Syac.g_01865	Prai.g_00544
OG0000548	Syac.g_01864	Prai.g_00545
OG0000549	Syac.g_01858	Prai.g_00547
OG0000550	Syac.g_01854	Prai.g_00552
OG0000551	Syac.g_01849	Prai.g_00555
OG0000552	Syac.g_01848	Prai.g_00556
OG0000553	Syac.g_01846	Prai.g_00557
OG0000554	Syac.g_01835	Prai.g_00562
OG0000555	Syac.g_01822	Prai.g_00570
OG0000556	Syac.g_01817	Prai.g_00572
OG0000557	Syac.g_01815	Prai.g_00573
OG0000558	Syac.g_01813	Prai.g_00575
OG0000559	Syac.g_01808	Prai.g_00579
OG0000560	Syac.g_01805	Prai.g_00582
OG0000561	Syac.g_01804	Prai.g_00583
OG0000562	Syac.g_01803	Prai.g_00584
OG0000563	Syac.g_01802	Prai.g_00585
OG0000564	Syac.g_01801	Prai.g_00586
OG0000565	Syac.g_01797	Prai.g_00589
OG0000566	Syac.g_01793	Prai.g_00592
OG0000567	Syac.g_01789	Prai.g_00596
OG0000568	Syac.g_01786	Prai.g_00597
OG0000569	Syac.g_01785	Prai.g_00598
OG0000570	Syac.g_01784	Prai.g_00599
OG0000571	Syac.g_01780	Prai.g_00601
OG0000572	Syac.g_01765	Prai.g_00614
OG0000573	Syac.g_01755	Prai.g_00620
OG0000574	Syac.g_01754	Prai.g_00621
OG0000575	Syac.g_01750	Prai.g_00625
OG0000576	Syac.g_01748	Prai.g_00627
OG0000577	Syac.g_01747	Prai.g_00628
OG0000578	Syac.g_01746	Prai.g_00629
OG0000579	Syac.g_01745	Prai.g_00630
OG0000580	Syac.g_01744	Prai.g_00631
OG0000581	Syac.g_01738	Prai.g_00633
OG0000582	Syac.g_00936	Prai.g_00636
OG0000583	Syac.g_00937	Prai.g_00637
OG0000584	Syac.g_00938	Prai.g_00638
OG0000585	Syac.g_00940	Prai.g_00640
OG0000586	Syac.g_00941	Prai.g_00641
OG0000587	Syac.g_00943	Prai.g_00642
OG0000588	Syac.g_00949	Prai.g_00646
OG0000589	Syac.g_00953	Prai.g_00650
OG0000590	Syac.g_00954	Prai.g_00651
OG0000591	Syac.g_00961	Prai.g_00654
OG0000592	Syac.g_00962	Prai.g_00655
