Orthogroup	Prbc	Praj
OG0000444	Prbc.g_01513	Praj.g_00446
OG0000445	Prbc.g_01514	Praj.g_00447
OG0000446	Prbc.g_01516	Praj.g_00449
OG0000447	Prbc.g_01517	Praj.g_00450
OG0000448	Prbc.g_01518	Praj.g_00451
OG0000449	Prbc.g_01524	Praj.g_00457
OG0000450	Prbc.g_01525	Praj.g_00458
OG0000451	Prbc.g_01526	Praj.g_00459
OG0000452	Prbc.g_01528	Praj.g_00461
OG0000453	Prbc.g_01529	Praj.g_00462
OG0000454	Prbc.g_01531	Praj.g_00464
OG0000455	Prbc.g_01532	Praj.g_00465
OG0000456	Prbc.g_01536	Praj.g_00469
OG0000457	Prbc.g_01538	Praj.g_00471
OG0000458	Prbc.g_01539	Praj.g_00472
OG0000459	Prbc.g_01541	Praj.g_00474
OG0000460	Prbc.g_01543	Praj.g_00476
OG0000461	Prbc.g_01544	Praj.g_00477
OG0000462	Prbc.g_01545	Praj.g_00478
OG0000463	Prbc.g_01546	Praj.g_00479
OG0000464	Prbc.g_01547	Praj.g_00480
OG0000465	Prbc.g_01548	Praj.g_00481
OG0000466	Prbc.g_01549	Praj.g_00482
OG0000467	Prbc.g_01550	Praj.g_00483
OG0000468	Prbc.g_01551	Praj.g_00484
OG0000469	Prbc.g_01552	Praj.g_00485
OG0000470	Prbc.g_01553	Praj.g_00486
OG0000471	Prbc.g_01554	Praj.g_00487
OG0000472	Prbc.g_01580	Praj.g_00492
OG0000473	Prbc.g_01581	Praj.g_00493
OG0000474	Prbc.g_01582	Praj.g_00494
OG0000475	Prbc.g_01583	Praj.g_00495
OG0000476	Prbc.g_01585	Praj.g_00497
OG0000477	Prbc.g_01586	Praj.g_00498
OG0000478	Prbc.g_01587	Praj.g_00499
OG0000479	Prbc.g_01588	Praj.g_00500
OG0000480	Prbc.g_01590	Praj.g_00502
OG0000481	Prbc.g_01592	Praj.g_00504
OG0000482	Prbc.g_01593	Praj.g_00505
OG0000483	Prbc.g_01595	Praj.g_00507
OG0000484	Prbc.g_01596	Praj.g_00508
OG0000485	Prbc.g_01597	Praj.g_00509
OG0000486	Prbc.g_01599	Praj.g_00511
OG0000487	Prbc.g_01603	Praj.g_00515
OG0000488	Prbc.g_01604	Praj.g_00516
OG0000489	Prbc.g_01605	Praj.g_00517
OG0000490	Prbc.g_01606	Praj.g_00518
OG0000491	Prbc.g_01607	Praj.g_00519
OG0000492	Prbc.g_01608	Praj.g_00520
OG0000493	Prbc.g_01609	Praj.g_00521
OG0000494	Prbc.g_01610	Praj.g_00522
OG0000495	Prbc.g_01613	Praj.g_00525
OG0000496	Prbc.g_01614	Praj.g_00526
OG0000497	Prbc.g_01615	Praj.g_00527
OG0000498	Prbc.g_01616	Praj.g_00528
OG0000499	Prbc.g_01617	Praj.g_00529
OG0000500	Prbc.g_01619	Praj.g_00531
OG0000501	Prbc.g_01620	Praj.g_00532
OG0000502	Prbc.g_01621	Praj.g_00533
OG0000503	Prbc.g_01623	Praj.g_00535
OG0000504	Prbc.g_01624	Praj.g_00536
OG0000505	Prbc.g_01626	Praj.g_00537
OG0000506	Prbc.g_01627	Praj.g_00538
OG0000507	Prbc.g_01628	Praj.g_00539
OG0000508	Prbc.g_01629	Praj.g_00540
