Orthogroup	Prbi	Prak
OG0000502	Prbi.g_00348	Prak.g_00341
OG0000503	Prbi.g_00358	Prak.g_00356
OG0000504	Prbi.g_00359	Prak.g_00358
OG0000505	Prbi.g_00360	Prak.g_00359
OG0000506	Prbi.g_00362	Prak.g_00360
OG0000507	Prbi.g_00365	Prak.g_00363
OG0000508	Prbi.g_00369	Prak.g_00367
OG0000509	Prbi.g_00371	Prak.g_00369
OG0000510	Prbi.g_00372	Prak.g_00370
OG0000511	Prbi.g_00373	Prak.g_00371
OG0000512	Prbi.g_00375	Prak.g_00373
OG0000513	Prbi.g_00382	Prak.g_00382
OG0000514	Prbi.g_00432	Prak.g_00393
OG0000515	Prbi.g_00433	Prak.g_00394
OG0000516	Prbi.g_00434	Prak.g_00395
OG0000517	Prbi.g_00436	Prak.g_00397
OG0000518	Prbi.g_00447	Prak.g_00408
OG0000519	Prbi.g_00448	Prak.g_00409
OG0000520	Prbi.g_00449	Prak.g_00410
OG0000521	Prbi.g_00454	Prak.g_00418
OG0000522	Prbi.g_00456	Prak.g_00420
OG0000523	Prbi.g_00457	Prak.g_00421
OG0000524	Prbi.g_00463	Prak.g_00426
OG0000525	Prbi.g_00466	Prak.g_00430
OG0000526	Prbi.g_00467	Prak.g_00431
OG0000527	Prbi.g_00476	Prak.g_00434
OG0000528	Prbi.g_00481	Prak.g_00439
OG0000529	Prbi.g_00484	Prak.g_00442
OG0000530	Prbi.g_00487	Prak.g_00445
OG0000531	Prbi.g_00488	Prak.g_00446
OG0000532	Prbi.g_00490	Prak.g_00448
OG0000533	Prbi.g_00491	Prak.g_00449
OG0000534	Prbi.g_00492	Prak.g_00450
OG0000535	Prbi.g_00493	Prak.g_00451
OG0000536	Prbi.g_00494	Prak.g_00452
OG0000537	Prbi.g_00495	Prak.g_00453
OG0000538	Prbi.g_00503	Prak.g_00462
OG0000539	Prbi.g_00504	Prak.g_00463
OG0000540	Prbi.g_00505	Prak.g_00464
OG0000541	Prbi.g_00506	Prak.g_00465
OG0000542	Prbi.g_00508	Prak.g_00466
OG0000543	Prbi.g_00510	Prak.g_00468
OG0000544	Prbi.g_00511	Prak.g_00469
OG0000545	Prbi.g_00513	Prak.g_00471
OG0000546	Prbi.g_00516	Prak.g_00474
OG0000547	Prbi.g_00518	Prak.g_00476
OG0000548	Prbi.g_00519	Prak.g_00477
OG0000549	Prbi.g_00521	Prak.g_00479
OG0000550	Prbi.g_00526	Prak.g_00483
OG0000551	Prbi.g_00530	Prak.g_00486
OG0000552	Prbi.g_00531	Prak.g_00487
OG0000553	Prbi.g_00532	Prak.g_00488
OG0000554	Prbi.g_00537	Prak.g_00493
OG0000555	Prbi.g_00545	Prak.g_00501
