Orthogroup	Prbg	Prbc
OG0000357	Prbg.g_00083	Prbc.g_01195
OG0000358	Prbg.g_00084	Prbc.g_01196
OG0000359	Prbg.g_00085	Prbc.g_01197
OG0000360	Prbg.g_00087	Prbc.g_01200
OG0000361	Prbg.g_00088	Prbc.g_01201
OG0000362	Prbg.g_00089	Prbc.g_01202
OG0000363	Prbg.g_00090	Prbc.g_01203
OG0000364	Prbg.g_00091	Prbc.g_01204
OG0000365	Prbg.g_00092	Prbc.g_01205
OG0000366	Prbg.g_00093	Prbc.g_01206
OG0000367	Prbg.g_00094	Prbc.g_01207
OG0000368	Prbg.g_00095	Prbc.g_01208
OG0000369	Prbg.g_00096	Prbc.g_01209
OG0000370	Prbg.g_00097	Prbc.g_01210
OG0000371	Prbg.g_00098	Prbc.g_01211
OG0000372	Prbg.g_00099	Prbc.g_01213
OG0000373	Prbg.g_00101	Prbc.g_01215
OG0000374	Prbg.g_00102	Prbc.g_01216
OG0000375	Prbg.g_00103	Prbc.g_01217
OG0000376	Prbg.g_00104	Prbc.g_01219
OG0000377	Prbg.g_00110	Prbc.g_01225
OG0000378	Prbg.g_00111	Prbc.g_01813
OG0000379	Prbg.g_00117	Prbc.g_01246
OG0000380	Prbg.g_00119	Prbc.g_01248
OG0000381	Prbg.g_00120	Prbc.g_01249
OG0000382	Prbg.g_00121	Prbc.g_01250
OG0000383	Prbg.g_00124	Prbc.g_01253
OG0000384	Prbg.g_00125	Prbc.g_01254
OG0000385	Prbg.g_00128	Prbc.g_01256
OG0000386	Prbg.g_00129	Prbc.g_01257
OG0000387	Prbg.g_00130	Prbc.g_01258
OG0000388	Prbg.g_00131	Prbc.g_01259
OG0000389	Prbg.g_00132	Prbc.g_01260
OG0000390	Prbg.g_01941	Prbc.g_01261
OG0000391	Prbg.g_01942	Prbc.g_01262
OG0000392	Prbg.g_01943	Prbc.g_01263
OG0000393	Prbg.g_00136	Prbc.g_01267
OG0000394	Prbg.g_00137	Prbc.g_01268
OG0000395	Prbg.g_00140	Prbc.g_01271
OG0000396	Prbg.g_01214	Prbc.g_01912
OG0000397	Prbg.g_01530	Prbc.g_02137
OG0000398	Prbg.g_01602	Prbc.g_02168
OG0000399	Prbg.g_01525	Prbc.g_01317
OG0000400	Prbg.g_01714	Prbc.g_00934
OG0000401	Prbg.g_00151	Prbc.g_01492
OG0000402	Prbg.g_00152	Prbc.g_01493
OG0000403	Prbg.g_00153	Prbc.g_01494
OG0000404	Prbg.g_00155	Prbc.g_01496
OG0000405	Prbg.g_00156	Prbc.g_01497
OG0000406	Prbg.g_00158	Prbc.g_01499
OG0000407	Prbg.g_00159	Prbc.g_01500
OG0000408	Prbg.g_00160	Prbc.g_01501
OG0000409	Prbg.g_00161	Prbc.g_01502
OG0000410	Prbg.g_00162	Prbc.g_01503
OG0000411	Prbg.g_00163	Prbc.g_01504
OG0000412	Prbg.g_00164	Prbc.g_01505
OG0000413	Prbg.g_00165	Prbc.g_01506
OG0000414	Prbg.g_00166	Prbc.g_01507
OG0000415	Prbg.g_00167	Prbc.g_01508
OG0000416	Prbg.g_00168	Prbc.g_01509
OG0000417	Prbg.g_00169	Prbc.g_01510
OG0000418	Prbg.g_00170	Prbc.g_01511
OG0000419	Prbg.g_00171	Prbc.g_01512
OG0000420	Prbg.g_00172	Prbc.g_01513
OG0000421	Prbg.g_00176	Prbc.g_01514
OG0000422	Prbg.g_00178	Prbc.g_01516
OG0000423	Prbg.g_00179	Prbc.g_01517
OG0000424	Prbg.g_00180	Prbc.g_01518
OG0000425	Prbg.g_00184	Prbc.g_01524
OG0000426	Prbg.g_00185	Prbc.g_01525
OG0000427	Prbg.g_00186	Prbc.g_01526
OG0000428	Prbg.g_00188	Prbc.g_01528
OG0000429	Prbg.g_00189	Prbc.g_01529
OG0000430	Prbg.g_00190	Prbc.g_01531
OG0000431	Prbg.g_00192	Prbc.g_01532
OG0000432	Prbg.g_00193	Prbc.g_01533
OG0000433	Prbg.g_00196	Prbc.g_01536
OG0000434	Prbg.g_00197	Prbc.g_01538
OG0000435	Prbg.g_00198	Prbc.g_01539
OG0000436	Prbg.g_00200	Prbc.g_01541
OG0000437	Prbg.g_00202	Prbc.g_01543
OG0000438	Prbg.g_00203	Prbc.g_01544
OG0000439	Prbg.g_00204	Prbc.g_01545
OG0000440	Prbg.g_00206	Prbc.g_01546
OG0000441	Prbg.g_00207	Prbc.g_01547
OG0000442	Prbg.g_00208	Prbc.g_01548
OG0000443	Prbg.g_00209	Prbc.g_01549
OG0000444	Prbg.g_00210	Prbc.g_01550
OG0000445	Prbg.g_00211	Prbc.g_01551
OG0000446	Prbg.g_00212	Prbc.g_01552
OG0000447	Prbg.g_00213	Prbc.g_01553
OG0000448	Prbg.g_00214	Prbc.g_01554
OG0000449	Prbg.g_00220	Prbc.g_01580
OG0000450	Prbg.g_00221	Prbc.g_01581
OG0000451	Prbg.g_00222	Prbc.g_01582
OG0000452	Prbg.g_00223	Prbc.g_01583
OG0000453	Prbg.g_00224	Prbc.g_01585
OG0000454	Prbg.g_00225	Prbc.g_01586
OG0000455	Prbg.g_00226	Prbc.g_01587
OG0000456	Prbg.g_00227	Prbc.g_01588
OG0000457	Prbg.g_00229	Prbc.g_01590
OG0000458	Prbg.g_00231	Prbc.g_01592
OG0000459	Prbg.g_00232	Prbc.g_01593
OG0000460	Prbg.g_00234	Prbc.g_01595
OG0000461	Prbg.g_00235	Prbc.g_01596
OG0000462	Prbg.g_00236	Prbc.g_01597
OG0000463	Prbg.g_00237	Prbc.g_01599
OG0000464	Prbg.g_00241	Prbc.g_01603
OG0000465	Prbg.g_00242	Prbc.g_01604
OG0000466	Prbg.g_00243	Prbc.g_01605
OG0000467	Prbg.g_00244	Prbc.g_01606
OG0000468	Prbg.g_00245	Prbc.g_01607
OG0000469	Prbg.g_00246	Prbc.g_01608
OG0000470	Prbg.g_00247	Prbc.g_01609
OG0000471	Prbg.g_00248	Prbc.g_01610
OG0000472	Prbg.g_00251	Prbc.g_01613
OG0000473	Prbg.g_00252	Prbc.g_01614
OG0000474	Prbg.g_00253	Prbc.g_01615
OG0000475	Prbg.g_00254	Prbc.g_01616
OG0000476	Prbg.g_00255	Prbc.g_01617
OG0000477	Prbg.g_00257	Prbc.g_01619
OG0000478	Prbg.g_00258	Prbc.g_01620
OG0000479	Prbg.g_00259	Prbc.g_01621
OG0000480	Prbg.g_00261	Prbc.g_01623
OG0000481	Prbg.g_00262	Prbc.g_01624
OG0000482	Prbg.g_00264	Prbc.g_01626
OG0000483	Prbg.g_00265	Prbc.g_01627
OG0000484	Prbg.g_00266	Prbc.g_01628
OG0000485	Prbg.g_00267	Prbc.g_01629
OG0000486	Prbg.g_00268	Prbc.g_01630
OG0000487	Prbg.g_00269	Prbc.g_01631
OG0000488	Prbg.g_00271	Prbc.g_01633
OG0000489	Prbg.g_00272	Prbc.g_01634
OG0000490	Prbg.g_00273	Prbc.g_01635
OG0000491	Prbg.g_00274	Prbc.g_01636
OG0000492	Prbg.g_00275	Prbc.g_01637
OG0000493	Prbg.g_00276	Prbc.g_01638
OG0000494	Prbg.g_00277	Prbc.g_01640
OG0000495	Prbg.g_00278	Prbc.g_01641
OG0000496	Prbg.g_00280	Prbc.g_01642
OG0000497	Prbg.g_00282	Prbc.g_01643
OG0000498	Prbg.g_00283	Prbc.g_01644
OG0000499	Prbg.g_00285	Prbc.g_01646
OG0000500	Prbg.g_00286	Prbc.g_01647
OG0000501	Prbg.g_00288	Prbc.g_01649
OG0000502	Prbg.g_00289	Prbc.g_01650
OG0000503	Prbg.g_00290	Prbc.g_01651
OG0000504	Prbg.g_00291	Prbc.g_01652
OG0000505	Prbg.g_00292	Prbc.g_01653
OG0000506	Prbg.g_00293	Prbc.g_01654
OG0000507	Prbg.g_00294	Prbc.g_01655
OG0000508	Prbg.g_00296	Prbc.g_01656
OG0000509	Prbg.g_00297	Prbc.g_01657
OG0000510	Prbg.g_00298	Prbc.g_01658
OG0000511	Prbg.g_00299	Prbc.g_01659
OG0000512	Prbg.g_00300	Prbc.g_01660
OG0000513	Prbg.g_00301	Prbc.g_01661
OG0000514	Prbg.g_00302	Prbc.g_01662
OG0000515	Prbg.g_00305	Prbc.g_01663
OG0000516	Prbg.g_00306	Prbc.g_01664
OG0000517	Prbg.g_00307	Prbc.g_01665
OG0000518	Prbg.g_00310	Prbc.g_01667
OG0000519	Prbg.g_00311	Prbc.g_01668
OG0000520	Prbg.g_00312	Prbc.g_01670
OG0000521	Prbg.g_00313	Prbc.g_01669
OG0000522	Prbg.g_00314	Prbc.g_01671
OG0000523	Prbg.g_00315	Prbc.g_01672
