Orthogroup	Pras	Pray
OG0000288	Pras.g_01062	Pray.g_00691
OG0000289	Pras.g_01063	Pray.g_00692
OG0000290	Pras.g_01064	Pray.g_00693
OG0000291	Pras.g_01065	Pray.g_00694
OG0000292	Pras.g_01066	Pray.g_00695
OG0000293	Pras.g_01067	Pray.g_00696
OG0000294	Pras.g_01068	Pray.g_00697
OG0000295	Pras.g_01069	Pray.g_00698
OG0000296	Pras.g_01070	Pray.g_00699
OG0000297	Pras.g_01071	Pray.g_00700
OG0000298	Pras.g_01072	Pray.g_00701
OG0000299	Pras.g_01073	Pray.g_00702
OG0000300	Pras.g_01074	Pray.g_00703
OG0000301	Pras.g_01075	Pray.g_00704
OG0000302	Pras.g_01076	Pray.g_00705
OG0000303	Pras.g_01077	Pray.g_00706
OG0000304	Pras.g_01078	Pray.g_00707
OG0000305	Pras.g_01079	Pray.g_00708
OG0000306	Pras.g_01080	Pray.g_00709
OG0000307	Pras.g_01081	Pray.g_00710
OG0000308	Pras.g_01082	Pray.g_00711
OG0000309	Pras.g_01083	Pray.g_00712
OG0000310	Pras.g_01084	Pray.g_00713
OG0000311	Pras.g_01085	Pray.g_00714
OG0000312	Pras.g_01087	Pray.g_00716
OG0000313	Pras.g_01088	Pray.g_00717
OG0000314	Pras.g_01091	Pray.g_00720
OG0000315	Pras.g_01092	Pray.g_00721
OG0000316	Pras.g_01094	Pray.g_00723
OG0000317	Pras.g_01096	Pray.g_00725
OG0000318	Pras.g_01097	Pray.g_00726
OG0000319	Pras.g_01098	Pray.g_00727
OG0000320	Pras.g_01099	Pray.g_00728
OG0000321	Pras.g_01102	Pray.g_00731
OG0000322	Pras.g_01105	Pray.g_00734
OG0000323	Pras.g_01106	Pray.g_00735
OG0000324	Pras.g_01109	Pray.g_00738
OG0000325	Pras.g_01111	Pray.g_00739
OG0000326	Pras.g_01112	Pray.g_00740
OG0000327	Pras.g_01114	Pray.g_00742
OG0000328	Pras.g_01115	Pray.g_00743
