Orthogroup	Syat	Syak
OG0000418	Syat.g_02863	Syak.g_02107
OG0000419	Syat.g_02861	Syak.g_02105
OG0000420	Syat.g_02859	Syak.g_02103
OG0000421	Syat.g_02855	Syak.g_02097
OG0000422	Syat.g_02854	Syak.g_02096
OG0000423	Syat.g_02853	Syak.g_02095
OG0000424	Syat.g_02852	Syak.g_02094
OG0000425	Syat.g_02851	Syak.g_02093
OG0000426	Syat.g_02850	Syak.g_02092
OG0000427	Syat.g_02849	Syak.g_02091
OG0000428	Syat.g_02846	Syak.g_02088
OG0000429	Syat.g_02843	Syak.g_02086
OG0000430	Syat.g_02841	Syak.g_02084
OG0000431	Syat.g_02838	Syak.g_02081
OG0000432	Syat.g_02832	Syak.g_02075
OG0000433	Syat.g_02829	Syak.g_02073
OG0000434	Syat.g_02828	Syak.g_02072
OG0000435	Syat.g_02824	Syak.g_02071
OG0000436	Syat.g_02817	Syak.g_02064
OG0000437	Syat.g_02558	Syak.g_02063
OG0000438	Syat.g_02813	Syak.g_02062
OG0000439	Syat.g_02811	Syak.g_02060
OG0000440	Syat.g_02810	Syak.g_02059
OG0000441	Syat.g_02807	Syak.g_02053
OG0000442	Syat.g_02797	Syak.g_02043
OG0000443	Syat.g_02787	Syak.g_02041
OG0000444	Syat.g_02756	Syak.g_02022
OG0000445	Syat.g_02755	Syak.g_02015
OG0000446	Syat.g_02753	Syak.g_02013
OG0000447	Syat.g_02749	Syak.g_02006
OG0000448	Syat.g_02748	Syak.g_02005
OG0000449	Syat.g_02747	Syak.g_02004
OG0000450	Syat.g_02738	Syak.g_01998
OG0000451	Syat.g_02737	Syak.g_01997
OG0000452	Syat.g_02732	Syak.g_01993
OG0000453	Syat.g_02731	Syak.g_01992
OG0000454	Syat.g_02730	Syak.g_01991
OG0000455	Syat.g_02729	Syak.g_01990
OG0000456	Syat.g_02728	Syak.g_01989
OG0000457	Syat.g_02726	Syak.g_01987
OG0000458	Syat.g_02725	Syak.g_01986
OG0000459	Syat.g_02724	Syak.g_01985
OG0000460	Syat.g_01450	Syak.g_02303
OG0000461	Syat.g_01866	Syak.g_01402
OG0000462	Syat.g_01868	Syak.g_01405
OG0000463	Syat.g_01869	Syak.g_01406
OG0000464	Syat.g_01870	Syak.g_01407
OG0000465	Syat.g_01872	Syak.g_01409
OG0000466	Syat.g_01877	Syak.g_01414
OG0000467	Syat.g_01878	Syak.g_01416
OG0000468	Syat.g_01884	Syak.g_01421
OG0000469	Syat.g_02000	Syak.g_01436
OG0000470	Syat.g_02038	Syak.g_01438
OG0000471	Syat.g_02039	Syak.g_01439
OG0000472	Syat.g_02041	Syak.g_01441
OG0000473	Syat.g_02043	Syak.g_01443
OG0000474	Syat.g_02044	Syak.g_01444
OG0000475	Syat.g_02045	Syak.g_01445
OG0000476	Syat.g_02047	Syak.g_01447
OG0000477	Syat.g_02053	Syak.g_01453
OG0000478	Syat.g_02054	Syak.g_01454
OG0000479	Syat.g_02056	Syak.g_01455
OG0000480	Syat.g_02063	Syak.g_01462
OG0000481	Syat.g_02066	Syak.g_01464
OG0000482	Syat.g_02067	Syak.g_01465
OG0000483	Syat.g_02071	Syak.g_01469
OG0000484	Syat.g_02072	Syak.g_01470
OG0000485	Syat.g_02073	Syak.g_01472
OG0000486	Syat.g_02074	Syak.g_01473
OG0000487	Syat.g_02080	Syak.g_01479
OG0000488	Syat.g_02086	Syak.g_01483
OG0000489	Syat.g_02097	Syak.g_01499
OG0000490	Syat.g_02106	Syak.g_01507
OG0000491	Syat.g_02107	Syak.g_01511
OG0000492	Syat.g_02110	Syak.g_01513
OG0000493	Syat.g_02111	Syak.g_01514
OG0000494	Syat.g_02112	Syak.g_01515
OG0000495	Syat.g_02120	Syak.g_01516
OG0000496	Syat.g_02121	Syak.g_01517
OG0000497	Syat.g_02122	Syak.g_01518
OG0000498	Syat.g_02123	Syak.g_01519
OG0000499	Syat.g_02124	Syak.g_01520
OG0000500	Syat.g_02125	Syak.g_01521
OG0000501	Syat.g_02128	Syak.g_01524
OG0000502	Syat.g_02135	Syak.g_01538
