Orthogroup	Syat	Syao
OG0000567	Syat.g_00059	Syao.g_00841
OG0000568	Syat.g_00057	Syao.g_00839
OG0000569	Syat.g_00056	Syao.g_00838
OG0000570	Syat.g_00055	Syao.g_00837
OG0000571	Syat.g_00052	Syao.g_00834
OG0000572	Syat.g_00033	Syao.g_01033
OG0000573	Syat.g_00024	Syao.g_01022
OG0000574	Syat.g_00023	Syao.g_01021
OG0000575	Syat.g_00018	Syao.g_01000
OG0000576	Syat.g_00014	Syao.g_00996
OG0000577	Syat.g_00013	Syao.g_00995
OG0000578	Syat.g_00012	Syao.g_00994
OG0000579	Syat.g_00011	Syao.g_00993
OG0000580	Syat.g_00010	Syao.g_00992
OG0000581	Syat.g_00003	Syao.g_01059
OG0000582	Syat.g_03403	Syao.g_01204
OG0000583	Syat.g_03404	Syao.g_01205
OG0000584	Syat.g_03405	Syao.g_01206
