Orthogroup	Prat	Prah
OG0000498	Prat.g_00324	Prah.g_02181
OG0000499	Prat.g_00325	Prah.g_02182
OG0000500	Prat.g_00326	Prah.g_02183
OG0000501	Prat.g_00328	Prah.g_02186
OG0000502	Prat.g_00331	Prah.g_02199
OG0000503	Prat.g_00348	Prah.g_01940
OG0000504	Prat.g_00350	Prah.g_01938
OG0000505	Prat.g_00351	Prah.g_01937
OG0000506	Prat.g_00352	Prah.g_01935
OG0000507	Prat.g_00355	Prah.g_01930
OG0000508	Prat.g_00359	Prah.g_01922
OG0000509	Prat.g_00361	Prah.g_01920
OG0000510	Prat.g_00362	Prah.g_01919
OG0000511	Prat.g_00363	Prah.g_01918
OG0000512	Prat.g_00365	Prah.g_01916
OG0000513	Prat.g_00373	Prah.g_00209
OG0000514	Prat.g_00390	Prah.g_00218
OG0000515	Prat.g_00391	Prah.g_00219
OG0000516	Prat.g_00392	Prah.g_00221
OG0000517	Prat.g_00395	Prah.g_00229
OG0000518	Prat.g_00407	Prah.g_00241
OG0000519	Prat.g_00408	Prah.g_00242
OG0000520	Prat.g_00410	Prah.g_00247
OG0000521	Prat.g_00415	Prah.g_00255
OG0000522	Prat.g_00417	Prah.g_00257
OG0000523	Prat.g_00418	Prah.g_00258
OG0000524	Prat.g_00424	Prah.g_00290
OG0000525	Prat.g_00428	Prah.g_00304
OG0000526	Prat.g_00429	Prah.g_00306
OG0000527	Prat.g_00432	Prah.g_00310
OG0000528	Prat.g_00438	Prah.g_01572
OG0000529	Prat.g_00441	Prah.g_01565
OG0000530	Prat.g_00444	Prah.g_01562
OG0000531	Prat.g_00445	Prah.g_01561
OG0000532	Prat.g_00447	Prah.g_01558
OG0000533	Prat.g_00448	Prah.g_01556
OG0000534	Prat.g_00449	Prah.g_01555
OG0000535	Prat.g_00450	Prah.g_01554
OG0000536	Prat.g_00451	Prah.g_01553
OG0000537	Prat.g_00453	Prah.g_01552
OG0000538	Prat.g_00463	Prah.g_01541
OG0000539	Prat.g_00464	Prah.g_01540
OG0000540	Prat.g_00465	Prah.g_01539
OG0000541	Prat.g_00466	Prah.g_01538
OG0000542	Prat.g_00468	Prah.g_01535
OG0000543	Prat.g_00470	Prah.g_01533
OG0000544	Prat.g_00471	Prah.g_01532
OG0000545	Prat.g_00473	Prah.g_01530
OG0000546	Prat.g_00476	Prah.g_01528
OG0000547	Prat.g_00478	Prah.g_01526
OG0000548	Prat.g_00479	Prah.g_01525
OG0000549	Prat.g_00482	Prah.g_01519
OG0000550	Prat.g_00486	Prah.g_01514
OG0000551	Prat.g_00489	Prah.g_01510
OG0000552	Prat.g_00490	Prah.g_01509
OG0000553	Prat.g_00491	Prah.g_01505
OG0000554	Prat.g_00496	Prah.g_01500
OG0000555	Prat.g_00503	Prah.g_01480
OG0000556	Prat.g_00505	Prah.g_01474
OG0000557	Prat.g_00506	Prah.g_01473
OG0000558	Prat.g_00508	Prah.g_01470
OG0000559	Prat.g_00512	Prah.g_01466
OG0000560	Prat.g_00516	Prah.g_01463
OG0000561	Prat.g_00517	Prah.g_01462
OG0000562	Prat.g_00518	Prah.g_01461
OG0000563	Prat.g_00519	Prah.g_01460
OG0000564	Prat.g_00520	Prah.g_01459
OG0000565	Prat.g_00523	Prah.g_01457
