Orthogroup	Prbe	Syaf
OG0000480	Prbe.g_01836	Syaf.g_00247
OG0000481	Prbe.g_01839	Syaf.g_00249
OG0000482	Prbe.g_01840	Syaf.g_00250
OG0000483	Prbe.g_01843	Syaf.g_00254
OG0000484	Prbe.g_01844	Syaf.g_00255
OG0000485	Prbe.g_01846	Syaf.g_00256
OG0000486	Prbe.g_01847	Syaf.g_00257
OG0000487	Prbe.g_01850	Syaf.g_00263
OG0000488	Prbe.g_01853	Syaf.g_00267
OG0000489	Prbe.g_01858	Syaf.g_00274
OG0000490	Prbe.g_01862	Syaf.g_00284
OG0000491	Prbe.g_01863	Syaf.g_00285
OG0000492	Prbe.g_01865	Syaf.g_00288
OG0000493	Prbe.g_01866	Syaf.g_00289
OG0000494	Prbe.g_01867	Syaf.g_00290
OG0000495	Prbe.g_01868	Syaf.g_00291
OG0000496	Prbe.g_01869	Syaf.g_00292
OG0000497	Prbe.g_01870	Syaf.g_00293
OG0000498	Prbe.g_01871	Syaf.g_00294
OG0000499	Prbe.g_01872	Syaf.g_00295
OG0000500	Prbe.g_01873	Syaf.g_00296
OG0000501	Prbe.g_01874	Syaf.g_00299
OG0000502	Prbe.g_01877	Syaf.g_00319
OG0000503	Prbe.g_01892	Syaf.g_00023
OG0000504	Prbe.g_01894	Syaf.g_00021
OG0000505	Prbe.g_01895	Syaf.g_00020
OG0000506	Prbe.g_01896	Syaf.g_00018
OG0000507	Prbe.g_01899	Syaf.g_00012
OG0000508	Prbe.g_01903	Syaf.g_00008
OG0000509	Prbe.g_01905	Syaf.g_00006
OG0000510	Prbe.g_01906	Syaf.g_00005
OG0000511	Prbe.g_01907	Syaf.g_00004
OG0000512	Prbe.g_01909	Syaf.g_00002
OG0000513	Prbe.g_01918	Syaf.g_02803
OG0000514	Prbe.g_01929	Syaf.g_02796
OG0000515	Prbe.g_01930	Syaf.g_02795
OG0000516	Prbe.g_01931	Syaf.g_01219
OG0000517	Prbe.g_01933	Syaf.g_01213
OG0000518	Prbe.g_01944	Syaf.g_01230
OG0000519	Prbe.g_01945	Syaf.g_01231
OG0000520	Prbe.g_01946	Syaf.g_01235
OG0000521	Prbe.g_00676	Syaf.g_02542
OG0000522	Prbe.g_00674	Syaf.g_02538
OG0000523	Prbe.g_00673	Syaf.g_02537
OG0000524	Prbe.g_00668	Syaf.g_02531
OG0000525	Prbe.g_00664	Syaf.g_02507
OG0000526	Prbe.g_00663	Syaf.g_02504
OG0000527	Prbe.g_00660	Syaf.g_02500
OG0000528	Prbe.g_00655	Syaf.g_02728
OG0000529	Prbe.g_00652	Syaf.g_02720
OG0000530	Prbe.g_00649	Syaf.g_02717
OG0000531	Prbe.g_00648	Syaf.g_02716
OG0000532	Prbe.g_00646	Syaf.g_02713
OG0000533	Prbe.g_00645	Syaf.g_02712
OG0000534	Prbe.g_00644	Syaf.g_02711
OG0000535	Prbe.g_00643	Syaf.g_02710
OG0000536	Prbe.g_00642	Syaf.g_02709
OG0000537	Prbe.g_00641	Syaf.g_02708
OG0000538	Prbe.g_00632	Syaf.g_02697
OG0000539	Prbe.g_00631	Syaf.g_02696
OG0000540	Prbe.g_00630	Syaf.g_02695
