Orthogroup	Prar	Prab
OG0000557	Prar.g_01375	Prab.g_00549
OG0000558	Prar.g_01377	Prab.g_00551
OG0000559	Prar.g_01381	Prab.g_00555
OG0000560	Prar.g_01384	Prab.g_00558
OG0000561	Prar.g_01385	Prab.g_00559
OG0000562	Prar.g_01386	Prab.g_00560
OG0000563	Prar.g_01387	Prab.g_00561
OG0000564	Prar.g_01388	Prab.g_00562
OG0000565	Prar.g_01391	Prab.g_00565
OG0000566	Prar.g_01393	Prab.g_00568
OG0000567	Prar.g_01397	Prab.g_00572
OG0000568	Prar.g_01398	Prab.g_00573
OG0000569	Prar.g_01399	Prab.g_00574
