Orthogroup	Prar	Syaf
OG0000279	Prar.g_01733	Syaf.g_01367
OG0000280	Prar.g_01734	Syaf.g_01337
OG0000281	Prar.g_01740	Syaf.g_01636
OG0000282	Prar.g_01778	Syaf.g_02101
OG0000283	Prar.g_01810	Syaf.g_01804
OG0000284	Prar.g_01815	Syaf.g_01810
OG0000285	Prar.g_01820	Syaf.g_01842
OG0000286	Prar.g_01832	Syaf.g_01860
OG0000288	Prar.g_01877	Syaf.g_01929
OG0000289	Prar.g_01888	Syaf.g_01943
OG0000290	Prar.g_01901	Syaf.g_01439
OG0000291	Prar.g_01903	Syaf.g_01441
OG0000292	Prar.g_01953	Syaf.g_00505
OG0000293	Prar.g_01272	Syaf.g_01277
OG0000294	Prar.g_01271	Syaf.g_01278
OG0000295	Prar.g_01251	Syaf.g_01316
OG0000296	Prar.g_01249	Syaf.g_01318
OG0000297	Prar.g_01241	Syaf.g_01607
OG0000298	Prar.g_01240	Syaf.g_01606
OG0000299	Prar.g_01223	Syaf.g_01578
OG0000300	Prar.g_01220	Syaf.g_01571
OG0000301	Prar.g_01219	Syaf.g_01570
OG0000302	Prar.g_01217	Syaf.g_01568
OG0000303	Prar.g_01210	Syaf.g_01559
OG0000304	Prar.g_01206	Syaf.g_01551
OG0000305	Prar.g_00919	Syaf.g_01444
OG0000306	Prar.g_00916	Syaf.g_01332
OG0000307	Prar.g_00902	Syaf.g_02742
OG0000308	Prar.g_00901	Syaf.g_02744
OG0000309	Prar.g_00897	Syaf.g_02749
OG0000310	Prar.g_00354	Syaf.g_02387
OG0000311	Prar.g_00352	Syaf.g_02391
OG0000312	Prar.g_00349	Syaf.g_02397
OG0000313	Prar.g_00335	Syaf.g_02421
OG0000314	Prar.g_00820	Syaf.g_02458
OG0000315	Prar.g_00810	Syaf.g_02468
OG0000316	Prar.g_00790	Syaf.g_01088
OG0000317	Prar.g_01145	Syaf.g_01040
OG0000318	Prar.g_01142	Syaf.g_01032
OG0000319	Prar.g_01129	Syaf.g_01015
OG0000320	Prar.g_01127	Syaf.g_01013
OG0000321	Prar.g_01126	Syaf.g_01012
OG0000322	Prar.g_01125	Syaf.g_01011
OG0000323	Prar.g_01967	Syaf.g_00997
OG0000324	Prar.g_00609	Syaf.g_01164
OG0000325	Prar.g_01113	Syaf.g_00176
OG0000326	Prar.g_01107	Syaf.g_00169
OG0000327	Prar.g_01068	Syaf.g_00138
OG0000328	Prar.g_01067	Syaf.g_00137
OG0000329	Prar.g_01050	Syaf.g_00119
OG0000330	Prar.g_01049	Syaf.g_00118
OG0000331	Prar.g_01048	Syaf.g_00117
OG0000332	Prar.g_01034	Syaf.g_00102
OG0000333	Prar.g_01032	Syaf.g_00099
OG0000334	Prar.g_01024	Syaf.g_00090
OG0000335	Prar.g_01020	Syaf.g_00085
OG0000336	Prar.g_01016	Syaf.g_00081
OG0000337	Prar.g_00625	Syaf.g_00344
OG0000338	Prar.g_00626	Syaf.g_00348
OG0000339	Prar.g_00630	Syaf.g_00355
OG0000340	Prar.g_00638	Syaf.g_00366
OG0000341	Prar.g_00640	Syaf.g_00368
OG0000342	Prar.g_00641	Syaf.g_00369
OG0000343	Prar.g_00642	Syaf.g_00370
OG0000344	Prar.g_00645	Syaf.g_00374
OG0000345	Prar.g_00650	Syaf.g_00384
OG0000346	Prar.g_00654	Syaf.g_00389
OG0000347	Prar.g_00669	Syaf.g_00415
OG0000348	Prar.g_00678	Syaf.g_00427
OG0000349	Prar.g_00695	Syaf.g_00445
OG0000350	Prar.g_00072	Syaf.g_00162
OG0000351	Prar.g_00055	Syaf.g_00528
OG0000352	Prar.g_00054	Syaf.g_00527
OG0000353	Prar.g_00039	Syaf.g_00499
OG0000355	Prar.g_00037	Syaf.g_00497
OG0000356	Prar.g_00036	Syaf.g_00496
OG0000357	Prar.g_00035	Syaf.g_00495
OG0000358	Prar.g_00031	Syaf.g_00491
OG0000359	Prar.g_00030	Syaf.g_00489
OG0000360	Prar.g_00029	Syaf.g_00488
OG0000361	Prar.g_00028	Syaf.g_00487
OG0000362	Prar.g_00026	Syaf.g_00485
OG0000363	Prar.g_00024	Syaf.g_00483
OG0000364	Prar.g_00023	Syaf.g_00482
OG0000365	Prar.g_00018	Syaf.g_00473
OG0000366	Prar.g_00017	Syaf.g_00472
OG0000367	Prar.g_00016	Syaf.g_00471
OG0000368	Prar.g_00014	Syaf.g_00469
OG0000369	Prar.g_00013	Syaf.g_00468
OG0000370	Prar.g_00012	Syaf.g_00467
OG0000371	Prar.g_00006	Syaf.g_00458
OG0000372	Prar.g_00002	Syaf.g_00453
OG0000373	Prar.g_00001	Syaf.g_00452
OG0000374	Prar.g_00594	Syaf.g_00451
OG0000375	Prar.g_00580	Syaf.g_00449
OG0000376	Prar.g_00578	Syaf.g_00447
OG0000377	Prar.g_00574	Syaf.g_00654
OG0000378	Prar.g_00572	Syaf.g_00668
OG0000379	Prar.g_00569	Syaf.g_00686
OG0000380	Prar.g_00552	Syaf.g_00965
OG0000381	Prar.g_00548	Syaf.g_00962
OG0000382	Prar.g_00247	Syaf.g_00945
OG0000383	Prar.g_00245	Syaf.g_00941
OG0000384	Prar.g_00244	Syaf.g_00940
OG0000385	Prar.g_00243	Syaf.g_00939
OG0000386	Prar.g_00242	Syaf.g_00938
OG0000387	Prar.g_00229	Syaf.g_00912
OG0000388	Prar.g_00226	Syaf.g_00908
OG0000389	Prar.g_00222	Syaf.g_00904
OG0000390	Prar.g_00215	Syaf.g_00883
OG0000391	Prar.g_00212	Syaf.g_00878
OG0000392	Prar.g_00208	Syaf.g_00872
OG0000393	Prar.g_00206	Syaf.g_00870
OG0000394	Prar.g_00205	Syaf.g_00869
OG0000395	Prar.g_00204	Syaf.g_00868
OG0000396	Prar.g_00201	Syaf.g_00865
OG0000397	Prar.g_00199	Syaf.g_00863
OG0000398	Prar.g_00197	Syaf.g_00858
OG0000399	Prar.g_00196	Syaf.g_00857
OG0000400	Prar.g_00195	Syaf.g_00856
OG0000401	Prar.g_00194	Syaf.g_00855
OG0000402	Prar.g_00192	Syaf.g_00852
OG0000403	Prar.g_00191	Syaf.g_00851
OG0000404	Prar.g_00190	Syaf.g_00850
OG0000405	Prar.g_00186	Syaf.g_00835
OG0000406	Prar.g_00180	Syaf.g_00831
OG0000407	Prar.g_00179	Syaf.g_00830
OG0000408	Prar.g_00177	Syaf.g_00828
OG0000409	Prar.g_00175	Syaf.g_00826
OG0000410	Prar.g_00174	Syaf.g_00825
OG0000411	Prar.g_00173	Syaf.g_00824
OG0000412	Prar.g_00172	Syaf.g_00823
OG0000413	Prar.g_00171	Syaf.g_00821
OG0000414	Prar.g_01569, Prar.g_00170	Syaf.g_00820
OG0000415	Prar.g_00169	Syaf.g_00819
OG0000416	Prar.g_00168	Syaf.g_00818
OG0000417	Prar.g_00167	Syaf.g_00817
OG0000418	Prar.g_00162	Syaf.g_00812
OG0000419	Prar.g_00160	Syaf.g_00810
OG0000420	Prar.g_00159	Syaf.g_00808
OG0000421	Prar.g_00154	Syaf.g_00803
OG0000422	Prar.g_00153	Syaf.g_00802
OG0000423	Prar.g_00152	Syaf.g_00801
OG0000424	Prar.g_00151	Syaf.g_00800
OG0000425	Prar.g_00150	Syaf.g_00799
OG0000426	Prar.g_00149	Syaf.g_00798
OG0000427	Prar.g_00148	Syaf.g_00797
OG0000428	Prar.g_00146	Syaf.g_00794
OG0000429	Prar.g_00145	Syaf.g_00792
OG0000430	Prar.g_00144	Syaf.g_00790
OG0000431	Prar.g_00142	Syaf.g_00786
