Orthogroup	Prar	Syan
OG0000536	Prar.g_00541	Syan.g_02751
OG0000537	Prar.g_00542	Syan.g_02750
OG0000538	Prar.g_01331	Syan.g_02738
OG0000539	Prar.g_01332	Syan.g_02737
OG0000540	Prar.g_01333	Syan.g_02736
OG0000541	Prar.g_01334	Syan.g_02735
OG0000542	Prar.g_01336	Syan.g_02732
OG0000543	Prar.g_01338	Syan.g_02730
OG0000544	Prar.g_01339	Syan.g_02729
OG0000545	Prar.g_01341	Syan.g_02727
OG0000546	Prar.g_01344	Syan.g_02725
OG0000547	Prar.g_01345	Syan.g_02723
OG0000548	Prar.g_01346	Syan.g_02722
OG0000549	Prar.g_01348	Syan.g_01194
OG0000550	Prar.g_01353	Syan.g_01189
OG0000551	Prar.g_01357	Syan.g_01184
OG0000552	Prar.g_01358	Syan.g_01183
OG0000553	Prar.g_01359	Syan.g_01179
OG0000554	Prar.g_01364	Syan.g_01165
OG0000555	Prar.g_01372	Syan.g_00839
OG0000556	Prar.g_01374	Syan.g_00842
OG0000557	Prar.g_01375	Syan.g_00847
OG0000558	Prar.g_01377	Syan.g_00849
OG0000559	Prar.g_01381	Syan.g_00853
OG0000560	Prar.g_01384	Syan.g_00856
OG0000561	Prar.g_01385	Syan.g_00857
OG0000562	Prar.g_01386	Syan.g_00858
OG0000563	Prar.g_01387	Syan.g_00859
OG0000564	Prar.g_01388	Syan.g_00860
OG0000565	Prar.g_01391	Syan.g_00864
OG0000566	Prar.g_01393	Syan.g_00868
OG0000567	Prar.g_01397	Syan.g_00872
OG0000568	Prar.g_01398	Syan.g_00874
OG0000569	Prar.g_01399	Syan.g_00875
OG0000570	Prar.g_01400	Syan.g_00876
OG0000571	Prar.g_01402	Syan.g_00879
OG0000572	Prar.g_01415	Syan.g_00954
OG0000573	Prar.g_01422	Syan.g_00963
OG0000574	Prar.g_01423	Syan.g_00965
OG0000575	Prar.g_01427	Syan.g_01003
OG0000576	Prar.g_01429	Syan.g_01007
OG0000577	Prar.g_01430	Syan.g_01008
OG0000578	Prar.g_01431	Syan.g_01009
OG0000579	Prar.g_01432	Syan.g_01010
OG0000580	Prar.g_01433	Syan.g_01011
OG0000581	Prar.g_01435	Syan.g_01018
OG0000582	Prar.g_01438	Syan.g_01030
OG0000583	Prar.g_01439	Syan.g_01029
OG0000584	Prar.g_01440	Syan.g_01028
OG0000585	Prar.g_01442	Syan.g_01024
OG0000586	Prar.g_01443	Syan.g_01022
OG0000587	Prar.g_01444	Syan.g_01020
OG0000588	Prar.g_01448	Syan.g_00215
OG0000589	Prar.g_01451	Syan.g_00016
OG0000590	Prar.g_01452	Syan.g_00015
OG0000591	Prar.g_01455	Syan.g_00003
OG0000592	Prar.g_01456	Syan.g_00002
OG0000593	Prar.g_01462	Syan.g_00820
OG0000594	Prar.g_01463	Syan.g_00819
OG0000595	Prar.g_01464	Syan.g_00818
OG0000596	Prar.g_01468	Syan.g_00813
