Orthogroup	Prar	Prbl
OG0000437	Prar.g_00493	Prbl.g_00642
OG0000438	Prar.g_00494	Prbl.g_00641
OG0000439	Prar.g_00495	Prbl.g_00640
OG0000440	Prar.g_00496	Prbl.g_00639
OG0000441	Prar.g_00497	Prbl.g_00635
OG0000442	Prar.g_00498	Prbl.g_00634
OG0000443	Prar.g_00499	Prbl.g_00633
OG0000444	Prar.g_00500	Prbl.g_00632
OG0000445	Prar.g_00501	Prbl.g_00625
OG0000446	Prar.g_00503	Prbl.g_00623
OG0000447	Prar.g_00504	Prbl.g_00622
OG0000448	Prar.g_00506	Prbl.g_00619
OG0000449	Prar.g_00510	Prbl.g_01364
OG0000450	Prar.g_00511	Prbl.g_01363
OG0000451	Prar.g_00512	Prbl.g_01360
OG0000452	Prar.g_00513	Prbl.g_01348
OG0000453	Prar.g_00514	Prbl.g_01346
OG0000454	Prar.g_00521	Prbl.g_01344
OG0000455	Prar.g_00523	Prbl.g_01342
OG0000456	Prar.g_00527	Prbl.g_00503
OG0000457	Prar.g_00528	Prbl.g_00506
OG0000458	Prar.g_00529	Prbl.g_00510
OG0000459	Prar.g_00531	Prbl.g_00512
OG0000460	Prar.g_00533	Prbl.g_00514
OG0000461	Prar.g_00534	Prbl.g_00515
OG0000462	Prar.g_00535	Prbl.g_00516
OG0000463	Prar.g_00537	Prbl.g_00519
OG0000464	Prar.g_00538	Prbl.g_00521
OG0000465	Prar.g_00539	Prbl.g_00522
OG0000466	Prar.g_00540	Prbl.g_00523
OG0000467	Prar.g_00541	Prbl.g_00524
OG0000468	Prar.g_00542	Prbl.g_00525
OG0000469	Prar.g_00543	Prbl.g_00526
OG0000470	Prar.g_00544	Prbl.g_00527
OG0000471	Prar.g_00545	Prbl.g_00528
OG0000472	Prar.g_01331	Prbl.g_00536
OG0000473	Prar.g_01332	Prbl.g_00806
OG0000474	Prar.g_01333	Prbl.g_00805
OG0000475	Prar.g_01334	Prbl.g_00804
OG0000476	Prar.g_01336	Prbl.g_00801
OG0000477	Prar.g_01337	Prbl.g_00800
OG0000478	Prar.g_01338	Prbl.g_00799
OG0000479	Prar.g_01339	Prbl.g_00798
OG0000480	Prar.g_01341	Prbl.g_00797
OG0000481	Prar.g_01343	Prbl.g_00795
OG0000482	Prar.g_01344	Prbl.g_00794
OG0000483	Prar.g_01345	Prbl.g_00792
OG0000484	Prar.g_01346	Prbl.g_00791
OG0000485	Prar.g_01347	Prbl.g_00790
OG0000486	Prar.g_01348	Prbl.g_00785
OG0000487	Prar.g_01353	Prbl.g_00780
OG0000488	Prar.g_01355	Prbl.g_00779
OG0000489	Prar.g_01356	Prbl.g_00778
OG0000490	Prar.g_01357	Prbl.g_00776
OG0000491	Prar.g_01358	Prbl.g_00775
OG0000492	Prar.g_01359	Prbl.g_00770
OG0000493	Prar.g_01360	Prbl.g_01526
OG0000494	Prar.g_01361	Prbl.g_00032
OG0000495	Prar.g_01364	Prbl.g_00765
OG0000496	Prar.g_01365	Prbl.g_00763
OG0000497	Prar.g_01366	Prbl.g_00761
OG0000498	Prar.g_01367	Prbl.g_00760
OG0000499	Prar.g_01368	Prbl.g_00754
OG0000500	Prar.g_01370	Prbl.g_00751
OG0000501	Prar.g_01371	Prbl.g_00749
OG0000502	Prar.g_01372	Prbl.g_00747
OG0000503	Prar.g_01374	Prbl.g_02645
OG0000504	Prar.g_01375	Prbl.g_01878
OG0000505	Prar.g_01376	Prbl.g_01879
OG0000506	Prar.g_01377	Prbl.g_01881
OG0000507	Prar.g_01378	Prbl.g_01882
OG0000508	Prar.g_01379	Prbl.g_01883
OG0000509	Prar.g_01380	Prbl.g_01884
OG0000510	Prar.g_01381	Prbl.g_01885
OG0000511	Prar.g_01383	Prbl.g_01887
OG0000512	Prar.g_01384	Prbl.g_01888
OG0000513	Prar.g_01385	Prbl.g_01889
OG0000514	Prar.g_01386	Prbl.g_01890
OG0000515	Prar.g_01387	Prbl.g_01891
OG0000516	Prar.g_01388	Prbl.g_01892
OG0000517	Prar.g_01390	Prbl.g_01894
OG0000518	Prar.g_01391	Prbl.g_01895
OG0000519	Prar.g_01392	Prbl.g_01897
OG0000520	Prar.g_01393	Prbl.g_01899
OG0000521	Prar.g_01394	Prbl.g_01900
OG0000522	Prar.g_01395	Prbl.g_01901
OG0000523	Prar.g_01396	Prbl.g_01902
OG0000524	Prar.g_01397	Prbl.g_01903
OG0000525	Prar.g_01398	Prbl.g_01905
