Orthogroup	Syai	Prau
OG0000295	Syai.g_02117	Prau.g_01218
OG0000296	Syai.g_02115	Prau.g_01220
OG0000297	Syai.g_01754	Prau.g_01228
OG0000298	Syai.g_01755	Prau.g_01229
OG0000299	Syai.g_01783	Prau.g_01246
OG0000300	Syai.g_01790	Prau.g_01249
OG0000301	Syai.g_01791	Prau.g_01250
OG0000302	Syai.g_01793	Prau.g_01252
OG0000303	Syai.g_01802	Prau.g_01259
OG0000304	Syai.g_01826	Prau.g_01263
OG0000305	Syai.g_02005	Prau.g_01401
OG0000306	Syai.g_02090	Prau.g_01404
OG0000307	Syai.g_00619	Prau.g_01418
OG0000308	Syai.g_00617	Prau.g_01419
OG0000309	Syai.g_00612	Prau.g_01423
OG0000310	Syai.g_00989	Prau.g_01513
OG0000311	Syai.g_00985	Prau.g_01515
OG0000312	Syai.g_00966	Prau.g_01518
OG0000313	Syai.g_00949	Prau.g_01535
OG0000314	Syai.g_00908	Prau.g_01558
OG0000315	Syai.g_00897	Prau.g_01568
OG0000316	Syai.g_02320, Syai.g_02322	Prau.g_01588
OG0000317	Syai.g_02373	Prau.g_01730
OG0000318	Syai.g_02379	Prau.g_01733
OG0000319	Syai.g_02395	Prau.g_01746
OG0000320	Syai.g_02397	Prau.g_01748
OG0000321	Syai.g_02398	Prau.g_01749
OG0000322	Syai.g_02399	Prau.g_01750
OG0000323	Syai.g_02413	Prau.g_01759
OG0000324	Syai.g_02272	Prau.g_01785
OG0000325	Syai.g_00320	Prau.g_01795
OG0000326	Syai.g_00327	Prau.g_01801
OG0000327	Syai.g_00359	Prau.g_01828
OG0000328	Syai.g_00360	Prau.g_01829
OG0000329	Syai.g_00378	Prau.g_01846
OG0000330	Syai.g_00379	Prau.g_01847
OG0000331	Syai.g_00380	Prau.g_01848
OG0000332	Syai.g_00395	Prau.g_01862
OG0000333	Syai.g_00398	Prau.g_01864
OG0000334	Syai.g_00407	Prau.g_01872
OG0000335	Syai.g_00412	Prau.g_01877
OG0000336	Syai.g_00416	Prau.g_01881
OG0000337	Syai.g_00169	Prau.g_01897
OG0000338	Syai.g_00166	Prau.g_01898
OG0000339	Syai.g_00160	Prau.g_01902
OG0000340	Syai.g_00133	Prau.g_01910
OG0000341	Syai.g_00131	Prau.g_01912
OG0000342	Syai.g_00130	Prau.g_01913
OG0000343	Syai.g_00129	Prau.g_01914
OG0000344	Syai.g_00125	Prau.g_01917
OG0000345	Syai.g_00115	Prau.g_01922
OG0000346	Syai.g_00110	Prau.g_01926
OG0000347	Syai.g_00087	Prau.g_01942
OG0000348	Syai.g_00076	Prau.g_01952
OG0000349	Syai.g_00057	Prau.g_01969
OG0000350	Syai.g_00334	Prau.g_01987, Prau.g_01297
OG0000351	Syai.g_02904	Prau.g_02004
OG0000352	Syai.g_02905	Prau.g_02005
OG0000353	Syai.g_02932	Prau.g_02021
OG0000355	Syai.g_00001	Prau.g_00001
OG0000356	Syai.g_00002	Prau.g_00002
OG0000357	Syai.g_00003	Prau.g_00003
OG0000358	Syai.g_00007	Prau.g_00007
OG0000359	Syai.g_00009	Prau.g_00008
OG0000360	Syai.g_00010	Prau.g_00009
OG0000361	Syai.g_00011	Prau.g_00010
OG0000362	Syai.g_00013	Prau.g_00012
OG0000363	Syai.g_00015	Prau.g_00014
OG0000364	Syai.g_00016	Prau.g_00015
OG0000365	Syai.g_00027	Prau.g_00020
OG0000366	Syai.g_00028	Prau.g_00021
OG0000367	Syai.g_00029	Prau.g_00022
OG0000368	Syai.g_00031	Prau.g_00024
OG0000369	Syai.g_00032	Prau.g_00025
OG0000370	Syai.g_00033	Prau.g_00026
OG0000371	Syai.g_00041	Prau.g_00031
OG0000372	Syai.g_00047	Prau.g_00034
OG0000373	Syai.g_00048	Prau.g_00035
OG0000374	Syai.g_00049	Prau.g_00036
OG0000375	Syai.g_00053	Prau.g_00047
OG0000376	Syai.g_00055	Prau.g_00049
OG0000377	Syai.g_02769	Prau.g_00053
OG0000378	Syai.g_02751	Prau.g_00055
OG0000379	Syai.g_02733	Prau.g_00058
OG0000380	Syai.g_02472	Prau.g_00068
OG0000381	Syai.g_02475	Prau.g_00072
OG0000382	Syai.g_02493	Prau.g_00082
OG0000383	Syai.g_02498	Prau.g_00084
OG0000384	Syai.g_02499	Prau.g_00085
OG0000385	Syai.g_02500	Prau.g_00086
OG0000386	Syai.g_02501	Prau.g_00087
OG0000387	Syai.g_02534	Prau.g_00100
OG0000388	Syai.g_02538	Prau.g_00103
OG0000389	Syai.g_02542	Prau.g_00107
OG0000390	Syai.g_02556	Prau.g_00114
OG0000391	Syai.g_02561	Prau.g_00117
OG0000392	Syai.g_02568	Prau.g_00121
OG0000393	Syai.g_02570	Prau.g_00123
OG0000394	Syai.g_02571	Prau.g_00124
OG0000395	Syai.g_02572	Prau.g_00125
OG0000396	Syai.g_02575	Prau.g_00128
