Orthogroup	Species	Pran	Orthologs
OG0000004	Syab	Pran.g_01483	Syab.g_00549, Syab.g_01193
OG0000004	Syak	Pran.g_01483	Syak.g_01219, Syak.g_00720
OG0000004	Syag	Pran.g_01483	Syag.g_00988
OG0000004	Syal	Pran.g_01483	Syal.g_01809
OG0000004	Prbj	Pran.g_01483	Prbj.g_00754
OG0000004	Prbk	Pran.g_01483	Prbk.g_01760
OG0000004	Prbl	Pran.g_01483	Prbl.g_00021
OG0000004	Praf	Pran.g_01483	Praf.g_01121
OG0000004	Prah	Pran.g_01483	Prah.g_01022
OG0000004	Pral	Pran.g_01483	Pral.g_01743
OG0000004	Prat	Pran.g_01483	Prat.g_00772
OG0000004	Prak	Pran.g_01483	Prak.g_00826
OG0000004	Prap	Pran.g_01483	Prap.g_00802
OG0000004	Prbe	Pran.g_01483	Prbe.g_01203
OG0000004	Prbf	Pran.g_01483	Prbf.g_01264
OG0000004	Prbg	Pran.g_01483	Prbg.g_01140
OG0000004	Prbn	Pran.g_01483	Prbn.g_01565
OG0000004	Pram	Pran.g_01483	Pram.g_00789
OG0000004	Prbh	Pran.g_01483	Prbh.g_00933
OG0000004	Prad	Pran.g_01483	Prad.g_01269
OG0000004	Praa	Pran.g_01483	Praa.g_00695
OG0000004	Pray	Pran.g_01483	Pray.g_01068
OG0000004	Praz	Pran.g_01483	Praz.g_01635
OG0000004	Prba	Pran.g_01483	Prba.g_01622
OG0000004	Prax	Pran.g_01483	Prax.g_00947
OG0000004	Prag	Pran.g_01483	Prag.g_00673
OG0000004	Praw	Pran.g_01483	Praw.g_01827
OG0000004	Prac	Pran.g_01483	Prac.g_00676
OG0000004	Praq	Pran.g_01483	Praq.g_00824
OG0000004	Prar	Pran.g_01483	Prar.g_01525
OG0000004	Prae	Pran.g_01483	Prae.g_00669
OG0000004	Prbd	Pran.g_01483	Prbd.g_00549
OG0000004	Prav	Pran.g_01483	Prav.g_01293
OG0000004	Prao	Pran.g_01483	Prao.g_00133
OG0000004	Prbi	Pran.g_01483	Prbi.g_00698
OG0000004	Pras	Pran.g_01483	Pras.g_01571
OG0000004	Prau	Pran.g_01483	Prau.g_00735
OG0000004	Prai	Pran.g_01483	Prai.g_00724
OG0000004	Prab	Pran.g_01483	Prab.g_00700
OG0000004	Syar	Pran.g_00200	Syar.g_02225, Syar.g_00842
OG0000004	Syao	Pran.g_00200	Syao.g_01271, Syao.g_01007
OG0000004	Syas	Pran.g_00200	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000004	Syak	Pran.g_00200	Syak.g_00003, Syak.g_02297
OG0000004	Syab	Pran.g_00200	Syab.g_01911, Syab.g_02377
OG0000004	Syal	Pran.g_00200	Syal.g_02718, Syal.g_00691
OG0000004	Syaq	Pran.g_00200	Syaq.g_02042, Syaq.g_01567
OG0000004	Syaa	Pran.g_00200	Syaa.g_01667, Syaa.g_02116
OG0000004	Syae	Pran.g_00200	Syae.g_00042, Syae.g_02231
OG0000004	Syad	Pran.g_00200	Syad.g_02184, Syad.g_00810
OG0000004	Syaj	Pran.g_00200	Syaj.g_01314, Syaj.g_02853
OG0000004	Syag	Pran.g_00200	Syag.g_00370, Syag.g_01790
OG0000004	Syac	Pran.g_00200	Syac.g_00948, Syac.g_01975
OG0000004	Syah	Pran.g_00200	Syah.g_01967, Syah.g_00901
OG0000004	Syaf	Pran.g_00200	Syaf.g_02351, Syaf.g_02794
OG0000004	Syai	Pran.g_00200	Syai.g_01062, Syai.g_00530
OG0000004	Syam	Pran.g_00200	Syam.g_01499, Syam.g_00501
OG0000004	Syan	Pran.g_00200	Syan.g_00989
OG0000004	Syap	Pran.g_00200	Syap.g_01987
OG0000004	Praf	Pran.g_00200	Praf.g_00743
OG0000004	Prah	Pran.g_00200	Prah.g_01413
OG0000004	Prbj	Pran.g_00200	Prbj.g_01777
OG0000004	Prbk	Pran.g_00200	Prbk.g_01134
OG0000004	Prbl	Pran.g_00200	Prbl.g_01771
OG0000004	Prbm	Pran.g_00200	Prbm.g_00291
OG0000004	Praj	Pran.g_00200	Praj.g_00271
OG0000004	Prbb	Pran.g_00200	Prbb.g_00288
OG0000004	Prbc	Pran.g_00200	Prbc.g_00339
OG0000004	Pram	Pran.g_00200	Pram.g_00219
OG0000004	Prbh	Pran.g_00200	Prbh.g_00548
OG0000004	Prak	Pran.g_00200	Prak.g_00248
OG0000004	Prap	Pran.g_00200	Prap.g_01480
OG0000004	Prbe	Pran.g_00200	Prbe.g_01784
OG0000004	Prbf	Pran.g_00200	Prbf.g_01570
OG0000004	Prbg	Pran.g_00200	Prbg.g_01014
OG0000004	Prbn	Pran.g_00200	Prbn.g_00318
OG0000004	Prat	Pran.g_00200	Prat.g_00236
OG0000004	Pral	Pran.g_00200	Pral.g_00809
OG0000004	Prac	Pran.g_00200	Prac.g_01698
OG0000004	Praq	Pran.g_00200	Praq.g_01770
OG0000004	Prar	Pran.g_00200	Prar.g_00095
OG0000004	Prav	Pran.g_00200	Prav.g_00806
OG0000004	Prag	Pran.g_00200	Prag.g_00225
OG0000004	Praw	Pran.g_00200	Praw.g_01203
OG0000004	Praa	Pran.g_00200	Praa.g_00232
OG0000004	Pras	Pran.g_00200	Pras.g_01084
OG0000004	Prau	Pran.g_00200	Prau.g_00233
OG0000004	Prae	Pran.g_00200	Prae.g_00235
OG0000004	Prax	Pran.g_00200	Prax.g_00986
OG0000004	Pray	Pran.g_00200	Pray.g_00713
OG0000004	Praz	Pran.g_00200	Praz.g_00592
OG0000004	Prba	Pran.g_00200	Prba.g_00451
OG0000004	Prbd	Pran.g_00200	Prbd.g_01007
OG0000004	Prbi	Pran.g_00200	Prbi.g_00256
OG0000004	Prad	Pran.g_00200	Prad.g_01759
OG0000004	Prao	Pran.g_00200	Prao.g_00370
OG0000004	Prai	Pran.g_00200	Prai.g_00243
OG0000004	Prab	Pran.g_00200	Prab.g_00223
OG0000005	Prbc	Pran.g_00983	Prbc.g_00098
OG0000005	Praj	Pran.g_00983	Praj.g_01349
OG0000005	Prbb	Pran.g_00983	Prbb.g_01393
OG0000005	Syab	Pran.g_00983	Syab.g_02289
OG0000005	Syal	Pran.g_00983	Syal.g_00606
OG0000005	Syar	Pran.g_00983	Syar.g_02952
OG0000005	Syan	Pran.g_00983	Syan.g_01423
OG0000005	Syao	Pran.g_00983	Syao.g_01680
OG0000005	Syat	Pran.g_00983	Syat.g_03065
OG0000005	Syae	Pran.g_00983	Syae.g_01179
OG0000005	Syac	Pran.g_00983	Syac.g_00527
OG0000005	Syah	Pran.g_00983	Syah.g_02403
OG0000005	Syaa	Pran.g_00983	Syaa.g_00534
OG0000005	Syam	Pran.g_00983	Syam.g_02004
OG0000005	Syaf	Pran.g_00983	Syaf.g_01017
OG0000005	Syai	Pran.g_00983	Syai.g_02393
OG0000005	Syad	Pran.g_00983	Syad.g_02639
OG0000005	Syaj	Pran.g_00983	Syaj.g_01736
OG0000005	Syap	Pran.g_00983	Syap.g_01773
OG0000005	Syas	Pran.g_00983	Syas.g_02665
OG0000005	Syag	Pran.g_00983	Syag.g_01708
OG0000005	Syak	Pran.g_00983	Syak.g_02401
OG0000005	Syaq	Pran.g_00983	Syaq.g_01658
OG0000005	Prav	Pran.g_00983	Prav.g_01774
OG0000005	Prag	Pran.g_00983	Prag.g_01682
OG0000005	Praw	Pran.g_00983	Praw.g_00528
OG0000005	Prad	Pran.g_00983	Prad.g_00928
OG0000005	Prae	Pran.g_00983	Prae.g_01636
OG0000005	Prax	Pran.g_00983	Prax.g_01546
OG0000005	Prau	Pran.g_00983	Prau.g_01745
OG0000005	Pras	Pran.g_00983	Pras.g_00563
OG0000005	Prbd	Pran.g_00983	Prbd.g_01512
OG0000005	Prao	Pran.g_00983	Prao.g_01565
OG0000005	Prac	Pran.g_00983	Prac.g_00612
OG0000005	Praq	Pran.g_00983	Praq.g_00484
OG0000005	Prar	Pran.g_00983	Prar.g_01130
OG0000005	Prbi	Pran.g_00983	Prbi.g_01800
OG0000005	Praa	Pran.g_00983	Praa.g_01648
OG0000005	Pray	Pran.g_00983	Pray.g_01546
